============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-10
Execution Time: 2026-01-09 21:42:54
Input File: Inference_Inputs\Input_2026-01-10.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 474
Missing Values (NaNs) found in key features (before zero-fill):
 - wilson_score: 173
 - jt_wins: 474

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
Don Vaccaro               | 0          | 0.0302     | Fallback  
Olzhakhan                 | 0          | 0.0409     | Fallback  
Munyah                    | 0          | 0.0299     | Fallback  
Jolly Roger               | 0          | 0.0299     | Fallback  
African Candy             | 0          | 0.0299     | Fallback  
Nam Phrik                 | 0          | 0.0299     | Fallback  
Amjaad                    | 0          | 0.0299     | Fallback  
Inner City                | 0          | 0.0316     | Fallback  
On The Way                | 0          | 0.0299     | Fallback  
Onight                    | 0          | 0.0384     | Fallback  
Houb Al Wattan            | 0          | 0.0384     | Fallback  
Aegean Star               | 0          | 0.0296     | Fallback  
Alnayazek                 | 0          | 0.0296     | Fallback  
Halucinogenie             | 0          | 0.0379     | Fallback  
High Everest              | 0          | 0.0520     | Fallback  
Hobalsalam                | 0          | 0.0306     | Fallback  
Masubi                    | 0          | 0.0290     | Fallback  
Mnawish                   | 0          | 0.0290     | Fallback  
New Gem                   | 0          | 0.0290     | Fallback  
Pipes And Drums           | 0          | 0.0386     | Fallback  
Tufaan E Dubai            | 0          | 0.0266     | Fallback  
Saleell                   | 0          | 0.0215     | Fallback  
Samhan                    | 0          | 0.0215     | Fallback  
Yasup                     | 0          | 0.0215     | Fallback  
Youheeb                   | 0          | 0.0215     | Fallback  
Saarim                    | 0          | 0.0386     | Fallback  
Barq Al Emarat            | 0          | 0.0366     | Fallback  
Al Muzn                   | 0          | 0.0340     | Fallback  
Charming Life             | 0          | 0.0265     | Fallback  
Dukedom                   | 0          | 0.0490     | Fallback  
Whitegate                 | 0          | 0.0685     | Lookup    
Hopefully Yes             | 0          | 0.0391     | Fallback  
Shuf Dubai                | 0          | 0.0386     | Fallback  
Shanaghai City            | 0          | 0.0480     | Fallback  
Split The Profit          | 0          | 0.0280     | Fallback  
Odai                      | 0          | 0.0265     | Fallback  
Chosen Mark               | 0          | 0.0483     | Fallback  
Davy Lamp                 | 0          | 0.0355     | Fallback  
Trip To Rome              | 0          | 0.0340     | Fallback  
Benzema                   | 0          | 0.0366     | Fallback  
Tawalla                   | 0          | 0.0382     | Fallback  
Turjman                   | 0          | 0.0434     | Fallback  
Rawy                      | 0          | 0.0530     | Fallback  
Major Cinnamon            | 0          | 0.0381     | Fallback  
Indicate                  | 0          | 0.0472     | Fallback  
Sirdin                    | 0          | 0.0521     | Fallback  
Second Name               | 0          | 0.0308     | Fallback  
Magic Petition            | 0          | 0.0357     | Fallback  
Frostfire                 | 0          | 0.0355     | Fallback  
Excel Power               | 0          | 0.0516     | Fallback  
Goldspur                  | 0          | 0.0397     | Fallback  
Moonshiner                | 0          | 0.0301     | Fallback  
Poster Paint              | 0          | 0.0492     | Fallback  
Kibo Misaki               | 0          | 0.0390     | Fallback  
Hot Property              | 0          | 0.0301     | Fallback  
Don Pelicano              | 0          | 0.0314     | Fallback  
Muntasir                  | 0          | 0.0389     | Fallback  
Dubai Welcome             | 0          | 0.0387     | Fallback  
Vocalizer                 | 0          | 0.0414     | Fallback  
Daneyan                   | 0          | 0.0407     | Fallback  
Al Fareeq                 | 0          | 0.0415     | Fallback  
Daayyem                   | 0          | 0.0315     | Fallback  
Fayadh                    | 0          | 0.0433     | Fallback  
Global View               | 0          | 0.0309     | Fallback  
La Yetal                  | 0          | 0.0415     | Fallback  
Mawhoob                   | 0          | 0.0446     | Fallback  
Nukanan                   | 0          | 0.0447     | Fallback  
Pizarro                   | 0          | 0.0470     | Fallback  
Political Truth           | 0          | 0.0446     | Fallback  
Questor                   | 0          | 0.0316     | Fallback  
Serve To Lead             | 0          | 0.0424     | Fallback  
Velvet Cactus             | 0          | 0.0470     | Fallback  
Wraithy                   | 0          | 0.0598     | Fallback  
Algheed                   | 0          | 0.0470     | Fallback  
Klimt Street              | 0          | 0.0432     | Fallback  
