============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-18
Execution Time: 2026-01-17 18:01:20
Input File: Inference_Inputs\Input_2026-01-18.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 368
Missing Values (NaNs) found in key features (before zero-fill):
 - No missing values found. Data is clean.

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
Flash Current             | 0          | 0.0211     | Fallback  
Outgate                   | 0          | 0.0230     | Fallback  
Real Gentleman            | 0          | 0.0279     | Fallback  
Forza Toro                | 0          | 0.0930     | Lookup    
Stellar Swift             | 0          | 0.0226     | Fallback  
A Time For Us             | 0          | 0.0207     | Fallback  
Wukong Jewellery          | 0          | 0.0204     | Fallback  
Flying Fortress           | 7          | 0.1149     | Lookup    
New Future Folks          | 0          | 0.0224     | Fallback  
Akashvani                 | 0          | 0.0297     | Fallback  
Riding Together           | 0          | 0.0204     | Fallback  
Sunny Da Best             | 0          | 0.0210     | Fallback  
Do Your Part              | 0          | 0.0204     | Fallback  
Super Express             | 0          | 0.0189     | Fallback  
Lucky My Way              | 0          | 0.0290     | Fallback  
So You Will               | 0          | 0.0393     | Fallback  
Happy Tercentenary        | 0          | 0.0257     | Fallback  
Armor Golden Eagle        | 0          | 0.0209     | Fallback  
Tin Fook                  | 0          | 0.0305     | Fallback  
Eighty Light Years        | 0          | 0.0413     | Fallback  
Good Luck Babe            | 0          | 0.0402     | Fallback  
Gracious Express          | 0          | 0.0379     | Fallback  
Happy Index               | 0          | 0.0190     | Fallback  
Patch Of Cosmo            | 0          | 0.0221     | Fallback  
Pope Cody                 | 0          | 0.0220     | Fallback  
Ka Ying Attack            | 0          | 0.0310     | Fallback  
Loch Tay                  | 0          | 0.1143     | Lookup    
Aerodynamics              | 0          | 0.0300     | Fallback  
King Lotus                | 0          | 0.0328     | Fallback  
Fortune Boy               | 0          | 0.0200     | Fallback  
Shamz                     | 0          | 0.0370     | Fallback  
Stormy Grove              | 0          | 0.0192     | Fallback  
Violet Star               | 0          | 0.0174     | Fallback  
Endued                    | 0          | 0.0275     | Fallback  
Fivefortwo                | 1          | 0.4088     | Lookup    
Lucky Candy               | 0          | 0.0391     | Fallback  
Supreme Mastermind        | 0          | 0.0227     | Fallback  
Silo                      | 0          | 0.0207     | Fallback  
Flying Luck               | 0          | 0.0207     | Fallback  
Danyah                    | 0          | 0.0163     | Fallback  
Gabooll                   | 0          | 0.0240     | Fallback  
Indicate                  | 0          | 0.0180     | Fallback  
Morning                   | 0          | 0.0189     | Fallback  
Mozahim                   | 0          | 0.0198     | Fallback  
Rasas                     | 0          | 0.0170     | Fallback  
Rawy                      | 0          | 0.0198     | Fallback  
Strobe                    | 0          | 0.0193     | Fallback  
Donde Firmo               | 0          | 0.0151     | Fallback  
