track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,decimal_odds_live,threshold,precision,recall,f1,pred_plus,p_est,d,ev_per_unit,var_per_unit,sharpe_unit,kelly_full,kelly_clamped,suggested_stake_units,classification
Fairyhouse,15 Jan 2026,2m½f,Soft,11:53,Me Wee Bonnie Lass,-,Jack Kennedy,Gordon Elliott,11- 5,6,0,True,0,0.103640355,0,False,6/1,11/2,6/1,11/2,6/1,stable,6.5,7.0,6.5,7.0,7.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,7.0,0.09417040358744377,6.461983953025396,0.037045161639493764,0.015695067264573963,0.015695067264573963,1.5695067264573963,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m,Soft,1:33,Beggars Rock,109,Paul Townend,W P Mullins,11- 4,5,0,True,0,0.09725224,0,False,14/1,12/1,11/1,8/1,15/2,shortening,13.0,12.0,9.0,8.5,15.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,15.0,1.3446508648302364,29.672375294504373,0.24685014057554763,0.09604649034501689,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m½f,Soft,11:53,Attaboyarchie,-,Danny Gilligan,Ross O'Sullivan,11 -12,7,0,True,0,0.079629354,0,False,18/1,20/1,22/1,25/1,28/1,drifting,21.0,23.0,26.0,29.0,19.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,19.0,1.9698910954516329,47.60767769473813,0.28549842616903126,0.10943839419175738,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m4f,Soft,2:08,Clonsast,119,Paul Townend,W P Mullins,10- 6,4,0,True,0,0.07871913,0,False,-,200/1,250/1,200/1,150/1,shortening,201.0,251.0,201.0,151.0,201.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,201.0,30.41832158872517,5327.971707881205,0.41672954516183014,0.15209160794362586,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m½f,Soft,11:53,Dorie Miller,-,Sean Flanagan,Paul Nolan,11 -12,7,0,True,0,0.07287192,0,False,110/1,125/1,110/1,100/1,125/1,drifting,126.0,111.0,101.0,126.0,111.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,111.0,16.35041639974375,1624.8592711270592,0.4056214759866155,0.14864014908857956,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m4f,Soft,2:08,Martymill,118,Keith Donoghue,J P Dempsey,11- 7,6,0,True,0,0.06743245,0,False,18/1,16/1,14/1,20/1,16/1,shortening,17.0,15.0,21.0,17.0,19.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,19.0,1.9698910954516329,47.60767769473813,0.28549842616903126,0.10943839419175738,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m½f,Soft,11:53,Moments Away,118,Eoin Staples,Cian Collins,11 -12,7,5,True,0,0.057064343,0,False,12/1,14/1,12/1,11/1,10/1,shortening,15.0,13.0,12.0,11.0,13.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,13.0,1.0320307495195387,22.287250776761063,0.21860716264184818,0.08600256245996156,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m5f,Soft,12:23,Silver Salute,117,Eoghan Finegan,Anthony McCann,11- 5,8,7,True,0,0.042442307,0,False,50/1,66/1,80/1,100/1,80/1,drifting,67.0,81.0,101.0,81.0,51.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,51.0,6.971812940422804,343.0126584044705,0.3764355687419339,0.1394362588084561,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m5f,Soft,12:23,Layenda,117,Donagh Meyler,J P Dempsey,11- 7,8,0,True,0,0.038843285,0,False,250/1,200/1,250/1,300/1,250/1,stable,201.0,251.0,301.0,251.0,251.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,251.0,38.233824471492625,8308.396959684756,0.4194586192619824,0.1529352978859705,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m4f,Soft,3:52,Orinoco Walk,-,Philip Byrnes,C Byrnes,10 -12,9,0,True,0,0.03542729,0,False,200/1,250/1,200/1,150/1,200/1,stable,251.0,201.0,151.0,201.0,201.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,201.0,30.41832158872517,5327.971707881205,0.41672954516183014,0.15209160794362586,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m5f,Soft,12:23,Colby Mayfield,-,G B Noonan,P J Rothwell,10- 3,5,0,True,0,0.02787242,0,False,150/1,400/1,150/1,200/1,250/1,drifting,401.0,151.0,201.0,251.0,151.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,151.0,22.602818705957716,3006.9325737333074,0.41219313722051737,0.1506854580397181,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m,Soft,1:33,Dutch Corner,58,Niall Moore,Dermot A McLoughlin,10 -11,5,5,True,0,0.027826844,0,False,11/2,6/1,80/1,25/1,12/1,drifting,7.0,81.0,26.0,13.0,6.5,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,6.5,0.01601537475976933,5.571812694190265,0.006784828139101412,0.00291188631995806,0.00291188631995806,0.29118863199580597,BET_SINGLE
Fairyhouse,15 Jan 2026,2m5f,Soft,12:23,Into Battle,125,Mr A J Browne,Don Browne,11- 6,9,7,True,0,0.02766705,0,False,40/1,50/1,80/1,150/1,80/1,drifting,51.0,81.0,151.0,81.0,41.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,41.0,5.408712363869314,221.68561275583045,0.36326631791201663,0.13521780909673284,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m5f,Soft,12:23,It's Top,-,Sam Ewing,Ian Patrick Donoghue,11- 3,8,0,True,0,0.026125709,0,False,12/1,14/1,66/1,22/1,16/1,drifting,15.0,67.0,23.0,17.0,13.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,13.0,1.0320307495195387,22.287250776761063,0.21860716264184818,0.08600256245996156,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m5f,Soft,12:23,Lheur De Gloire,116,Phillip Enright,Oliver McKiernan,10- 5,8,0,True,0,0.025869355,0,False,50/1,66/1,200/1,100/1,66/1,drifting,67.0,201.0,101.0,67.0,51.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,51.0,6.971812940422804,343.0126584044705,0.3764355687419339,0.1394362588084561,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m,Soft,1:33,Mescalero,-,Simon Torrens,Noel C Kelly,10 -11,6,0,True,0,0.025683723,0,False,25/1,28/1,33/1,100/1,33/1,drifting,29.0,34.0,101.0,34.0,26.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,26.0,3.0640614990390773,89.14900310704425,0.32451832989322155,0.12256245996156309,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m4f,Soft,12:58,Spanish Dancer,120,Jack Kennedy,Gordon Elliott,11 -11,8,0,True,0,0.025443058,0,False,40/1,50/1,250/1,125/1,66/1,drifting,51.0,251.0,126.0,67.0,41.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,41.0,5.408712363869314,221.68561275583045,0.36326631791201663,0.13521780909673284,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m4f,Soft,3:18,Urban Isle,104,Tiernan Power Roche,P J Rothwell,10- 7,9,3,True,0,0.02519932,0,False,450/1,350/1,150/1,125/1,150/1,shortening,351.0,151.0,126.0,151.0,451.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,451.0,69.49583600256246,26823.959143455482,0.4243237535779969,0.15443519111680545,0.05,5.0,STRONG_BET_SINGLE
