track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Hi George (IRE),Non Runner,0,N Slevin,NR,N/A,2,9-7,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Argent Rapide (IRE),J M Sheridan,0,A McCann,9th,32 l,2,9-2,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,The Duke Mardukas,D E Sheehy,0,J P Murtagh,8th,1/2 l,2,9-7b,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Cali Case,L F Roche,0,M O'Callaghan,7th,1 l,2,9-7ht1,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Little Lando (IRE),L T McAteer,0,D Marnane,6th,3 1/4 l,2,9-7,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Tino Pai (IRE),R P Cleary,0,S Lavery,5th,1 l,2,9-2,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Bansha Belle (IRE),J J G Ryan,3,Stephen Thorne,4th,Neck,2,9-2b1,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Hello Luna (FR),D P McDonogh,0,J P O'Brien,3rd,1 1/2 l,2,9-2,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Sharkii (IRE),R P Whelan,0,D Dias,2nd,1/2 l,2,9-7t,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Ohmyviette (FR),M Santos,0,W P Browne,1st,N/A,2,9-7,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Hi George (IRE),Non Runner,0,N Slevin,NR,N/A,2,9-7,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Argent Rapide (IRE),J M Sheridan,0,A McCann,9th,32 l,2,9-2,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,The Duke Mardukas,D E Sheehy,0,J P Murtagh,8th,1/2 l,2,9-7b,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Cali Case,L F Roche,0,M O'Callaghan,7th,1 l,2,9-7ht1,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Little Lando (IRE),L T McAteer,0,D Marnane,6th,3 1/4 l,2,9-7,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Tino Pai (IRE),R P Cleary,0,S Lavery,5th,1 l,2,9-2,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Bansha Belle (IRE),J J G Ryan,3,Stephen Thorne,4th,Neck,2,9-2b1,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Hello Luna (FR),D P McDonogh,0,J P O'Brien,3rd,1 1/2 l,2,9-2,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Sharkii (IRE),R P Whelan,0,D Dias,2nd,1/2 l,2,9-7t,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Ohmyviette (FR),M Santos,0,W P Browne,1st,N/A,2,9-7,-,True,154,1
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Dear Daphne (IRE),M P Sheehy,0,R K Watson,13th,11 l,4,9-3p,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,The Expert,Sadhbh Tormey,10,T G McCourt,12th,4 3/4 l,3,8-13v1,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Boomerang Bill (IRE),S R Markey,10,R O'Sullivan,11th,1 l,5,9-8,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Signor Ferrari (IRE),L F Roche,0,P J F Murphy,10th,3 1/4 l,3,10-2,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Nezeeh (IRE),J M Sheridan,0,D Hogan,9th,1/2 l,3,9-9p,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Clonmacash,R P Cleary,0,A McGuinness,8th,Neck,3,9-7b,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Rumbled Again (IRE),S Coen,7,G P Cromwell,7th,1 l,4,9-3b,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Shoot To Kill (IRE),D W O'Connor,0,Stephen Thorne,6th,Head,7,10-2p,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Big Baby Bull (IRE),Nicola Burns,7,John Hayes,5th,3/4 l,8,9-3tp,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Sayifyouwill,S P Davis,0,Sean Davis,4th,Head,6,10-2,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Nikki Swango (IRE),N M Crosse,0,A McGuinness,3rd,Neck,3,9-1,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Skontonovski,J A Powell,3,A McGuinness,2nd,3/4 l,7,9-11v,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Comfort Line (IRE),J Kearney,5,A McGuinness,1st,N/A,7,9-11v,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Dear Daphne (IRE),M P Sheehy,0,R K Watson,13th,11 l,4,9-3p,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,The Expert,Sadhbh Tormey,10,T G McCourt,12th,4 3/4 l,3,8-13v1,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Boomerang Bill (IRE),S R Markey,10,R O'Sullivan,11th,1 l,5,9-8,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Signor Ferrari (IRE),L F Roche,0,P J F Murphy,10th,3 1/4 l,3,10-2,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Nezeeh (IRE),J M Sheridan,0,D Hogan,9th,1/2 l,3,9-9p,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Clonmacash,R P Cleary,0,A McGuinness,8th,Neck,3,9-7b,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Rumbled Again (IRE),S Coen,7,G P Cromwell,7th,1 l,4,9-3b,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Shoot To Kill (IRE),D W O'Connor,0,Stephen Thorne,6th,Head,7,10-2p,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Big Baby Bull (IRE),Nicola Burns,7,John Hayes,5th,3/4 l,8,9-3tp,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Sayifyouwill,S P Davis,0,Sean Davis,4th,Head,6,10-2,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Nikki Swango (IRE),N M Crosse,0,A McGuinness,3rd,Neck,3,9-1,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Skontonovski,J A Powell,3,A McGuinness,2nd,3/4 l,7,9-11v,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:00,N/A,16:00,Standard,7f,Comfort Line (IRE),J Kearney,5,A McGuinness,1st,N/A,7,9-11v,-,True,154,2
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Wasittheway (IRE),J A Powell,0,T G McCourt,9th,6 l,2,9-0,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Tommy McJohn (IRE),G F Carroll,0,G P Cromwell,8th,3/4 l,2,9-12,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Shuyak (IRE),N M Crosse,0,P J F Murphy,7th,2 1/4 l,2,8-11,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Skillman Ave (IRE),R Whearty,3,G P Cromwell,6th,2 1/2 l,2,8-11,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Nyman (IRE),M W Hassett,5,H De Bromhead,5th,1 1/4 l,2,9-12t,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Sci Fi (IRE),D P McDonogh,0,J P O'Brien,4th,4 1/4 l,2,8-13,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Karazhal (IRE),R P Whelan,0,M Halford & T Collins,3rd,1 3/4 l,2,9-4,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Wizard Of Odds (IRE),C D Hayes,0,Stephen Thorne,2nd,2 l,2,9-6,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Donna Nook,J J G Ryan,3,G M Lyons,1st,N/A,2,8-13,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Wasittheway (IRE),J A Powell,0,T G McCourt,9th,6 l,2,9-0,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Tommy McJohn (IRE),G F Carroll,0,G P Cromwell,8th,3/4 l,2,9-12,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Shuyak (IRE),N M Crosse,0,P J F Murphy,7th,2 1/4 l,2,8-11,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Skillman Ave (IRE),R Whearty,3,G P Cromwell,6th,2 1/2 l,2,8-11,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Nyman (IRE),M W Hassett,5,H De Bromhead,5th,1 1/4 l,2,9-12t,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Sci Fi (IRE),D P McDonogh,0,J P O'Brien,4th,4 1/4 l,2,8-13,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Karazhal (IRE),R P Whelan,0,M Halford & T Collins,3rd,1 3/4 l,2,9-4,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Wizard Of Odds (IRE),C D Hayes,0,Stephen Thorne,2nd,2 l,2,9-6,-,True,154,3
Dundalk Racing Results | 4th December 2024 16:30,N/A,16:30,Standard,7f,Donna Nook,J J G Ryan,3,G M Lyons,1st,N/A,2,8-13,-,True,154,3
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,City Pass (IRE),M P Sheehy,0,K P Cotter,14th,13 l,2,8-11,60,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Felicity Smoak (IRE),R P Cleary,0,P Nolan,13th,Head,2,9-2,65,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Zuzzudio,R Whearty,3,G P Cromwell,12th,Neck,2,8-11t,60,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Marys Not Contrary,N M Crosse,0,Mrs J Harrington,11th,Short Head,2,9-10,73,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,In The Minus (IRE),S P Davis,0,Sean Davis,10th,3/4 l,2,8-12,61,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Temps Leve (IRE),M W Hassett,5,J P O'Brien,9th,1 1/2 l,2,9-1p,64,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Chica Guerrera (IRE),K G Kennedy,7,M Fahey,8th,1 l,2,9-3,66,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Source Code (FR),D P McDonogh,0,J P O'Brien,7th,1/2 l,2,9-11b,74,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Merchants Arch (IRE),L F Roche,0,R O'Sullivan,6th,1/2 l,2,9-0,63,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Whats New (IRE),J M Sheridan,0,A Slattery,5th,Head,2,8-11,60,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Adrienne (IRE),R P Whelan,0,T M Walsh,4th,1 1/4 l,2,9-5v,68,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Vlhova,C D Hayes,0,Kevin Coleman,3rd,2 l,2,9-5,68,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Bishopton (IRE),R C Colgan,0,N Lupini,2nd,Neck,2,9-9,72,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Ja'marr,L T McAteer,0,D Marnane,1st,N/A,2,9-12,75,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,City Pass (IRE),M P Sheehy,0,K P Cotter,14th,13 l,2,8-11,60,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Felicity Smoak (IRE),R P Cleary,0,P Nolan,13th,Head,2,9-2,65,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Zuzzudio,R Whearty,3,G P Cromwell,12th,Neck,2,8-11t,60,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Marys Not Contrary,N M Crosse,0,Mrs J Harrington,11th,Short Head,2,9-10,73,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,In The Minus (IRE),S P Davis,0,Sean Davis,10th,3/4 l,2,8-12,61,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Temps Leve (IRE),M W Hassett,5,J P O'Brien,9th,1 1/2 l,2,9-1p,64,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Chica Guerrera (IRE),K G Kennedy,7,M Fahey,8th,1 l,2,9-3,66,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Source Code (FR),D P McDonogh,0,J P O'Brien,7th,1/2 l,2,9-11b,74,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Merchants Arch (IRE),L F Roche,0,R O'Sullivan,6th,1/2 l,2,9-0,63,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Whats New (IRE),J M Sheridan,0,A Slattery,5th,Head,2,8-11,60,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Adrienne (IRE),R P Whelan,0,T M Walsh,4th,1 1/4 l,2,9-5v,68,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Vlhova,C D Hayes,0,Kevin Coleman,3rd,2 l,2,9-5,68,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Bishopton (IRE),R C Colgan,0,N Lupini,2nd,Neck,2,9-9,72,True,154,4
Dundalk Racing Results | 4th December 2024 17:00,N/A,17:00,Standard,1m,Ja'marr,L T McAteer,0,D Marnane,1st,N/A,2,9-12,75,True,154,4
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Solomon Coop (IRE),R C Colgan,0,N Lupini,14th,Head,3,9-9,71,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Wrecking Ball Paul (IRE),R M Mulligan,7,Paul Mulligan,13th,2 3/4 l,6,9-10t,71,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,New Definition,K G Kennedy,7,R O'Brien,12th,1 l,4,9-11v,72,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Punk Poet (IRE),C D Hayes,0,E Lynam,11th,1/2 l,7,10-1,76,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Zabeir (IRE),D P McDonogh,0,D Kinsella,10th,1 1/2 l,5,9-8t,69,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Ransom,J M Sheridan,0,P Sweeney,9th,Head,7,10-0t,75,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Prince Of Eyeries (IRE),L T McAteer,0,J M Barrett,8th,Neck,3,9-9b1,71,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Annaghmccanns (IRE),J J G Ryan,3,S R B Crawford,7th,Short Head,4,9-12t,73,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Seti (IRE),R Whearty,3,N Meade,6th,1 1/2 l,3,9-9,71,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Perfect Judgement (IRE),M W Hassett,5,Stephen Thorne,5th,1/2 l,3,9-13v,75,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Anvika (IRE),J Cleary,7,S Lavery,4th,Head,3,10-1,77,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Shaaden (IRE),R Donaghue-Leahy,7,P J Flynn,3rd,Neck,4,9-10,71,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Rock Etoile (IRE),A Browne-Souza,10,A Slattery,2nd,Head,6,9-9,70,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Nakasero (IRE),R P Whelan,0,M Halford & T Collins,1st,N/A,3,9-12,74,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Solomon Coop (IRE),R C Colgan,0,N Lupini,14th,Head,3,9-9,71,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Wrecking Ball Paul (IRE),R M Mulligan,7,Paul Mulligan,13th,2 3/4 l,6,9-10t,71,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,New Definition,K G Kennedy,7,R O'Brien,12th,1 l,4,9-11v,72,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Punk Poet (IRE),C D Hayes,0,E Lynam,11th,1/2 l,7,10-1,76,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Zabeir (IRE),D P McDonogh,0,D Kinsella,10th,1 1/2 l,5,9-8t,69,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Ransom,J M Sheridan,0,P Sweeney,9th,Head,7,10-0t,75,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Prince Of Eyeries (IRE),L T McAteer,0,J M Barrett,8th,Neck,3,9-9b1,71,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Annaghmccanns (IRE),J J G Ryan,3,S R B Crawford,7th,Short Head,4,9-12t,73,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Seti (IRE),R Whearty,3,N Meade,6th,1 1/2 l,3,9-9,71,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Perfect Judgement (IRE),M W Hassett,5,Stephen Thorne,5th,1/2 l,3,9-13v,75,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Anvika (IRE),J Cleary,7,S Lavery,4th,Head,3,10-1,77,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Shaaden (IRE),R Donaghue-Leahy,7,P J Flynn,3rd,Neck,4,9-10,71,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Rock Etoile (IRE),A Browne-Souza,10,A Slattery,2nd,Head,6,9-9,70,True,154,5
Dundalk Racing Results | 4th December 2024 17:30,N/A,17:30,Standard,1m,Nakasero (IRE),R P Whelan,0,M Halford & T Collins,1st,N/A,3,9-12,74,True,154,5
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Eriskay (IRE),C D Hayes,0,D K Weld,14th,1 l,5,8-13tp,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Princess Plumeria (IRE),R P Cleary,0,T Cleary,13th,2 1/4 l,6,8-13t,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Hezahunk (IRE),K G Kennedy,7,A McGuinness,12th,1/2 l,5,8-13v,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Bruce Lightning (IRE),J Kearney,5,P Martin,11th,Neck,3,10-2tv,64,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Conversant (IRE),J M Sheridan,0,Ciaran Murphy,10th,1 1/4 l,9,8-13tv,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Maestro Stick,N G McCullagh,0,K H Clarke,9th,1/2 l,7,8-13t,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Crystal Luna (IRE),J J G Ryan,3,Daniel Murphy,8th,3/4 l,3,10-1p,63,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Velvet Skies (IRE),G F Carroll,0,M Mulvany,7th,1 l,3,10-2b,64,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,American In Paris (IRE),R Whearty,3,P W Flynn,6th,1/2 l,4,8-13t,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Fly To Glory (IRE),N M Crosse,0,P J F Murphy,5th,Short Head,5,9-7,55,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Rattletheonionbag (IRE),R P Whelan,0,W P Browne,4th,1/2 l,4,9-1b,49,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,The Cola Brasil,M W Hassett,5,M J Browne,3rd,1/2 l,8,9-11p,59,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Wild Mountain (IRE),D P McDonogh,0,P J McKenna,2nd,Neck,5,9-1p,49,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Hasiyna (IRE),J A Powell,3,J C McConnell,1st,N/A,4,8-13,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Eriskay (IRE),C D Hayes,0,D K Weld,14th,1 l,5,8-13tp,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Princess Plumeria (IRE),R P Cleary,0,T Cleary,13th,2 1/4 l,6,8-13t,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Hezahunk (IRE),K G Kennedy,7,A McGuinness,12th,1/2 l,5,8-13v,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Bruce Lightning (IRE),J Kearney,5,P Martin,11th,Neck,3,10-2tv,64,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Conversant (IRE),J M Sheridan,0,Ciaran Murphy,10th,1 1/4 l,9,8-13tv,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Maestro Stick,N G McCullagh,0,K H Clarke,9th,1/2 l,7,8-13t,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Crystal Luna (IRE),J J G Ryan,3,Daniel Murphy,8th,3/4 l,3,10-1p,63,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Velvet Skies (IRE),G F Carroll,0,M Mulvany,7th,1 l,3,10-2b,64,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,American In Paris (IRE),R Whearty,3,P W Flynn,6th,1/2 l,4,8-13t,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Fly To Glory (IRE),N M Crosse,0,P J F Murphy,5th,Short Head,5,9-7,55,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Rattletheonionbag (IRE),R P Whelan,0,W P Browne,4th,1/2 l,4,9-1b,49,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,The Cola Brasil,M W Hassett,5,M J Browne,3rd,1/2 l,8,9-11p,59,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Wild Mountain (IRE),D P McDonogh,0,P J McKenna,2nd,Neck,5,9-1p,49,True,154,6
Dundalk Racing Results | 4th December 2024 18:00,N/A,18:00,Standard,6f,Hasiyna (IRE),J A Powell,3,J C McConnell,1st,N/A,4,8-13,47,True,154,6
Dundalk Racing Results | 4th December 2024 18:30,N/A,18:30,Standard,1m 2f 150y,Chavajod,W Joyce,5,D P Coakley,9th,3 1/4 l,6,9-6v,72,True,154,7
Dundalk Racing Results | 4th December 2024 18:30,N/A,18:30,Standard,1m 2f 150y,Serengeti Sunrise (IRE),M W Hassett,5,R K Watson,8th,2 3/4 l,3,8-7,61,True,154,7
Dundalk Racing Results | 4th December 2024 18:30,N/A,18:30,Standard,1m 2f 150y,Lady Arwen,L F Roche,0,C O'Dwyer,7th,1 l,5,9-4,70,True,154,7
Dundalk Racing Results | 4th December 2024 18:30,N/A,18:30,Standard,1m 2f 150y,Encosta (IRE),C D Hayes,0,N Meade,6th,1 1/2 l,4,9-6p1,72,True,154,7
Dundalk Racing Results | 4th December 2024 18:30,N/A,18:30,Standard,1m 2f 150y,Not Just Any Eagle (IRE),R Donaghue-Leahy,7,P J Flynn,5th,1/2 l,5,10-1,81,True,154,7
Dundalk Racing Results | 4th December 2024 18:30,N/A,18:30,Standard,1m 2f 150y,Proleek Prince (IRE),R M Mulligan,7,M Rice,4th,Neck,4,10-0,80,True,154,7
