track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Killarney Racing Results | 12th May 2024 14:45,N/A,14:45,Good To Yielding,2m 1f,Common Practice (IRE),A P Kelly,5,J P O'Brien,PU,N/A,5,11-12tp,139,True,113,23
Killarney Racing Results | 12th May 2024 14:45,N/A,14:45,Good To Yielding,2m 1f,By Your Side,J Coen,5,G Elliott,8th,25 l,5,10-11,124,True,113,23
Killarney Racing Results | 12th May 2024 14:45,N/A,14:45,Good To Yielding,2m 1f,Clarens (IRE),D J O'Keeffe,0,J P Flavin,7th,1 3/4 l,7,10-3,116,True,113,23
Killarney Racing Results | 12th May 2024 14:45,N/A,14:45,Good To Yielding,2m 1f,Rock On Seamie (IRE),L Quinlan,5,R Hackett,6th,6 1/2 l,9,10-6,119,True,113,23
Killarney Racing Results | 12th May 2024 14:45,N/A,14:45,Good To Yielding,2m 1f,Set Point (IRE),D J Gilligan,3,G Elliott,5th,2 1/2 l,6,10-12p,125,True,113,23
Killarney Racing Results | 12th May 2024 14:45,N/A,14:45,Good To Yielding,2m 1f,Zeeband (IRE),S O'Callaghan,5,P J Gilligan,4th,2 1/4 l,7,10-2t,115,True,113,23
Killarney Racing Results | 12th May 2024 14:45,N/A,14:45,Good To Yielding,2m 1f,Fiveonefive (IRE),J C Gainford,0,C Collins,3rd,7 1/2 l,6,10-12p,125,True,113,23
Killarney Racing Results | 12th May 2024 14:45,N/A,14:45,Good To Yielding,2m 1f,So Scottish (FR),M P Walsh,0,E Mullins,2nd,Head,7,11-0p,127,True,113,23
Killarney Racing Results | 12th May 2024 14:45,N/A,14:45,Good To Yielding,2m 1f,Senecia (IRE),P T Enright,0,V Halley,1st,N/A,7,11-1,128,True,113,23
Killarney Racing Results | 12th May 2024 15:20,N/A,15:20,Good To Yielding,2m 7f,Decimation (IRE),C P McNamara,0,E McNamara,5th,82 l,9,11-4,-,True,113,24
Killarney Racing Results | 12th May 2024 15:20,N/A,15:20,Good To Yielding,2m 7f,Music Of Tara,Rachael Blackmore,0,H De Bromhead,4th,1 l,7,11-3t,-,True,113,24
Killarney Racing Results | 12th May 2024 15:20,N/A,15:20,Good To Yielding,2m 7f,Gaelic Arc (IRE),D King,0,J P Ryan,3rd,22 l,8,11-4,-,True,113,24
Killarney Racing Results | 12th May 2024 15:20,N/A,15:20,Good To Yielding,2m 7f,Duffle Coat (IRE),D J Gilligan,3,G Elliott,2nd,1/2 l,7,11-4p,-,True,113,24
Killarney Racing Results | 12th May 2024 15:20,N/A,15:20,Good To Yielding,2m 7f,Solitary Man (IRE),D J O'Keeffe,0,E Bolger,1st,N/A,6,11-4,-,True,113,24
Killarney Racing Results | 12th May 2024 15:20,N/A,15:20,Good To Yielding,2m 7f,Decimation (IRE),C P McNamara,0,E McNamara,5th,82 l,9,11-4,-,True,113,24
Killarney Racing Results | 12th May 2024 15:20,N/A,15:20,Good To Yielding,2m 7f,Music Of Tara,Rachael Blackmore,0,H De Bromhead,4th,1 l,7,11-3t,-,True,113,24
Killarney Racing Results | 12th May 2024 15:20,N/A,15:20,Good To Yielding,2m 7f,Gaelic Arc (IRE),D King,0,J P Ryan,3rd,22 l,8,11-4,-,True,113,24
Killarney Racing Results | 12th May 2024 15:20,N/A,15:20,Good To Yielding,2m 7f,Duffle Coat (IRE),D J Gilligan,3,G Elliott,2nd,1/2 l,7,11-4p,-,True,113,24
Killarney Racing Results | 12th May 2024 15:20,N/A,15:20,Good To Yielding,2m 7f,Solitary Man (IRE),D J O'Keeffe,0,E Bolger,1st,N/A,6,11-4,-,True,113,24
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Imperial Fox (IRE),D J O'Keeffe,0,Padraig Butler,PU,N/A,6,11-7tp,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Sadies Diamond (IRE),J S McGarvey,0,J J Hanlon,PU,N/A,5,11-7h,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Pebble Bleu (IRE),P T Enright,0,C Motherway,PU,N/A,5,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Seventy Eight Team (IRE),D J Gilligan,3,P J Gilligan,F,N/A,6,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Electric Dreamer (IRE),S W Flanagan,0,W J Burke,6th,1 l,6,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Miss Oreo (IRE),Shane Fenelon,7,J J Hanlon,5th,3 1/2 l,6,11-7h,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Costanuci (IRE),B Hayes,0,J Queally,4th,24 l,7,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Sea Aster (IRE),J C Gainford,0,G Elliott,3rd,2 3/4 l,6,11-7p,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Henning (IRE),D King,0,D Hogan,2nd,7 l,7,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Saylavee (IRE),P Townend,0,W P Mullins,1st,N/A,7,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Imperial Fox (IRE),D J O'Keeffe,0,Padraig Butler,PU,N/A,6,11-7tp,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Sadies Diamond (IRE),J S McGarvey,0,J J Hanlon,PU,N/A,5,11-7h,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Pebble Bleu (IRE),P T Enright,0,C Motherway,PU,N/A,5,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Seventy Eight Team (IRE),D J Gilligan,3,P J Gilligan,F,N/A,6,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Electric Dreamer (IRE),S W Flanagan,0,W J Burke,6th,1 l,6,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Miss Oreo (IRE),Shane Fenelon,7,J J Hanlon,5th,3 1/2 l,6,11-7h,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Costanuci (IRE),B Hayes,0,J Queally,4th,24 l,7,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Sea Aster (IRE),J C Gainford,0,G Elliott,3rd,2 3/4 l,6,11-7p,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Henning (IRE),D King,0,D Hogan,2nd,7 l,7,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 15:55,N/A,15:55,Good To Yielding,2m 4f 180y,Saylavee (IRE),P Townend,0,W P Mullins,1st,N/A,7,11-7,-,True,113,25
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Fakiera (FR),R A Doyle,0,E Griffin,UR,N/A,9,10-8tb,122,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Birchdale (IRE),M P Walsh,0,E Bolger,PU,N/A,10,11-3b,131,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Cavalry Master (IRE),J C Gainford,0,G Elliott,F,N/A,10,10-13tb,127,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,True Faith (IRE),Rachael Blackmore,0,H De Bromhead,F,N/A,8,10-10,124,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Irish Blaze (IRE),E Walsh,0,C Collins,11th,1 3/4 l,8,11-2h,130,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,The Abbey (IRE),D J Gilligan,3,G Elliott,10th,16 l,11,10-1p,115,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,West Cork Wildway (IRE),K M Donoghue,0,P O'Flynn,9th,3/4 l,10,11-5p,133,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Potters Party (IRE),D J O'Keeffe,0,H De Bromhead,8th,Head,7,10-6tp,120,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,The Little Yank (IRE),S F O'Keeffe,0,J P Ryan,7th,6 l,9,10-0,114,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Jumping Jet (IRE),C P Millar,7,G Elliott,6th,8 1/2 l,8,11-0,128,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Hascoeur Clermont (FR),S W Flanagan,0,G P Cromwell,5th,1/2 l,7,10-9,123,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Macgiloney (IRE),D King,0,D Hogan,4th,6 l,11,10-9,123,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Midnight Our Fred (IRE),P T Enright,0,J P Flavin,3rd,4 3/4 l,7,10-4t,118,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Stealthy Tom (IRE),C G O'Dwyer,5,E Bolger,2nd,1 3/4 l,9,11-12p,140,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Brideswell Lad (IRE),J J Slevin,0,S Neville,1st,N/A,8,11-8,136,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Fakiera (FR),R A Doyle,0,E Griffin,UR,N/A,9,10-8tb,122,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Birchdale (IRE),M P Walsh,0,E Bolger,PU,N/A,10,11-3b,131,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Cavalry Master (IRE),J C Gainford,0,G Elliott,F,N/A,10,10-13tb,127,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,True Faith (IRE),Rachael Blackmore,0,H De Bromhead,F,N/A,8,10-10,124,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Irish Blaze (IRE),E Walsh,0,C Collins,11th,1 3/4 l,8,11-2h,130,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,The Abbey (IRE),D J Gilligan,3,G Elliott,10th,16 l,11,10-1p,115,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,West Cork Wildway (IRE),K M Donoghue,0,P O'Flynn,9th,3/4 l,10,11-5p,133,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Potters Party (IRE),D J O'Keeffe,0,H De Bromhead,8th,Head,7,10-6tp,120,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,The Little Yank (IRE),S F O'Keeffe,0,J P Ryan,7th,6 l,9,10-0,114,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Jumping Jet (IRE),C P Millar,7,G Elliott,6th,8 1/2 l,8,11-0,128,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Hascoeur Clermont (FR),S W Flanagan,0,G P Cromwell,5th,1/2 l,7,10-9,123,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Macgiloney (IRE),D King,0,D Hogan,4th,6 l,11,10-9,123,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Midnight Our Fred (IRE),P T Enright,0,J P Flavin,3rd,4 3/4 l,7,10-4t,118,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Stealthy Tom (IRE),C G O'Dwyer,5,E Bolger,2nd,1 3/4 l,9,11-12p,140,True,113,26
Killarney Racing Results | 12th May 2024 16:30,N/A,16:30,Good To Yielding,3m 2f,Brideswell Lad (IRE),J J Slevin,0,S Neville,1st,N/A,8,11-8,136,True,113,26
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Casa Manolo (IRE),Conor Clarke,7,L J Archdeacon,12th,77 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Light On His Feet (IRE),J P Shinnick,7,T O'Brien,11th,Head,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Kingdom Calling (FR),Shane Fenelon,7,E McCarthy,10th,28 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Florida Strait (IRE),Mr T Hamilton,0,J P O'Brien,9th,33 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Brave Soldier (IRE),T P Harney,7,Miss M M Gannon,8th,1 3/4 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Highland Earl (IRE),Mr P W Gleeson,7,L P Cusack,7th,2 1/2 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Mother Ship (IRE),Mr P Hanlon,7,J J Hanlon,6th,1 3/4 l,4,11-3,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Shadow Paddy (IRE),T Joseph Kelly,7,E McCarthy,5th,5 1/2 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Spinola Bay,Mr H C Swan,3,G Elliott,4th,3 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Gather Yourself (IRE),C P Millar,7,C Collins,3rd,Neck,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Derryville (IRE),Mr D Doyle,7,S Curling,2nd,19 l,4,11-3,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Kalium (FR),Mr P W Mullins,0,S Doyle,1st,N/A,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Casa Manolo (IRE),Conor Clarke,7,L J Archdeacon,12th,77 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Light On His Feet (IRE),J P Shinnick,7,T O'Brien,11th,Head,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Kingdom Calling (FR),Shane Fenelon,7,E McCarthy,10th,28 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Florida Strait (IRE),Mr T Hamilton,0,J P O'Brien,9th,33 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Brave Soldier (IRE),T P Harney,7,Miss M M Gannon,8th,1 3/4 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Highland Earl (IRE),Mr P W Gleeson,7,L P Cusack,7th,2 1/2 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Mother Ship (IRE),Mr P Hanlon,7,J J Hanlon,6th,1 3/4 l,4,11-3,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Shadow Paddy (IRE),T Joseph Kelly,7,E McCarthy,5th,5 1/2 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Spinola Bay,Mr H C Swan,3,G Elliott,4th,3 l,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Gather Yourself (IRE),C P Millar,7,C Collins,3rd,Neck,4,11-10,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Derryville (IRE),Mr D Doyle,7,S Curling,2nd,19 l,4,11-3,-,True,113,27
Killarney Racing Results | 12th May 2024 17:05,N/A,17:05,Good To Yielding  Flat (Turf),2m 1f,Kalium (FR),Mr P W Mullins,0,S Doyle,1st,N/A,4,11-10,-,True,113,27
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Speedwood (FR),Non Runner,0,E & P Harty,NR,N/A,3,9-8,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Perfect Reel (IRE),C Geerdharry,7,M C Grassick,NR,N/A,3,9-8,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Hot To Foxtrot (IRE),L T McAteer,0,P T Foley,NR,N/A,4,10-1,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Sayfa Fad (IRE),G P Halpin,0,J Geoghegan,12th,3 3/4 l,3,9-3,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Saxon Kingdom (IRE),D E Sheehy,0,M C Grassick,11th,3/4 l,3,9-8h1,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Sub Rosa,R C Colgan,0,D Kinsella,10th,1 l,4,10-1t1,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Mastastroque (IRE),A J Slattery,0,J A Stack,9th,Neck,3,9-8,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Hilasmos,B M Coen,0,A Oliver,8th,Neck,3,9-8p1,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Invincible Keen (IRE),N G McCullagh,0,M Halford & T Collins,7th,2 1/4 l,3,9-8,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Purple Sky (IRE),Gabriella Adela Hill,10,J S Bolger,6th,1 1/2 l,3,9-3,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Versatile (IRE),S Foley,0,Mrs J Harrington,5th,1 3/4 l,3,9-8t1,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,An Mhi Abu (IRE),C D Hayes,0,G P Cromwell,4th,1 1/2 l,3,9-8,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,White Clover (IRE),G F Carroll,0,J G Murphy,3rd,2 l,3,9-3,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Apricot Ice (IRE),C T Keane,0,G M Lyons,2nd,2 1/4 l,3,9-3,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Igor Stravinsky (IRE),W M Lordan,0,A P O'Brien,1st,N/A,3,9-8b,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Speedwood (FR),Non Runner,0,E & P Harty,NR,N/A,3,9-8,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Perfect Reel (IRE),C Geerdharry,7,M C Grassick,NR,N/A,3,9-8,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Hot To Foxtrot (IRE),L T McAteer,0,P T Foley,NR,N/A,4,10-1,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Sayfa Fad (IRE),G P Halpin,0,J Geoghegan,12th,3 3/4 l,3,9-3,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Saxon Kingdom (IRE),D E Sheehy,0,M C Grassick,11th,3/4 l,3,9-8h1,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Sub Rosa,R C Colgan,0,D Kinsella,10th,1 l,4,10-1t1,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Mastastroque (IRE),A J Slattery,0,J A Stack,9th,Neck,3,9-8,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Hilasmos,B M Coen,0,A Oliver,8th,Neck,3,9-8p1,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Invincible Keen (IRE),N G McCullagh,0,M Halford & T Collins,7th,2 1/4 l,3,9-8,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Purple Sky (IRE),Gabriella Adela Hill,10,J S Bolger,6th,1 1/2 l,3,9-3,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Versatile (IRE),S Foley,0,Mrs J Harrington,5th,1 3/4 l,3,9-8t1,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,An Mhi Abu (IRE),C D Hayes,0,G P Cromwell,4th,1 1/2 l,3,9-8,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,White Clover (IRE),G F Carroll,0,J G Murphy,3rd,2 l,3,9-3,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Apricot Ice (IRE),C T Keane,0,G M Lyons,2nd,2 1/4 l,3,9-3,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:15,N/A,13:15,Good (Good To Firm In Places),7f 53y,Igor Stravinsky (IRE),W M Lordan,0,A P O'Brien,1st,N/A,3,9-8b,-,True,113,28
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Albali (IRE),B M Coen,0,A Oliver,9th,14 l,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Final Entry (IRE),S Foley,0,Mrs J Harrington,8th,4 1/2 l,3,9-8tp1,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Dark Oak (IRE),G F Carroll,0,J G Murphy,7th,9 1/2 l,3,9-3,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Teofimo (IRE),D P McDonogh,0,J S Bolger,6th,Nose,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Timurshah (IRE),N G McCullagh,0,M Halford & T Collins,5th,1 3/4 l,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Highland Bling (IRE),S T McCullagh,3,Mrs J Harrington,4th,2 l,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Vice President (IRE),J Cleary,7,A P O'Brien,3rd,Nose,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Himalayan Heights (IRE),C T Keane,0,G M Lyons,2nd,7 1/2 l,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Highbury (FR),W M Lordan,0,A P O'Brien,1st,N/A,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Albali (IRE),B M Coen,0,A Oliver,9th,14 l,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Final Entry (IRE),S Foley,0,Mrs J Harrington,8th,4 1/2 l,3,9-8tp1,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Dark Oak (IRE),G F Carroll,0,J G Murphy,7th,9 1/2 l,3,9-3,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Teofimo (IRE),D P McDonogh,0,J S Bolger,6th,Nose,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Timurshah (IRE),N G McCullagh,0,M Halford & T Collins,5th,1 3/4 l,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Highland Bling (IRE),S T McCullagh,3,Mrs J Harrington,4th,2 l,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Vice President (IRE),J Cleary,7,A P O'Brien,3rd,Nose,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Himalayan Heights (IRE),C T Keane,0,G M Lyons,2nd,7 1/2 l,3,9-8,-,True,113,29
Leopardstown Racing Results | 12th May 2024 13:50,N/A,13:50,Good (Good To Firm In Places),1m 4f,Highbury (FR),W M Lordan,0,A P O'Brien,1st,N/A,3,9-8,-,True,113,29
