track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 14th March 2025 18:10,N/A,18:10,Standard,1m 4f,Migdam (FR),S Coen,7,A McGuinness,3rd,1 1/4 l,6,9-12v,78,True,164,37
Dundalk Racing Results | 14th March 2025 18:10,N/A,18:10,Standard,1m 4f,Pearl Jewel (IRE),R C Colgan,0,C Timmons,2nd,Nose,4,9-9,76,True,164,37
Dundalk Racing Results | 14th March 2025 18:10,N/A,18:10,Standard,1m 4f,Gracesolution (IRE),D W O'Connor,0,R O'Sullivan,1st,N/A,8,9-1,67,True,164,37
Dundalk Racing Results | 14th March 2025 18:10,N/A,18:10,Standard,1m 4f,Pavilion End,K G Kennedy,5,C O'Brien,6th,2 1/4 l,5,10-0,80,True,164,37
Dundalk Racing Results | 14th March 2025 18:10,N/A,18:10,Standard,1m 4f,Theophilos (IRE),J M Sheridan,0,G Keane,5th,1/2 l,6,9-5t,71,True,164,37
Dundalk Racing Results | 14th March 2025 18:10,N/A,18:10,Standard,1m 4f,Polemon,D J O'Connor,10,D Hogan,4th,1/2 l,6,9-13tp,79,True,164,37
Dundalk Racing Results | 14th March 2025 18:10,N/A,18:10,Standard,1m 4f,Migdam (FR),S Coen,7,A McGuinness,3rd,1 1/4 l,6,9-12v,78,True,164,37
Dundalk Racing Results | 14th March 2025 18:10,N/A,18:10,Standard,1m 4f,Pearl Jewel (IRE),R C Colgan,0,C Timmons,2nd,Nose,4,9-9,76,True,164,37
Dundalk Racing Results | 14th March 2025 18:10,N/A,18:10,Standard,1m 4f,Gracesolution (IRE),D W O'Connor,0,R O'Sullivan,1st,N/A,8,9-1,67,True,164,37
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Higher Kingdom,Adam Caffrey,0,A McGuinness,NR,N/A,8,9-3ht,57,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Serengeti Sunrise (IRE),J A Heffernan,0,R K Watson,13th,7 1/2 l,4,9-1tb1,55,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Feature This (IRE),R Whearty,3,Ian Donoghue,12th,4 1/4 l,6,9-5tp,59,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Altimara (IRE),L F Roche,0,R O'Sullivan,11th,Head,4,10-2,70,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Punk Poet (IRE),C D Hayes,0,E Lynam,10th,1/2 l,8,9-13t,67,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Seti (IRE),C T Keane,0,N Meade,9th,2 1/2 l,4,9-12,66,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Rampage (IRE),J J G Ryan,3,T G McCourt,8th,Neck,6,9-11p,65,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Hurricane Helen,G F Carroll,0,C Timmons,7th,2 l,7,9-11,65,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Imperial Fighter (IRE),R M Mulligan,7,P J McKenna,6th,3/4 l,6,10-2p1,70,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Free Solo (IRE),B M Coen,0,P J F Murphy,5th,Neck,8,10-0,68,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Rockbury Lad,J A Powell,3,M O'Callaghan,4th,Head,6,9-12eb,66,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Chavajod,R Coakley,0,D P Coakley,3rd,Neck,7,10-1v,69,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Daonethatgotaway,K G Kennedy,5,M Fahey,2nd,2 1/2 l,5,9-13tp,67,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Pink Oxalis (IRE),J Kearney,5,Stephen Thorne,1st,N/A,4,9-10b,64,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Higher Kingdom,Adam Caffrey,0,A McGuinness,NR,N/A,8,9-3ht,57,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Serengeti Sunrise (IRE),J A Heffernan,0,R K Watson,13th,7 1/2 l,4,9-1tb1,55,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Feature This (IRE),R Whearty,3,Ian Donoghue,12th,4 1/4 l,6,9-5tp,59,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Altimara (IRE),L F Roche,0,R O'Sullivan,11th,Head,4,10-2,70,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Punk Poet (IRE),C D Hayes,0,E Lynam,10th,1/2 l,8,9-13t,67,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Seti (IRE),C T Keane,0,N Meade,9th,2 1/2 l,4,9-12,66,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Rampage (IRE),J J G Ryan,3,T G McCourt,8th,Neck,6,9-11p,65,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Hurricane Helen,G F Carroll,0,C Timmons,7th,2 l,7,9-11,65,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Imperial Fighter (IRE),R M Mulligan,7,P J McKenna,6th,3/4 l,6,10-2p1,70,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Free Solo (IRE),B M Coen,0,P J F Murphy,5th,Neck,8,10-0,68,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Rockbury Lad,J A Powell,3,M O'Callaghan,4th,Head,6,9-12eb,66,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Chavajod,R Coakley,0,D P Coakley,3rd,Neck,7,10-1v,69,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Daonethatgotaway,K G Kennedy,5,M Fahey,2nd,2 1/2 l,5,9-13tp,67,True,164,38
Dundalk Racing Results | 14th March 2025 18:40,N/A,18:40,Standard,1m,Pink Oxalis (IRE),J Kearney,5,Stephen Thorne,1st,N/A,4,9-10b,64,True,164,38
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Hooz In Court (IRE),Jessica O'Gorman,7,E & P Harty,8th,1 1/4 l,3,8-7b,51,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Faithlegg Lodge,W J Lee,0,H De Bromhead,7th,Neck,3,9-11,69,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Your Call (IRE),J A Powell,3,N Meade,6th,1/2 l,3,9-6,64,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,In The Minus (IRE),L T McAteer,0,Sean Davis,5th,Neck,3,8-13,57,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Esque Elegance (IRE),R Coakley,0,J C McConnell,4th,Head,3,9-1p1,59,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,All Right By Me (IRE),C T Keane,0,G M Lyons,3rd,1/2 l,3,10-0b1,72,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Amber Blossom,R M Mulligan,7,J P Murtagh,2nd,1 l,3,9-10,68,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Sunriseontheboyne (IRE),W Joyce,5,M Mulvany,1st,N/A,3,9-9,67,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Hooz In Court (IRE),Jessica O'Gorman,7,E & P Harty,8th,1 1/4 l,3,8-7b,51,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Faithlegg Lodge,W J Lee,0,H De Bromhead,7th,Neck,3,9-11,69,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Your Call (IRE),J A Powell,3,N Meade,6th,1/2 l,3,9-6,64,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,In The Minus (IRE),L T McAteer,0,Sean Davis,5th,Neck,3,8-13,57,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Esque Elegance (IRE),R Coakley,0,J C McConnell,4th,Head,3,9-1p1,59,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,All Right By Me (IRE),C T Keane,0,G M Lyons,3rd,1/2 l,3,10-0b1,72,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Amber Blossom,R M Mulligan,7,J P Murtagh,2nd,1 l,3,9-10,68,True,164,39
Dundalk Racing Results | 14th March 2025 19:10,N/A,19:10,Standard,1m,Sunriseontheboyne (IRE),W Joyce,5,M Mulvany,1st,N/A,3,9-9,67,True,164,39
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Remarkable News (IRE),N M Crosse,0,J Feane,NR,N/A,3,8-10,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Li Ban (IRE),W M Lordan,0,A Murray,6th,Neck,3,9-0,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Dark Ace (IRE),C T Keane,0,A McGuinness,5th,2 1/4 l,3,9-8,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Beauty Queen (IRE),S Foley,0,Gerard O'Leary,4th,Head,3,9-3,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Sir Yoshi (IRE),L T McAteer,0,D Marnane,3rd,1 l,3,9-5,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Songhai (IRE),B M Coen,0,J P Murtagh,2nd,4 1/2 l,3,9-0,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Arizona Blaze,D Egan,0,A Murray,1st,N/A,3,9-10,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Remarkable News (IRE),N M Crosse,0,J Feane,NR,N/A,3,8-10,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Li Ban (IRE),W M Lordan,0,A Murray,6th,Neck,3,9-0,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Dark Ace (IRE),C T Keane,0,A McGuinness,5th,2 1/4 l,3,9-8,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Beauty Queen (IRE),S Foley,0,Gerard O'Leary,4th,Head,3,9-3,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Sir Yoshi (IRE),L T McAteer,0,D Marnane,3rd,1 l,3,9-5,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Songhai (IRE),B M Coen,0,J P Murtagh,2nd,4 1/2 l,3,9-0,-,True,164,40
Dundalk Racing Results | 14th March 2025 19:40,N/A,19:40,Standard,6f,Arizona Blaze,D Egan,0,A Murray,1st,N/A,3,9-10,-,True,164,40
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Inishmot Prince (IRE),J J G Ryan,3,T G McCourt,7th,1 1/2 l,7,9-2v,81,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Dontspoilasale (IRE),W M Lordan,0,A McGuinness,6th,1/2 l,5,9-0,79,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Mehman,S Foley,0,Gerard O'Leary,5th,2 1/2 l,6,9-9,88,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Daamberdiplomat (IRE),B M Coen,0,J P Murtagh,4th,Neck,5,10-0,93,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Never Shout Never (IRE),J A Powell,3,Stephen Thorne,3rd,Neck,5,8-13t,78,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Collective Power (IRE),Sorcha Woods,7,E Lynam,2nd,Nose,7,9-1,80,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Harry's Bar,J Kearney,5,Stephen Thorne,1st,N/A,10,9-13tp,92,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Inishmot Prince (IRE),J J G Ryan,3,T G McCourt,7th,1 1/2 l,7,9-2v,81,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Dontspoilasale (IRE),W M Lordan,0,A McGuinness,6th,1/2 l,5,9-0,79,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Mehman,S Foley,0,Gerard O'Leary,5th,2 1/2 l,6,9-9,88,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Daamberdiplomat (IRE),B M Coen,0,J P Murtagh,4th,Neck,5,10-0,93,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Never Shout Never (IRE),J A Powell,3,Stephen Thorne,3rd,Neck,5,8-13t,78,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Collective Power (IRE),Sorcha Woods,7,E Lynam,2nd,Nose,7,9-1,80,True,164,41
Dundalk Racing Results | 14th March 2025 20:10,N/A,20:10,Standard,6f,Harry's Bar,J Kearney,5,Stephen Thorne,1st,N/A,10,9-13tp,92,True,164,41
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Miss Manzor,P Townend,0,W P Mullins,PU,N/A,5,11-7,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Lep Around (IRE),J P Shinnick,5,Miss M Harding,6th,36 l,7,11-7h,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Eve's Hope (IRE),P K Donovan,5,M O Quigley,5th,4 1/2 l,7,11-7t,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Media Naranja (IRE),J C Gainford,0,G Elliott,4th,3/4 l,6,11-7,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Goodie Two Shoes (IRE),S D Torrens,0,J P O'Brien,3rd,15 l,6,11-7t,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Theatre Native (IRE),D J O'Keeffe,0,H De Bromhead,2nd,1 1/2 l,7,11-7h,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,A Law Of Her Own (IRE),S F O'Keeffe,0,Peter Fahey,1st,N/A,8,11-7v,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Miss Manzor,P Townend,0,W P Mullins,PU,N/A,5,11-7,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Lep Around (IRE),J P Shinnick,5,Miss M Harding,6th,36 l,7,11-7h,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Eve's Hope (IRE),P K Donovan,5,M O Quigley,5th,4 1/2 l,7,11-7t,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Media Naranja (IRE),J C Gainford,0,G Elliott,4th,3/4 l,6,11-7,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Goodie Two Shoes (IRE),S D Torrens,0,J P O'Brien,3rd,15 l,6,11-7t,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,Theatre Native (IRE),D J O'Keeffe,0,H De Bromhead,2nd,1 1/2 l,7,11-7h,-,True,164,42
Thurles Racing Results | 15th March 2025 13:55,N/A,13:55,Good To Yielding (Yielding In Places),2m 2f 17y,A Law Of Her Own (IRE),S F O'Keeffe,0,Peter Fahey,1st,N/A,8,11-7v,-,True,164,42
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,Fun Fun Fun (IRE),J J Slevin,0,W P Mullins,NR,N/A,7,10-8h,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,Committee Meeting (IRE),D Robinson,0,P J Rothwell,UR,N/A,6,11-1,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,Prairie Dancer (IRE),J J Slevin,0,J P O'Brien,4th,36 l,7,11-1b,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,Drumgill (IRE),D King,0,J P Ryan,3rd,15 l,6,11-1,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,High Class Hero,P Townend,0,W P Mullins,2nd,3/4 l,8,11-1,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,Common Practice (IRE),S D Torrens,0,J P O'Brien,1st,N/A,6,11-1tp,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,Fun Fun Fun (IRE),J J Slevin,0,W P Mullins,NR,N/A,7,10-8h,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,Committee Meeting (IRE),D Robinson,0,P J Rothwell,UR,N/A,6,11-1,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,Prairie Dancer (IRE),J J Slevin,0,J P O'Brien,4th,36 l,7,11-1b,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,Drumgill (IRE),D King,0,J P Ryan,3rd,15 l,6,11-1,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,High Class Hero,P Townend,0,W P Mullins,2nd,3/4 l,8,11-1,-,True,164,43
Thurles Racing Results | 15th March 2025 14:30,N/A,14:30,Good To Yielding (Yielding In Places),2m 4f 176y,Common Practice (IRE),S D Torrens,0,J P O'Brien,1st,N/A,6,11-1tp,-,True,164,43
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Walk In Time (IRE),A P Kelly,5,D H Kelly,NR,N/A,8,10-6t,90,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Big Island (IRE),C M Quirke,3,W J Lanigan,NR,N/A,8,11-1,99,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Get It Right (IRE),S F O'Keeffe,0,S Aherne,PU,N/A,7,10-10,94,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Andyourbirdcansing (IRE),D King,0,J P Ryan,F,N/A,7,10-6,90,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Baltinglass Hill (IRE),S D Torrens,0,P J Rothwell,11th,7 l,8,10-7b,91,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Malinas Glory (IRE),C Stone-Walsh,3,A O'Grady,10th,4 1/2 l,8,11-2t,100,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Dontdooddson (FR),P K Donovan,5,D Collins,9th,1 1/4 l,12,10-3,87,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Secret She Keeps (IRE),Mr D Doyle,7,T Doyle,8th,4 3/4 l,8,12-0,112,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Must Be Dreaming (IRE),J P Shinnick,5,G Ahern,7th,2 l,8,11-2p,100,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Ricky Langford (IRE),Tiernan Power Roche,5,P J Rothwell,6th,1/2 l,11,10-8p,92,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Irish Impulse (IRE),P T Enright,0,R Tyner,5th,4 1/4 l,7,10-8t,92,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Clonbury Bridge (IRE),C G O'Dwyer,5,J P Dempsey,4th,4 1/2 l,9,11-13tb,111,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Crowsatedappletart (IRE),D J O'Keeffe,0,M Winters,3rd,2 1/2 l,8,10-4,88,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Lilian Bland (IRE),R Deegan,0,N P Hennessy,2nd,4 1/2 l,9,11-1,99,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Spinning Web (IRE),D Meyler,0,Ms M Mullins,1st,N/A,5,12-1t,115,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Walk In Time (IRE),A P Kelly,5,D H Kelly,NR,N/A,8,10-6t,90,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Big Island (IRE),C M Quirke,3,W J Lanigan,NR,N/A,8,11-1,99,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Get It Right (IRE),S F O'Keeffe,0,S Aherne,PU,N/A,7,10-10,94,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Andyourbirdcansing (IRE),D King,0,J P Ryan,F,N/A,7,10-6,90,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Baltinglass Hill (IRE),S D Torrens,0,P J Rothwell,11th,7 l,8,10-7b,91,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Malinas Glory (IRE),C Stone-Walsh,3,A O'Grady,10th,4 1/2 l,8,11-2t,100,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Dontdooddson (FR),P K Donovan,5,D Collins,9th,1 1/4 l,12,10-3,87,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Secret She Keeps (IRE),Mr D Doyle,7,T Doyle,8th,4 3/4 l,8,12-0,112,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Must Be Dreaming (IRE),J P Shinnick,5,G Ahern,7th,2 l,8,11-2p,100,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Ricky Langford (IRE),Tiernan Power Roche,5,P J Rothwell,6th,1/2 l,11,10-8p,92,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Irish Impulse (IRE),P T Enright,0,R Tyner,5th,4 1/4 l,7,10-8t,92,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Clonbury Bridge (IRE),C G O'Dwyer,5,J P Dempsey,4th,4 1/2 l,9,11-13tb,111,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Crowsatedappletart (IRE),D J O'Keeffe,0,M Winters,3rd,2 1/2 l,8,10-4,88,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Lilian Bland (IRE),R Deegan,0,N P Hennessy,2nd,4 1/2 l,9,11-1,99,True,164,44
Thurles Racing Results | 15th March 2025 15:05,N/A,15:05,Good To Yielding (Yielding In Places),2m 4f 176y,Spinning Web (IRE),D Meyler,0,Ms M Mullins,1st,N/A,5,12-1t,115,True,164,44
Thurles Racing Results | 15th March 2025 15:40,N/A,15:40,Good (Good To Yielding In Places),1m 7f 136y,Midnight Eugene (IRE),C M Quirke,0,T Doyle,UR,N/A,8,11-12b,-,True,164,45
Thurles Racing Results | 15th March 2025 15:40,N/A,15:40,Good (Good To Yielding In Places),1m 7f 136y,Rinnaseer King (IRE),B P Kennedy,4,T P O'Connor,PU,N/A,6,11-12b1,-,True,164,45
Thurles Racing Results | 15th March 2025 15:40,N/A,15:40,Good (Good To Yielding In Places),1m 7f 136y,Slieve Annilog (IRE),O R Brown,2,R Dunne,F,N/A,7,11-12,-,True,164,45
Thurles Racing Results | 15th March 2025 15:40,N/A,15:40,Good (Good To Yielding In Places),1m 7f 136y,Getaway Blondie (IRE),H E Sexton,4,A Sexton,13th,1 1/2 l,5,11-12p,-,True,164,45
Thurles Racing Results | 15th March 2025 15:40,N/A,15:40,Good (Good To Yielding In Places),1m 7f 136y,Gatehouse Boy (FR),A P Kelly,0,P J Rothwell,12th,22 l,5,11-12,-,True,164,45
Thurles Racing Results | 15th March 2025 15:40,N/A,15:40,Good (Good To Yielding In Places),1m 7f 136y,Killala Bay (IRE),L A McKenna,2,P W Flynn,11th,6 1/2 l,5,11-12,-,True,164,45
Thurles Racing Results | 15th March 2025 15:40,N/A,15:40,Good (Good To Yielding In Places),1m 7f 136y,Pension Plan (IRE),G Brouder,0,P W Flynn,10th,15 l,5,11-12,-,True,164,45
Thurles Racing Results | 15th March 2025 15:40,N/A,15:40,Good (Good To Yielding In Places),1m 7f 136y,Abitlikethat (IRE),G B Noonan,0,P J Rothwell,9th,4 1/2 l,5,11-12,-,True,164,45
