track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Hurricane Georgie (IRE),K C Sexton,0,G Elliott,6th,7 l,7,10-9,137,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Duffle Coat (IRE),Sam Ewing,0,G Elliott,5th,5 1/2 l,7,10-12p,140,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Flanking Maneuver (IRE),J J Slevin,0,N Meade,4th,Short Head,9,10-4b1,132,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Tullybeg (IRE),D J Gilligan,3,G Elliott,3rd,1/2 l,9,10-12t,140,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Amirite (IRE),Rachael Blackmore,0,H De Bromhead,2nd,3 l,8,11-0t,142,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Idas Boy (IRE),C Stone-Walsh,5,N Meade,1st,N/A,10,11-4p,146,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Moonovercloon (IRE),P T Enright,0,M J Smith,F,N/A,7,10-1,129,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Salvador Ziggy (IRE),J Coen,3,G Elliott,13th,3/4 l,8,11-12,154,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Stealthy Tom (IRE),S D Torrens,0,E Bolger,12th,6 l,9,11-1b,143,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Ontheropes (IRE),P Townend,0,W P Mullins,11th,2 1/2 l,10,10-9t,137,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Frontal Assault (IRE),D Meyler,0,G Elliott,10th,Neck,9,10-7b,135,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Mousey Brown (IRE),P J O'Hanlon,0,D A McLoughlin,9th,4 3/4 l,7,10-3t,131,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Lucky Zebo,D J O'Keeffe,0,H De Bromhead,8th,1 l,7,10-5,133,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,The Echo Boy (IRE),M J M O'Sullivan,0,D A McLoughlin,7th,3/4 l,11,10-2t,130,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Hurricane Georgie (IRE),K C Sexton,0,G Elliott,6th,7 l,7,10-9,137,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Duffle Coat (IRE),Sam Ewing,0,G Elliott,5th,5 1/2 l,7,10-12p,140,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Flanking Maneuver (IRE),J J Slevin,0,N Meade,4th,Short Head,9,10-4b1,132,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Tullybeg (IRE),D J Gilligan,3,G Elliott,3rd,1/2 l,9,10-12t,140,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Amirite (IRE),Rachael Blackmore,0,H De Bromhead,2nd,3 l,8,11-0t,142,True,127,29
Kilbeggan Racing Results | 12th July 2024 19:55,N/A,19:55,Good To Yielding,3m 1f 80y,Idas Boy (IRE),C Stone-Walsh,5,N Meade,1st,N/A,10,11-4p,146,True,127,29
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Emily In Paris (IRE),M J M O'Sullivan,0,D E Fitzgerald,NR,N/A,6,11-5,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,No Time To Wait (IRE),B W Harvey,0,J C McConnell,PU,N/A,6,11-12,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Ringdufferin (IRE),J S McGarvey,0,G Elliott,PU,N/A,6,11-12p,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Sam Magee (IRE),Rachael Blackmore,0,H De Bromhead,PU,N/A,7,11-12t,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Welsh Saint (FR),S Fitzgerald,0,C A McBratney,PU,N/A,10,11-12p,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,La Vega Moon (IRE),P Hanlon,7,J J Hanlon,PU,N/A,6,11-12p,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Prairie Dancer (IRE),J J Slevin,0,J P O'Brien,6th,35 l,6,11-12b,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Drop The Anchor (IRE),S D Torrens,0,P A Fahy,5th,40 l,10,11-12,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Joyeux Vivo (FR),M P Walsh,0,John E & Kiely,4th,13 l,5,11-12,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Charlie Luciano (IRE),S W Flanagan,0,N Meade,3rd,2 l,5,11-12,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Stuzzikini (IRE),Sam Ewing,0,G Elliott,2nd,5 l,6,11-12p,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Bardenstown Lad,K M Donoghue,0,G P Cromwell,1st,N/A,9,11-12p,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Emily In Paris (IRE),M J M O'Sullivan,0,D E Fitzgerald,NR,N/A,6,11-5,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,No Time To Wait (IRE),B W Harvey,0,J C McConnell,PU,N/A,6,11-12,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Ringdufferin (IRE),J S McGarvey,0,G Elliott,PU,N/A,6,11-12p,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Sam Magee (IRE),Rachael Blackmore,0,H De Bromhead,PU,N/A,7,11-12t,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Welsh Saint (FR),S Fitzgerald,0,C A McBratney,PU,N/A,10,11-12p,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,La Vega Moon (IRE),P Hanlon,7,J J Hanlon,PU,N/A,6,11-12p,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Prairie Dancer (IRE),J J Slevin,0,J P O'Brien,6th,35 l,6,11-12b,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Drop The Anchor (IRE),S D Torrens,0,P A Fahy,5th,40 l,10,11-12,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Joyeux Vivo (FR),M P Walsh,0,John E & Kiely,4th,13 l,5,11-12,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Charlie Luciano (IRE),S W Flanagan,0,N Meade,3rd,2 l,5,11-12,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Stuzzikini (IRE),Sam Ewing,0,G Elliott,2nd,5 l,6,11-12p,-,True,127,30
Kilbeggan Racing Results | 12th July 2024 20:30,N/A,20:30,Good To Yielding,3m 1f 80y,Bardenstown Lad,K M Donoghue,0,G P Cromwell,1st,N/A,9,11-12p,-,True,127,30
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Dysart Dasher (IRE),P Townend,0,W P Mullins,NR,N/A,7,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Tom's My Star (IRE),H Morgan,0,E Griffin,PU,N/A,6,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Penny West (IRE),B Hayes,0,W P Mullins,13th,15 l,5,11-5h1,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Handy Manny (IRE),P J O'Hanlon,0,D A McLoughlin,12th,27 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Tommies Call (IRE),P T Smithers,7,J P Fahey,11th,8 1/2 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Glin Road Dream (IRE),P Byrnes,3,C Byrnes,10th,8 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Waramunga (IRE),S F O'Keeffe,0,Bernard Crowley,9th,1 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Premier Gale (IRE),D J Gilligan,3,Mrs P Dobbs,8th,21 l,6,11-5,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Knocknagoran Lady (IRE),B W Harvey,0,Cian Hughes,7th,3 1/2 l,5,11-5,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Fix It For Me (IRE),L A McKenna,5,Colm Murphy,6th,6 l,5,11-5,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Impakt St Georges (FR),R Deegan,0,Mary Ellen Doyle,5th,Neck,6,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Ol Man Dingle (IRE),R A Doyle,0,E Griffin,4th,1 3/4 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Nels Son (IRE),C Stone-Walsh,5,Colm Murphy,3rd,5 1/2 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Lightkeeper (IRE),Sam Ewing,0,G Elliott,2nd,2 3/4 l,6,11-12tp1,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Nouvotic (FR),Rachael Blackmore,0,H De Bromhead,1st,N/A,5,11-12h,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Dysart Dasher (IRE),P Townend,0,W P Mullins,NR,N/A,7,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Tom's My Star (IRE),H Morgan,0,E Griffin,PU,N/A,6,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Penny West (IRE),B Hayes,0,W P Mullins,13th,15 l,5,11-5h1,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Handy Manny (IRE),P J O'Hanlon,0,D A McLoughlin,12th,27 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Tommies Call (IRE),P T Smithers,7,J P Fahey,11th,8 1/2 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Glin Road Dream (IRE),P Byrnes,3,C Byrnes,10th,8 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Waramunga (IRE),S F O'Keeffe,0,Bernard Crowley,9th,1 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Premier Gale (IRE),D J Gilligan,3,Mrs P Dobbs,8th,21 l,6,11-5,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Knocknagoran Lady (IRE),B W Harvey,0,Cian Hughes,7th,3 1/2 l,5,11-5,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Fix It For Me (IRE),L A McKenna,5,Colm Murphy,6th,6 l,5,11-5,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Impakt St Georges (FR),R Deegan,0,Mary Ellen Doyle,5th,Neck,6,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Ol Man Dingle (IRE),R A Doyle,0,E Griffin,4th,1 3/4 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Nels Son (IRE),C Stone-Walsh,5,Colm Murphy,3rd,5 1/2 l,5,11-12,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Lightkeeper (IRE),Sam Ewing,0,G Elliott,2nd,2 3/4 l,6,11-12tp1,-,True,127,31
Wexford Racing Results | 13th July 2024 13:00,N/A,13:00,Good (Good To Yielding In Places),2m 4f 100y,Nouvotic (FR),Rachael Blackmore,0,H De Bromhead,1st,N/A,5,11-12h,-,True,127,31
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Ladyeze Man (IRE),K M Donoghue,0,J P Flavin,NR,N/A,6,11-9t,90,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Ar Nos Na Gaoithe (IRE),S D Torrens,0,P J Rothwell,UR,N/A,5,11-4,85,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Helicon (IRE),P J O'Hanlon,0,D A McLoughlin,PU,N/A,6,12-0t,95,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Sand Castle (IRE),Eoin G Kelly,7,A Murray,F,N/A,8,11-4tp,85,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Tasmanian Girl (IRE),A Harvey,7,Aengus King,11th,10 l,4,11-3p,88,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Petite Mike (IRE),M J M O'Sullivan,0,G Ahern,10th,26 l,6,11-2,83,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Lisamaria (IRE),K C Sexton,0,P W Flynn,9th,1 1/4 l,5,11-6,87,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Katzoff (IRE),S Fitzgerald,0,J Morrison,8th,8 l,7,11-1,82,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Ben Vrackie,D King,0,Mrs C O'Leary,7th,Neck,9,11-1t1,82,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Portarlington (IRE),M M McDonagh,0,D Budds,6th,Short Head,5,11-11,92,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Applejack Poet (IRE),T P Harney,7,Liz Doyle,5th,1/2 l,7,11-12,93,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,The Empty Kettel (IRE),J J Slevin,0,G J Power,4th,4 l,6,11-11t,92,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Tingarran Express (IRE),B Hayes,0,Miss D O'Shea,3rd,1 1/2 l,7,12-0h,95,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Ballycommon Chapel (IRE),R Deegan,0,R Donohoe,2nd,1/2 l,6,11-5,86,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Johnny Clarke (IRE),D J O'Keeffe,0,W J Burke,1st,N/A,7,11-5,86,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Ladyeze Man (IRE),K M Donoghue,0,J P Flavin,NR,N/A,6,11-9t,90,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Ar Nos Na Gaoithe (IRE),S D Torrens,0,P J Rothwell,UR,N/A,5,11-4,85,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Helicon (IRE),P J O'Hanlon,0,D A McLoughlin,PU,N/A,6,12-0t,95,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Sand Castle (IRE),Eoin G Kelly,7,A Murray,F,N/A,8,11-4tp,85,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Tasmanian Girl (IRE),A Harvey,7,Aengus King,11th,10 l,4,11-3p,88,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Petite Mike (IRE),M J M O'Sullivan,0,G Ahern,10th,26 l,6,11-2,83,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Lisamaria (IRE),K C Sexton,0,P W Flynn,9th,1 1/4 l,5,11-6,87,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Katzoff (IRE),S Fitzgerald,0,J Morrison,8th,8 l,7,11-1,82,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Ben Vrackie,D King,0,Mrs C O'Leary,7th,Neck,9,11-1t1,82,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Portarlington (IRE),M M McDonagh,0,D Budds,6th,Short Head,5,11-11,92,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Applejack Poet (IRE),T P Harney,7,Liz Doyle,5th,1/2 l,7,11-12,93,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,The Empty Kettel (IRE),J J Slevin,0,G J Power,4th,4 l,6,11-11t,92,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Tingarran Express (IRE),B Hayes,0,Miss D O'Shea,3rd,1 1/2 l,7,12-0h,95,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Ballycommon Chapel (IRE),R Deegan,0,R Donohoe,2nd,1/2 l,6,11-5,86,True,127,32
Wexford Racing Results | 13th July 2024 13:30,N/A,13:30,Good (Good To Yielding In Places),2m 195y,Johnny Clarke (IRE),D J O'Keeffe,0,W J Burke,1st,N/A,7,11-5,86,True,127,32
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Sunwalk,C G O'Dwyer,5,S Neville,NR,N/A,6,11-1t,82,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Miss Aytan (IRE),Mr J L Gleeson,5,John E & Kiely,14th,6 l,7,11-12h,93,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Surviving Murmansk (IRE),J J Slevin,0,J Barcoe,13th,14 l,6,11-3,84,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Late Vocation (IRE),P K Donovan,5,P F McEnery,12th,7 1/2 l,6,12-0t1,95,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Boston Bobby (IRE),P J O'Hanlon,0,P J Rothwell,11th,1/2 l,5,11-2,83,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Trishknowsbest (IRE),K M Donoghue,0,Mrs P Dobbs,10th,1 3/4 l,7,11-10t,91,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Fox Leicester (IRE),Niall Moore,7,J M Burke,9th,Neck,8,11-13p,94,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Cottage Artist (IRE),P T Enright,0,V T O'Brien,8th,1 l,11,10-13p,80,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Onebrightbluerose (IRE),P Byrnes,3,Patrick Cronin,7th,1 3/4 l,5,11-3,84,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Edge Of My Seat (IRE),S D Torrens,0,A A Howard,6th,1/2 l,6,11-9h,90,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Kate Ill Know (IRE),J P Shinnick,7,D Budds,5th,3 1/4 l,11,10-13,80,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Romella (IRE),Mr C J Shine,7,Brendan Walsh,4th,3/4 l,10,10-13tp,80,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Caoimhes Pet (IRE),G B Noonan,5,E McCarthy,3rd,1 3/4 l,7,11-12t,93,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,The Striker Dylan (IRE),R Deegan,0,L P Cusack,2nd,1/2 l,6,11-10,91,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Getaway Henry (IRE),D Meyler,0,Daniel O'leary,1st,N/A,7,10-13,80,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Sunwalk,C G O'Dwyer,5,S Neville,NR,N/A,6,11-1t,82,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Miss Aytan (IRE),Mr J L Gleeson,5,John E & Kiely,14th,6 l,7,11-12h,93,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Surviving Murmansk (IRE),J J Slevin,0,J Barcoe,13th,14 l,6,11-3,84,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Late Vocation (IRE),P K Donovan,5,P F McEnery,12th,7 1/2 l,6,12-0t1,95,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Boston Bobby (IRE),P J O'Hanlon,0,P J Rothwell,11th,1/2 l,5,11-2,83,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Trishknowsbest (IRE),K M Donoghue,0,Mrs P Dobbs,10th,1 3/4 l,7,11-10t,91,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Fox Leicester (IRE),Niall Moore,7,J M Burke,9th,Neck,8,11-13p,94,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Cottage Artist (IRE),P T Enright,0,V T O'Brien,8th,1 l,11,10-13p,80,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Onebrightbluerose (IRE),P Byrnes,3,Patrick Cronin,7th,1 3/4 l,5,11-3,84,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Edge Of My Seat (IRE),S D Torrens,0,A A Howard,6th,1/2 l,6,11-9h,90,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Kate Ill Know (IRE),J P Shinnick,7,D Budds,5th,3 1/4 l,11,10-13,80,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Romella (IRE),Mr C J Shine,7,Brendan Walsh,4th,3/4 l,10,10-13tp,80,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Caoimhes Pet (IRE),G B Noonan,5,E McCarthy,3rd,1 3/4 l,7,11-12t,93,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,The Striker Dylan (IRE),R Deegan,0,L P Cusack,2nd,1/2 l,6,11-10,91,True,127,33
Wexford Racing Results | 13th July 2024 14:05,N/A,14:05,Good (Good To Yielding In Places),2m 195y,Getaway Henry (IRE),D Meyler,0,Daniel O'leary,1st,N/A,7,10-13,80,True,127,33
Wexford Racing Results | 13th July 2024 14:40,N/A,14:40,Good (Good To Yielding In Places),3m,Sights Unseen (IRE),J J Slevin,0,S Slevin,NR,N/A,5,10-11,-,True,127,34
