track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 23rd March 2024 14:17,N/A,14:17,Heavy,1m 7f 150y,Union Station (IRE),K M Donoghue,0,G P Cromwell,3rd,4 1/4 l,5,11-12,-,True,105,32
Navan Racing Results | 23rd March 2024 14:17,N/A,14:17,Heavy,1m 7f 150y,Well Dressed (IRE),M P Walsh,0,E & P Harty,2nd,3 l,5,11-5,-,True,105,32
Navan Racing Results | 23rd March 2024 14:17,N/A,14:17,Heavy,1m 7f 150y,Rainbow Trail (FR),J W Kennedy,0,G Elliott,1st,N/A,6,11-12,-,True,105,32
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Pinky (IRE),Conor Clarke,7,E Mullins,6th,50 l,5,10-0,90,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Purse Price,Sam Ewing,0,G Elliott,5th,12 l,7,11-8tp,112,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Sidiriya (IRE),S D Torrens,0,P J Rothwell,4th,5 l,5,10-3,93,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Circus Act (IRE),G Brouder,0,J Nash,3rd,1 1/4 l,5,10-9b,99,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Instant Tendance (FR),J W Kennedy,0,G Elliott,2nd,3 1/2 l,6,11-12t,116,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Influential Lady (IRE),K Callaghan,0,J Barcoe,1st,N/A,10,11-1,105,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Pinky (IRE),Conor Clarke,7,E Mullins,6th,50 l,5,10-0,90,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Purse Price,Sam Ewing,0,G Elliott,5th,12 l,7,11-8tp,112,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Sidiriya (IRE),S D Torrens,0,P J Rothwell,4th,5 l,5,10-3,93,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Circus Act (IRE),G Brouder,0,J Nash,3rd,1 1/4 l,5,10-9b,99,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Instant Tendance (FR),J W Kennedy,0,G Elliott,2nd,3 1/2 l,6,11-12t,116,True,105,33
Navan Racing Results | 23rd March 2024 14:50,N/A,14:50,Heavy,1m 7f 150y,Influential Lady (IRE),K Callaghan,0,J Barcoe,1st,N/A,10,11-1,105,True,105,33
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,El Capitaine (IRE),D Meyler,0,Tom Dreaper,NR,N/A,6,11-12,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Every River,Sam Ewing,0,W J Bryson,NR,N/A,8,11-12,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Splendid Choice (IRE),J Smith,7,M J Smith,PU,N/A,5,11-12h1,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Lightkeeper (IRE),J W Kennedy,0,G Elliott,5th,10 l,6,11-12,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Howdoyalikeherhome (IRE),M J M O'Sullivan,0,P T Foley,4th,3 l,5,11-12,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Fameaftertheglory,K M Donoghue,0,G P Cromwell,3rd,20 l,8,11-12,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Karacole (FR),D J O'Keeffe,0,J Barcoe,2nd,3 3/4 l,8,11-5,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Iceberg Theory (IRE),S W Flanagan,0,P Nolan,1st,N/A,5,11-12p1,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,El Capitaine (IRE),D Meyler,0,Tom Dreaper,NR,N/A,6,11-12,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Every River,Sam Ewing,0,W J Bryson,NR,N/A,8,11-12,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Splendid Choice (IRE),J Smith,7,M J Smith,PU,N/A,5,11-12h1,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Lightkeeper (IRE),J W Kennedy,0,G Elliott,5th,10 l,6,11-12,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Howdoyalikeherhome (IRE),M J M O'Sullivan,0,P T Foley,4th,3 l,5,11-12,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Fameaftertheglory,K M Donoghue,0,G P Cromwell,3rd,20 l,8,11-12,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Karacole (FR),D J O'Keeffe,0,J Barcoe,2nd,3 3/4 l,8,11-5,-,True,105,34
Navan Racing Results | 23rd March 2024 15:25,N/A,15:25,Heavy,2m 4f,Iceberg Theory (IRE),S W Flanagan,0,P Nolan,1st,N/A,5,11-12p1,-,True,105,34
Navan Racing Results | 23rd March 2024 15:58,N/A,15:58,Heavy,2m 5f 150y,Miss Vivacious (IRE),D J O'Keeffe,0,T Gibney,4th,11 l,6,10-7,-,True,105,35
Navan Racing Results | 23rd March 2024 15:58,N/A,15:58,Heavy,2m 5f 150y,Binge Worthy (IRE),D J Gilligan,5,G Elliott,3rd,Neck,6,11-4,-,True,105,35
Navan Racing Results | 23rd March 2024 15:58,N/A,15:58,Heavy,2m 5f 150y,Twoohthree (IRE),J W Kennedy,0,G Elliott,2nd,4 1/4 l,5,11-4,-,True,105,35
Navan Racing Results | 23rd March 2024 15:58,N/A,15:58,Heavy,2m 5f 150y,Chapeau De Soleil (IRE),P Townend,0,W P Mullins,1st,N/A,6,11-4,-,True,105,35
Navan Racing Results | 23rd March 2024 15:58,N/A,15:58,Heavy,2m 5f 150y,Miss Vivacious (IRE),D J O'Keeffe,0,T Gibney,4th,11 l,6,10-7,-,True,105,35
Navan Racing Results | 23rd March 2024 15:58,N/A,15:58,Heavy,2m 5f 150y,Binge Worthy (IRE),D J Gilligan,5,G Elliott,3rd,Neck,6,11-4,-,True,105,35
Navan Racing Results | 23rd March 2024 15:58,N/A,15:58,Heavy,2m 5f 150y,Twoohthree (IRE),J W Kennedy,0,G Elliott,2nd,4 1/4 l,5,11-4,-,True,105,35
Navan Racing Results | 23rd March 2024 15:58,N/A,15:58,Heavy,2m 5f 150y,Chapeau De Soleil (IRE),P Townend,0,W P Mullins,1st,N/A,6,11-4,-,True,105,35
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Galon De Vauzelle (FR),P J O'Hanlon,3,P J Rothwell,NR,N/A,8,11-1b,116,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Folcano (FR),D J Gilligan,5,G Elliott,PU,N/A,9,11-12p,127,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Clonmeen (IRE),S D Torrens,0,William P Murphy,9th,Short Head,9,11-8t,123,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Verdant Place (IRE),M P Walsh,0,P T Foley,8th,Neck,6,10-12,113,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Paul Marvel (FR),P Townend,0,W P Mullins,7th,9 1/2 l,7,11-11,126,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Malton Groove (IRE),P M O'Brien,7,D A McLoughlin,6th,1 1/4 l,7,10-0h,101,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Brucejack (IRE),M J M O'Sullivan,0,P A Fahy,5th,4 1/2 l,7,10-5,106,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Battle It Out (IRE),C G O'Dwyer,5,C O'Dwyer,4th,7 1/2 l,6,11-12h,127,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,The Gradual Slope (IRE),M M McDonagh,3,S O O'Brien,3rd,13 l,7,10-13,114,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Ask Anything (IRE),K M Donoghue,0,G P Cromwell,2nd,Neck,6,11-7t1,122,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Bushmans Pass (IRE),P T Enright,0,O McKiernan,1st,N/A,8,11-1,116,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Galon De Vauzelle (FR),P J O'Hanlon,3,P J Rothwell,NR,N/A,8,11-1b,116,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Folcano (FR),D J Gilligan,5,G Elliott,PU,N/A,9,11-12p,127,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Clonmeen (IRE),S D Torrens,0,William P Murphy,9th,Short Head,9,11-8t,123,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Verdant Place (IRE),M P Walsh,0,P T Foley,8th,Neck,6,10-12,113,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Paul Marvel (FR),P Townend,0,W P Mullins,7th,9 1/2 l,7,11-11,126,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Malton Groove (IRE),P M O'Brien,7,D A McLoughlin,6th,1 1/4 l,7,10-0h,101,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Brucejack (IRE),M J M O'Sullivan,0,P A Fahy,5th,4 1/2 l,7,10-5,106,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Battle It Out (IRE),C G O'Dwyer,5,C O'Dwyer,4th,7 1/2 l,6,11-12h,127,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,The Gradual Slope (IRE),M M McDonagh,3,S O O'Brien,3rd,13 l,7,10-13,114,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Ask Anything (IRE),K M Donoghue,0,G P Cromwell,2nd,Neck,6,11-7t1,122,True,105,36
Navan Racing Results | 23rd March 2024 16:33,N/A,16:33,Heavy,2m 7f 100y,Bushmans Pass (IRE),P T Enright,0,O McKiernan,1st,N/A,8,11-1,116,True,105,36
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Jacksons Gold (IRE),J G Gilligan,7,Ms Alice Curran,NR,N/A,10,11-11,113,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Noble Blue (FR),S W Flanagan,0,P Nolan,PU,N/A,6,11-3h,105,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Bigz Belief (IRE),B W Harvey,0,M J Smith,PU,N/A,7,11-6tb,108,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,De Lady In Red (IRE),M J M O'Sullivan,0,B Connell,F,N/A,8,11-7t,109,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Joke Dancer,D J O'Keeffe,0,P Griffin,5th,6 l,11,10-9t,97,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Politicise (IRE),Sam Ewing,0,N Slevin,4th,7 l,8,11-0tp,102,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Mighty Oak Lad (IRE),D Meyler,0,K Thornton,3rd,22 l,6,10-13,101,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Dutch Schultz,K M Donoghue,0,G P Cromwell,2nd,3/4 l,7,12-0h,116,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Hardwired (IRE),J W Kennedy,0,T M Walsh,1st,N/A,8,11-9tb,111,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Jacksons Gold (IRE),J G Gilligan,7,Ms Alice Curran,NR,N/A,10,11-11,113,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Noble Blue (FR),S W Flanagan,0,P Nolan,PU,N/A,6,11-3h,105,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Bigz Belief (IRE),B W Harvey,0,M J Smith,PU,N/A,7,11-6tb,108,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,De Lady In Red (IRE),M J M O'Sullivan,0,B Connell,F,N/A,8,11-7t,109,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Joke Dancer,D J O'Keeffe,0,P Griffin,5th,6 l,11,10-9t,97,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Politicise (IRE),Sam Ewing,0,N Slevin,4th,7 l,8,11-0tp,102,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Mighty Oak Lad (IRE),D Meyler,0,K Thornton,3rd,22 l,6,10-13,101,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Dutch Schultz,K M Donoghue,0,G P Cromwell,2nd,3/4 l,7,12-0h,116,True,105,37
Navan Racing Results | 23rd March 2024 17:08,N/A,17:08,Heavy,2m 1f,Hardwired (IRE),J W Kennedy,0,T M Walsh,1st,N/A,8,11-9tb,111,True,105,37
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Dance Floor Drama (IRE),Mr S Connor,7,S R B Crawford,9th,9 l,6,11-7ht1,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Lynchy Boy (IRE),Mr J P O'Neill,7,P Fenton,8th,11 l,5,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Syracus Du Houx (FR),Mr J C Barry,3,O McKiernan,7th,1 1/2 l,6,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Black Heather (IRE),Mr J L Gleeson,5,D H Kelly,6th,3/4 l,5,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Private Policy (IRE),Mr J P O'Rourke,7,P O'Rourke,5th,1 3/4 l,6,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Net Boy (FR),Mr F Maguire,0,B Connell,4th,3 l,5,12-0t1,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Masterboy Davis (FR),Mr H C Swan,5,G Elliott,3rd,6 1/2 l,5,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Mywayofthinkin (IRE),Mr D O'Connor,0,G P Cromwell,2nd,3 1/2 l,5,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Harbour Highway (IRE),Mr P W Mullins,0,E Mullins,1st,N/A,5,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Dance Floor Drama (IRE),Mr S Connor,7,S R B Crawford,9th,9 l,6,11-7ht1,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Lynchy Boy (IRE),Mr J P O'Neill,7,P Fenton,8th,11 l,5,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Syracus Du Houx (FR),Mr J C Barry,3,O McKiernan,7th,1 1/2 l,6,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Black Heather (IRE),Mr J L Gleeson,5,D H Kelly,6th,3/4 l,5,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Private Policy (IRE),Mr J P O'Rourke,7,P O'Rourke,5th,1 3/4 l,6,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Net Boy (FR),Mr F Maguire,0,B Connell,4th,3 l,5,12-0t1,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Masterboy Davis (FR),Mr H C Swan,5,G Elliott,3rd,6 1/2 l,5,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Mywayofthinkin (IRE),Mr D O'Connor,0,G P Cromwell,2nd,3 1/2 l,5,12-0,-,True,105,38
Navan Racing Results | 23rd March 2024 17:38,N/A,17:38,Heavy  Flat (Turf),1m 7f 150y,Harbour Highway (IRE),Mr P W Mullins,0,E Mullins,1st,N/A,5,12-0,-,True,105,38
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Boskill Carmel (IRE),L F Roche,0,J P Fahey,NR,N/A,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Kansai (IRE),D McMonagle,0,M O'Callaghan,9th,11 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Billie Frechette (IRE),R Whearty,5,N Meade,8th,1/2 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,I'll Rise (IRE),G F Carroll,0,A McNamara,7th,6 1/2 l,3,9-3h1,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Fleetingly (USA),W M Lordan,0,A P O'Brien,6th,3 1/4 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Chick Flick (IRE),J A Heffernan,0,J Halley,5th,Neck,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Lavender Haze (IRE),R P Cleary,0,J S Bolger,4th,1/2 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Mo Ghille Mar (IRE),S Foley,0,Mrs J Harrington,3rd,2 1/2 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Harbour Gem (IRE),C D Hayes,0,D K Weld,2nd,2 1/2 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Wendla,C T Keane,0,G M Lyons,1st,N/A,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Boskill Carmel (IRE),L F Roche,0,J P Fahey,NR,N/A,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Kansai (IRE),D McMonagle,0,M O'Callaghan,9th,11 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Billie Frechette (IRE),R Whearty,5,N Meade,8th,1/2 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,I'll Rise (IRE),G F Carroll,0,A McNamara,7th,6 1/2 l,3,9-3h1,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Fleetingly (USA),W M Lordan,0,A P O'Brien,6th,3 1/4 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Chick Flick (IRE),J A Heffernan,0,J Halley,5th,Neck,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Lavender Haze (IRE),R P Cleary,0,J S Bolger,4th,1/2 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Mo Ghille Mar (IRE),S Foley,0,Mrs J Harrington,3rd,2 1/2 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Harbour Gem (IRE),C D Hayes,0,D K Weld,2nd,2 1/2 l,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 13:25,N/A,13:25,Heavy,1m,Wendla,C T Keane,0,G M Lyons,1st,N/A,3,9-3,-,True,105,39
Naas Racing Results | 24th March 2024 14:00,N/A,14:00,Heavy,1m,Orderofthephoenix (IRE),R P Whelan,0,A McGuinness,5th,12 l,3,9-4,-,True,105,40
Naas Racing Results | 24th March 2024 14:00,N/A,14:00,Heavy,1m,Nativity Square (IRE),R P Cleary,0,J S Bolger,4th,1 1/4 l,3,8-13,-,True,105,40
Naas Racing Results | 24th March 2024 14:00,N/A,14:00,Heavy,1m,Chicago Critic,B M Coen,0,J P Murtagh,3rd,4 1/4 l,3,9-9,-,True,105,40
Naas Racing Results | 24th March 2024 14:00,N/A,14:00,Heavy,1m,Portland (IRE),W M Lordan,0,A P O'Brien,2nd,3 l,3,9-9,-,True,105,40
Naas Racing Results | 24th March 2024 14:00,N/A,14:00,Heavy,1m,Purple Lily (IRE),W J Lee,0,P Twomey,1st,N/A,3,9-4,-,True,105,40
Naas Racing Results | 24th March 2024 14:00,N/A,14:00,Heavy,1m,Orderofthephoenix (IRE),R P Whelan,0,A McGuinness,5th,12 l,3,9-4,-,True,105,40
Naas Racing Results | 24th March 2024 14:00,N/A,14:00,Heavy,1m,Nativity Square (IRE),R P Cleary,0,J S Bolger,4th,1 1/4 l,3,8-13,-,True,105,40
Naas Racing Results | 24th March 2024 14:00,N/A,14:00,Heavy,1m,Chicago Critic,B M Coen,0,J P Murtagh,3rd,4 1/4 l,3,9-9,-,True,105,40
Naas Racing Results | 24th March 2024 14:00,N/A,14:00,Heavy,1m,Portland (IRE),W M Lordan,0,A P O'Brien,2nd,3 l,3,9-9,-,True,105,40
Naas Racing Results | 24th March 2024 14:00,N/A,14:00,Heavy,1m,Purple Lily (IRE),W J Lee,0,P Twomey,1st,N/A,3,9-4,-,True,105,40
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,La Filomena (IRE),D McMonagle,0,J P O'Brien,7th,2 1/2 l,4,9-2,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Lady Lunette (IRE),B M Coen,0,R P Cody,6th,23 l,4,9-2,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Alanya (FR),G M Ryan,0,T Gibney,5th,3 3/4 l,5,9-2,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Serious Challenge (IRE),R P Cleary,0,J S Bolger,4th,7 1/2 l,4,9-7,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Queenstown (IRE),W M Lordan,0,A P O'Brien,3rd,1 1/4 l,4,9-7b,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Knight To King (IRE),C D Hayes,0,D K Weld,2nd,6 1/2 l,4,9-7,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Sunchart,A J Slattery,0,A Slattery,1st,N/A,7,9-7t,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,La Filomena (IRE),D McMonagle,0,J P O'Brien,7th,2 1/2 l,4,9-2,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Lady Lunette (IRE),B M Coen,0,R P Cody,6th,23 l,4,9-2,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Alanya (FR),G M Ryan,0,T Gibney,5th,3 3/4 l,5,9-2,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Serious Challenge (IRE),R P Cleary,0,J S Bolger,4th,7 1/2 l,4,9-7,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Queenstown (IRE),W M Lordan,0,A P O'Brien,3rd,1 1/4 l,4,9-7b,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Knight To King (IRE),C D Hayes,0,D K Weld,2nd,6 1/2 l,4,9-7,-,True,105,41
Naas Racing Results | 24th March 2024 14:35,N/A,14:35,Heavy,1m 2f 98y,Sunchart,A J Slattery,0,A Slattery,1st,N/A,7,9-7t,-,True,105,41
Naas Racing Results | 24th March 2024 15:10,N/A,15:10,Heavy,7f,Gentileschi (FR),A J Slattery,0,J Halley,12th,27 l,3,8-7,81,True,105,42
Naas Racing Results | 24th March 2024 15:10,N/A,15:10,Heavy,7f,Glamorously (IRE),K G Kennedy,7,Mrs J Harrington,11th,2 1/4 l,3,8-9b,83,True,105,42
Naas Racing Results | 24th March 2024 15:10,N/A,15:10,Heavy,7f,Duplantis (IRE),L F Roche,0,G M Lyons,10th,4 l,3,9-3,91,True,105,42
Naas Racing Results | 24th March 2024 15:10,N/A,15:10,Heavy,7f,Neo Smart (IRE),R P Cleary,0,J S Bolger,9th,1 l,3,8-7,81,True,105,42
Naas Racing Results | 24th March 2024 15:10,N/A,15:10,Heavy,7f,Heavenly Being (IRE),S Foley,0,Mrs J Harrington,8th,2 l,3,8-7,81,True,105,42
Naas Racing Results | 24th March 2024 15:10,N/A,15:10,Heavy,7f,Signor Ferrari (IRE),M W Hassett,7,J Feane,7th,1/2 l,3,8-7,81,True,105,42
Naas Racing Results | 24th March 2024 15:10,N/A,15:10,Heavy,7f,Guildenstern (IRE),G M Ryan,0,Donnacha O'Brien,6th,3/4 l,3,9-4,92,True,105,42
Naas Racing Results | 24th March 2024 15:10,N/A,15:10,Heavy,7f,Military,W M Lordan,0,A P O'Brien,5th,Head,3,9-12,100,True,105,42
