track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tramore Racing Results | 12th October 2023 14:35,N/A,14:35,Heavy,2m,Prince Quattro (IRE),J. P. O'Sullivan,3,P. J. Rothwell,8th,16 l,4,11-2,84,True,85,38
Tramore Racing Results | 12th October 2023 14:35,N/A,14:35,Heavy,2m,Port Rashid (IRE),Miss J. Townend,0,Timothy Townend,7th,5 1/2 l,12,11-11t,92,True,85,38
Tramore Racing Results | 12th October 2023 14:35,N/A,14:35,Heavy,2m,Coppercoast Paudie (IRE),E. M. O'Sullivan,7,Ms M. Flynn,6th,1 1/4 l,10,10-13,80,True,85,38
Tramore Racing Results | 12th October 2023 14:35,N/A,14:35,Heavy,2m,Cruisin Susan (IRE),Mr J. P. Berry,7,J. A. Berry,5th,4 3/4 l,6,11-11,92,True,85,38
Tramore Racing Results | 12th October 2023 14:35,N/A,14:35,Heavy,2m,Fortfield Lady (IRE),P. Byrnes,5,Charles Byrnes,4th,3 1/4 l,10,10-13,80,True,85,38
Tramore Racing Results | 12th October 2023 14:35,N/A,14:35,Heavy,2m,Bite That (IRE),A. P. Kelly,5,Patrick J. Flynn,3rd,1 3/4 l,7,11-12,93,True,85,38
Tramore Racing Results | 12th October 2023 14:35,N/A,14:35,Heavy,2m,Star Official (IRE),D. E. Mullins,0,R. Donohoe,2nd,1/2 l,5,12-0,95,True,85,38
Tramore Racing Results | 12th October 2023 14:35,N/A,14:35,Heavy,2m,Duke Otto (IRE),G. B. Noonan,5,Patrick J. Flynn,1st,N/A,5,11-8,89,True,85,38
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Yourenotthebossame (IRE),Jordan Colin Gainford,0,Gordon Elliott,PU,N/A,4,10-11,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Cedar Wood (IRE),R. P. Treacy,0,David M. O'Brien,PU,N/A,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,French Milan (IRE),Donagh Meyler,0,James Andrew Fahey,PU,N/A,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Four Clean Aces (IRE),P. Townend,0,W. P. Mullins,11th,17 l,5,11-7,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Straight Home (IRE),Miss J. Townend,0,Timothy Townend,10th,15 l,6,11-7,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Workforadime (IRE),P. Byrnes,5,Charles Byrnes,9th,1 1/2 l,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Ballycashin (IRE),D. E. Mullins,0,Anthony Mullins,8th,1 l,6,11-7,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Tastyee (IRE),M. P. O'Connor,3,David Kenneth Budds,7th,6 1/2 l,5,11-7t,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Kudasheva (IRE),Rachael Blackmore,0,Henry de Bromhead,6th,4 1/4 l,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Half Off Six Pence (IRE),Sean Flanagan,0,David Harry Kelly,5th,1/2 l,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Lucky Viv (IRE),A. M. McCurtin,0,Michael Barry,4th,5 1/2 l,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Silent Approach (IRE),D. J. O'Keeffe,0,Con O'Keeffe,3rd,1 1/2 l,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Rachel's Secret (IRE),S. Fitzgerald,0,Declan Queally,2nd,1/2 l,4,10-11h1,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Faux Fur (FR),J. W. Kennedy,0,Gordon Elliott,1st,N/A,4,10-11,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Yourenotthebossame (IRE),Jordan Colin Gainford,0,Gordon Elliott,PU,N/A,4,10-11,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Cedar Wood (IRE),R. P. Treacy,0,David M. O'Brien,PU,N/A,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,French Milan (IRE),Donagh Meyler,0,James Andrew Fahey,PU,N/A,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Four Clean Aces (IRE),P. Townend,0,W. P. Mullins,11th,17 l,5,11-7,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Straight Home (IRE),Miss J. Townend,0,Timothy Townend,10th,15 l,6,11-7,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Workforadime (IRE),P. Byrnes,5,Charles Byrnes,9th,1 1/2 l,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Ballycashin (IRE),D. E. Mullins,0,Anthony Mullins,8th,1 l,6,11-7,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Tastyee (IRE),M. P. O'Connor,3,David Kenneth Budds,7th,6 1/2 l,5,11-7t,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Kudasheva (IRE),Rachael Blackmore,0,Henry de Bromhead,6th,4 1/4 l,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Half Off Six Pence (IRE),Sean Flanagan,0,David Harry Kelly,5th,1/2 l,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Lucky Viv (IRE),A. M. McCurtin,0,Michael Barry,4th,5 1/2 l,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Silent Approach (IRE),D. J. O'Keeffe,0,Con O'Keeffe,3rd,1 1/2 l,5,10-13,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Rachel's Secret (IRE),S. Fitzgerald,0,Declan Queally,2nd,1/2 l,4,10-11h1,-,True,85,39
Tramore Racing Results | 12th October 2023 15:10,N/A,15:10,Heavy,2m 4f 73y,Faux Fur (FR),J. W. Kennedy,0,Gordon Elliott,1st,N/A,4,10-11,-,True,85,39
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Elegant Dan (IRE),Sean Flanagan,0,David M. O'Brien,7th,36 l,10,10-8p,89,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Inchiquin Star (IRE),L. A. McKenna,5,P. Kiely,6th,6 l,4,11-5,102,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Pat Coyne (IRE),A. P. Kelly,5,John Queally,5th,11 l,9,11-11p,106,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Gendarme (IRE),Shane O'Callaghan,5,Charles Coakley,4th,1 3/4 l,8,10-8t,89,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Lake Chad (IRE),B. Hayes,0,Philip Fenton,3rd,6 1/2 l,8,11-4,99,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Natural Breeze (IRE),S. D. Torrens,0,P. J. Rothwell,2nd,3/4 l,8,10-7p,88,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Paidi's Passion (IRE),D. J. O'Keeffe,0,David Christie,1st,N/A,7,11-10,105,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Elegant Dan (IRE),Sean Flanagan,0,David M. O'Brien,7th,36 l,10,10-8p,89,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Inchiquin Star (IRE),L. A. McKenna,5,P. Kiely,6th,6 l,4,11-5,102,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Pat Coyne (IRE),A. P. Kelly,5,John Queally,5th,11 l,9,11-11p,106,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Gendarme (IRE),Shane O'Callaghan,5,Charles Coakley,4th,1 3/4 l,8,10-8t,89,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Lake Chad (IRE),B. Hayes,0,Philip Fenton,3rd,6 1/2 l,8,11-4,99,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Natural Breeze (IRE),S. D. Torrens,0,P. J. Rothwell,2nd,3/4 l,8,10-7p,88,True,85,40
Tramore Racing Results | 12th October 2023 15:45,N/A,15:45,Heavy,2m 4f 73y,Paidi's Passion (IRE),D. J. O'Keeffe,0,David Christie,1st,N/A,7,11-10,105,True,85,40
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Astrophysicist,Gavin Peter Brouder,5,James A. Nash,10th,1 l,5,11-6,93,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Shean Glory (IRE),M. P. O'Connor,3,Sean Aherne,9th,2 3/4 l,7,10-11p1,84,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Crowsatedappletart (IRE),D. J. O'Keeffe,0,Michael Winters,8th,1 1/4 l,6,11-1tb,88,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Katzoff (IRE),T. P. Harney,7,J. Morrison,7th,12 l,6,10-7,80,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Mater Matuta (IRE),Jordan Colin Gainford,0,E. D. Delany,6th,1 1/4 l,7,11-8t,95,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Cheerful Chap (IRE),J. P. O'Sullivan,3,N. Dooly,5th,1/2 l,6,12-0,101,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Tincurra Lad (IRE),D. King,3,W. J. Martin,4th,2 1/4 l,6,10-13,86,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Finnians Row (IRE),C. D. Maxwell,0,Dermot Anthony McLoughlin,3rd,4 l,7,11-5tv,92,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Peckham Springs (IRE),J. J. Slevin,0,Dermot Anthony McLoughlin,2nd,7 l,6,11-12tp,99,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Itsalonglongroad,Shane O'Callaghan,5,Charles Coakley,1st,N/A,9,11-6v1,93,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Astrophysicist,Gavin Peter Brouder,5,James A. Nash,10th,1 l,5,11-6,93,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Shean Glory (IRE),M. P. O'Connor,3,Sean Aherne,9th,2 3/4 l,7,10-11p1,84,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Crowsatedappletart (IRE),D. J. O'Keeffe,0,Michael Winters,8th,1 1/4 l,6,11-1tb,88,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Katzoff (IRE),T. P. Harney,7,J. Morrison,7th,12 l,6,10-7,80,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Mater Matuta (IRE),Jordan Colin Gainford,0,E. D. Delany,6th,1 1/4 l,7,11-8t,95,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Cheerful Chap (IRE),J. P. O'Sullivan,3,N. Dooly,5th,1/2 l,6,12-0,101,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Tincurra Lad (IRE),D. King,3,W. J. Martin,4th,2 1/4 l,6,10-13,86,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Finnians Row (IRE),C. D. Maxwell,0,Dermot Anthony McLoughlin,3rd,4 l,7,11-5tv,92,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Peckham Springs (IRE),J. J. Slevin,0,Dermot Anthony McLoughlin,2nd,7 l,6,11-12tp,99,True,85,41
Tramore Racing Results | 12th October 2023 16:20,N/A,16:20,Heavy,1m 7f 110y,Itsalonglongroad,Shane O'Callaghan,5,Charles Coakley,1st,N/A,9,11-6v1,93,True,85,41
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Townhill Penny (IRE),J. W. Kennedy,0,Gordon Elliott,PU,N/A,7,11-5p,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,The Great White (IRE),C. D. Maxwell,0,Dermot Anthony McLoughlin,PU,N/A,9,11-12t,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Squire Ohara (IRE),Peter Carberry,0,A. J. Martin,12th,2 1/4 l,5,11-12,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Hutchie (IRE),J. J. Slevin,0,Stephen Gerard Carey,11th,2 1/4 l,7,11-12,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Roman Parish (IRE),Sean Flanagan,0,David M. O'Brien,10th,3 3/4 l,5,11-12tp,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Game And Glory (IRE),Patrick O'Hanlon,3,P. J. Rothwell,9th,2 1/4 l,7,11-5,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Mizuma (IRE),Mr D. Allen,7,Vincent Laurence Halley,8th,2 l,8,11-12t,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Speed Gang (IRE),B. W. Harvey,3,Cian Michael Collins,7th,1 1/4 l,6,11-12p,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Haveuseentherain (IRE),C. Brassil,5,S. G. Walsh,6th,4 1/4 l,8,11-5t,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Umndeni (FR),C. P. Millar,7,Cian Michael Collins,5th,1 l,9,11-12b,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Mastermacblack (IRE),Phillip Enright,0,P. Corkery,4th,3 1/4 l,6,11-12,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Sixhandsinmypocket,C. G. O'Dwyer,5,Conor O'Dwyer,3rd,1 l,6,11-12,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Knocknagappagh (IRE),Jordan Colin Gainford,0,Peter Fahey,2nd,7 l,7,11-5p,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Croi Corcra (IRE),R. A. Doyle,0,Colin Bowe,1st,N/A,6,11-5,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Townhill Penny (IRE),J. W. Kennedy,0,Gordon Elliott,PU,N/A,7,11-5p,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,The Great White (IRE),C. D. Maxwell,0,Dermot Anthony McLoughlin,PU,N/A,9,11-12t,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Squire Ohara (IRE),Peter Carberry,0,A. J. Martin,12th,2 1/4 l,5,11-12,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Hutchie (IRE),J. J. Slevin,0,Stephen Gerard Carey,11th,2 1/4 l,7,11-12,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Roman Parish (IRE),Sean Flanagan,0,David M. O'Brien,10th,3 3/4 l,5,11-12tp,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Game And Glory (IRE),Patrick O'Hanlon,3,P. J. Rothwell,9th,2 1/4 l,7,11-5,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Mizuma (IRE),Mr D. Allen,7,Vincent Laurence Halley,8th,2 l,8,11-12t,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Speed Gang (IRE),B. W. Harvey,3,Cian Michael Collins,7th,1 1/4 l,6,11-12p,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Haveuseentherain (IRE),C. Brassil,5,S. G. Walsh,6th,4 1/4 l,8,11-5t,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Umndeni (FR),C. P. Millar,7,Cian Michael Collins,5th,1 l,9,11-12b,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Mastermacblack (IRE),Phillip Enright,0,P. Corkery,4th,3 1/4 l,6,11-12,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Sixhandsinmypocket,C. G. O'Dwyer,5,Conor O'Dwyer,3rd,1 l,6,11-12,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Knocknagappagh (IRE),Jordan Colin Gainford,0,Peter Fahey,2nd,7 l,7,11-5p,-,True,85,42
Tramore Racing Results | 12th October 2023 16:55,N/A,16:55,Heavy,2m 5f 150y,Croi Corcra (IRE),R. A. Doyle,0,Colin Bowe,1st,N/A,6,11-5,-,True,85,42
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Go on Zahra (FR),Ms N. M. Bradley,7,Eoin Griffin,PU,N/A,4,11-13,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Crinaloo Flyer (IRE),Miss L. Costello,0,Miss J. M. Lee,8th,64 l,5,11-7,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Te Deum (FR),Ms J. I. Stokes,7,N. Stokes,7th,3 1/2 l,5,12-0,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Barton Snow (IRE),Miss M. M. McElligott,7,W. P. Murphy,6th,9 l,6,12-0,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Yorkshire Escape (IRE),Miss H. M. Smullen,7,Gordon Elliott,5th,1/2 l,4,11-6,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Ballinearla Girl (IRE),Miss E. Cody,7,Eoin Doyle,4th,2 3/4 l,4,11-6,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Pirate Island (IRE),Ms S. Verling,7,Philip Fenton,3rd,2 l,5,12-0,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Cappucino (IRE),Miss M. O'Sullivan,5,Miss Elizabeth Doyle,2nd,4 3/4 l,4,11-13,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Where's Nanny (IRE),Miss J. Townend,0,W. P. Mullins,1st,N/A,4,11-6,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Go on Zahra (FR),Ms N. M. Bradley,7,Eoin Griffin,PU,N/A,4,11-13,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Crinaloo Flyer (IRE),Miss L. Costello,0,Miss J. M. Lee,8th,64 l,5,11-7,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Te Deum (FR),Ms J. I. Stokes,7,N. Stokes,7th,3 1/2 l,5,12-0,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Barton Snow (IRE),Miss M. M. McElligott,7,W. P. Murphy,6th,9 l,6,12-0,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Yorkshire Escape (IRE),Miss H. M. Smullen,7,Gordon Elliott,5th,1/2 l,4,11-6,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Ballinearla Girl (IRE),Miss E. Cody,7,Eoin Doyle,4th,2 3/4 l,4,11-6,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Pirate Island (IRE),Ms S. Verling,7,Philip Fenton,3rd,2 l,5,12-0,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Cappucino (IRE),Miss M. O'Sullivan,5,Miss Elizabeth Doyle,2nd,4 3/4 l,4,11-13,-,True,85,43
Tramore Racing Results | 12th October 2023 17:25,N/A,17:25,Heavy  Flat (Turf),2m,Where's Nanny (IRE),Miss J. Townend,0,W. P. Mullins,1st,N/A,4,11-6,-,True,85,43
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Mimi Fly (IRE),J. A. Powell,5,Barry Fitzgerald,12th,7 l,2,8-9,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Tartaraghan (IRE),L. F. Roche,0,John McConnell,11th,1 1/4 l,2,8-13b1,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Madame Plaintiff (IRE),C. D. Hayes,0,Gavin Patrick Cromwell,10th,1 3/4 l,2,9-1,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Cornahilt Soldier (IRE),Wesley Joyce,7,Kevin Michael Smith,9th,Short Head,2,9-3,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Special Angel (IRE),Seamie Heffernan,0,Adrian Murray,8th,1 1/4 l,2,8-11,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Relentless Flyer (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,7th,1 l,2,9-1,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Gangster Granny (IRE),N. M. Crosse,0,Mrs J. Harrington,6th,1 1/2 l,2,9-1,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Miami Sunshine (USA),M. P. Sheehy,0,Adrian Murray,5th,1/2 l,2,8-11,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Clever Impulse (USA),D. B. McMonagle,0,Joseph Patrick O'Brien,4th,1 l,2,8-13,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Zarra Ellis,William James Lee,0,W. McCreery,3rd,Short Head,2,8-11,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Sumptuary Law (IRE),J. Kearney,7,G. M. Lyons,2nd,4 3/4 l,2,9-1,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Orderofthephoenix (IRE),R. P. Whelan,0,Adrian McGuinness,1st,N/A,2,9-3,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Mimi Fly (IRE),J. A. Powell,5,Barry Fitzgerald,12th,7 l,2,8-9,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Tartaraghan (IRE),L. F. Roche,0,John McConnell,11th,1 1/4 l,2,8-13b1,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Madame Plaintiff (IRE),C. D. Hayes,0,Gavin Patrick Cromwell,10th,1 3/4 l,2,9-1,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Cornahilt Soldier (IRE),Wesley Joyce,7,Kevin Michael Smith,9th,Short Head,2,9-3,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Special Angel (IRE),Seamie Heffernan,0,Adrian Murray,8th,1 1/4 l,2,8-11,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Relentless Flyer (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,7th,1 l,2,9-1,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Gangster Granny (IRE),N. M. Crosse,0,Mrs J. Harrington,6th,1 1/2 l,2,9-1,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Miami Sunshine (USA),M. P. Sheehy,0,Adrian Murray,5th,1/2 l,2,8-11,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Clever Impulse (USA),D. B. McMonagle,0,Joseph Patrick O'Brien,4th,1 l,2,8-13,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Zarra Ellis,William James Lee,0,W. McCreery,3rd,Short Head,2,8-11,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Sumptuary Law (IRE),J. Kearney,7,G. M. Lyons,2nd,4 3/4 l,2,9-1,-,True,85,44
Dundalk Racing Results | 13th October 2023 16:40,N/A,16:40,Standard,7f,Orderofthephoenix (IRE),R. P. Whelan,0,Adrian McGuinness,1st,N/A,2,9-3,-,True,85,44
