track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Amirat Alward (IRE),N. M. Crosse,3,W. McCreery,8th,Neck,3,9-5,83,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Collective Power (IRE),M. P. Sheehy,3,Edward Lynam,7th,2 l,4,9-1v,73,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Areille (IRE),William James Lee,0,K. J. Condon,6th,1/2 l,3,8-13,77,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Blind Beggar (IRE),C. T. Keane,0,G. M. Lyons,5th,Short Head,4,9-12,84,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Dream Today (IRE),C. J. MacRedmond,5,Adrian McGuinness,4th,4 3/4 l,7,10-0tp,86,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Dandyville (IRE),R. P. Whelan,0,Jack W. Davison,3rd,3 1/4 l,4,9-2,74,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Sister Lola (IRE),Shane Foley,0,James McAuley,2nd,2 3/4 l,5,9-3tp,75,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Ampeson,W. M. Lordan,0,P. J. McKenna,1st,N/A,5,8-11p,69,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,No Speed Limit (FR),C. D. Hayes,0,P. J. McKenna,9th,1 l,7,8-8v,66,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Amirat Alward (IRE),N. M. Crosse,3,W. McCreery,8th,Neck,3,9-5,83,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Collective Power (IRE),M. P. Sheehy,3,Edward Lynam,7th,2 l,4,9-1v,73,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Areille (IRE),William James Lee,0,K. J. Condon,6th,1/2 l,3,8-13,77,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Blind Beggar (IRE),C. T. Keane,0,G. M. Lyons,5th,Short Head,4,9-12,84,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Dream Today (IRE),C. J. MacRedmond,5,Adrian McGuinness,4th,4 3/4 l,7,10-0tp,86,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Dandyville (IRE),R. P. Whelan,0,Jack W. Davison,3rd,3 1/4 l,4,9-2,74,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Sister Lola (IRE),Shane Foley,0,James McAuley,2nd,2 3/4 l,5,9-3tp,75,True,8,5
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,Ampeson,W. M. Lordan,0,P. J. McKenna,1st,N/A,5,8-11p,69,True,8,5
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Perfect Thunder,Declan McDonogh,0,Joseph Patrick O'Brien,8th,3 3/4 l,3,9-1,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Emphatic Answer (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,7th,1 3/4 l,4,9-9,-,True,8,6
