track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Ringdufferin (IRE),J. W. Kennedy,0,Gordon Elliott,4th,2 3/4 l,5,11-12,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Getaway Charlie (IRE),Mr D. Doyle,7,Timothy Doyle,3rd,1 1/4 l,7,11-12,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Givago (FR),P. Townend,0,W. P. Mullins,2nd,5 1/2 l,5,11-12t,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Lake Winnipesaukee (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,1st,N/A,6,11-12h,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Hardy Buck (IRE),J. S. McGarvey,0,John Joseph Hanlon,16th,14 l,5,11-12,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Tullybawn (IRE),E. Walsh,3,John Joseph Hanlon,15th,8 1/2 l,5,11-12t,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Great Rainbow (FR),Phillip Enright,0,Brian M. McMahon,14th,4 1/2 l,5,11-12,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Road To The Weir (IRE),M. J. M. O'Sullivan,0,John Neilan,13th,2 1/4 l,7,11-12,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Mo Chruinne (IRE),C. M. Quirke,5,Charles Byrnes,12th,Short Head,6,11-12,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Lady Lilly (IRE),Donagh Meyler,0,David M. O'Brien,11th,2 1/4 l,8,11-5,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Suile Ban (IRE),D. King,5,Denis Hogan,10th,3 1/2 l,4,11-8,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Dolly Watkins (IRE),S. D. Torrens,0,Aidan Anthony Howard,9th,1 1/4 l,4,11-1,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Noble Blue (FR),Sean Flanagan,0,Paul Nolan,8th,1 1/4 l,5,11-12h,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Tullamore Lucy (IRE),Cian Cullinan,7,P. G. Fahey,7th,Neck,6,11-5,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Force of the Moon (IRE),T. P. Harney,7,Luke Comer,6th,3 1/4 l,6,11-12,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Patricks Hill (IRE),D. J. O'Keeffe,0,W. J. Burke,5th,6 l,7,11-12,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Ringdufferin (IRE),J. W. Kennedy,0,Gordon Elliott,4th,2 3/4 l,5,11-12,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Getaway Charlie (IRE),Mr D. Doyle,7,Timothy Doyle,3rd,1 1/4 l,7,11-12,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Givago (FR),P. Townend,0,W. P. Mullins,2nd,5 1/2 l,5,11-12t,-,True,72,22
Roscommon Racing Results | 8th August 2023 17:30,N/A,17:30,Yielding,2m 3f 185y,Lake Winnipesaukee (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,1st,N/A,6,11-12h,-,True,72,22
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Pahlavi (IRE),J. S. McGarvey,0,John Joseph Hanlon,NR,N/A,6,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Almost An Angel,Patrick Michael O'Brien,7,John Larkin,PU,N/A,5,11-12,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Wakie Wakie (IRE),Donagh Meyler,0,Mrs Gillian Callaghan,PU,N/A,5,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Hurry Up Allen (FR),P. J. Cawley,7,Mrs Yvonne Dunleavy,12th,3 1/4 l,6,11-4t,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Letters To Juliet (IRE),Sean Flanagan,0,Patrick Downey,11th,4 l,5,10-11,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Sir Silver Sox (FR),Phillip Enright,0,S. Curling,10th,17 l,5,11-4h1,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Electric Eddy,S. Fitzgerald,0,Mrs Prunella Dobbs,9th,5 l,5,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Tideways Hero (IRE),Rachael Blackmore,0,Henry de Bromhead,8th,3/4 l,5,10-11,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Squire Ohara (IRE),Peter Carberry,0,A. J. Martin,7th,6 l,5,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Liberty Flame (IRE),Harvey Mason,3,Peter John Flood,6th,5 l,5,11-4h,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Ballycallan King (IRE),S. Cleary-Farrell,7,Barry Fitzgerald,5th,8 l,6,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Nottodaybobo (IRE),J. W. Kennedy,0,Gordon Elliott,4th,4 l,5,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Hashtag Pretender (FR),M. J. M. O'Sullivan,0,Barry Connell,3rd,3 l,6,11-12t,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Reverend Hubert (IRE),D. King,5,Charles Byrnes,2nd,3 1/4 l,5,11-12,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Extensio (IRE),Mr P. W. Gleeson,7,P. F. O'Donnell,1st,N/A,6,11-12,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Pahlavi (IRE),J. S. McGarvey,0,John Joseph Hanlon,NR,N/A,6,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Almost An Angel,Patrick Michael O'Brien,7,John Larkin,PU,N/A,5,11-12,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Wakie Wakie (IRE),Donagh Meyler,0,Mrs Gillian Callaghan,PU,N/A,5,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Hurry Up Allen (FR),P. J. Cawley,7,Mrs Yvonne Dunleavy,12th,3 1/4 l,6,11-4t,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Letters To Juliet (IRE),Sean Flanagan,0,Patrick Downey,11th,4 l,5,10-11,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Sir Silver Sox (FR),Phillip Enright,0,S. Curling,10th,17 l,5,11-4h1,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Electric Eddy,S. Fitzgerald,0,Mrs Prunella Dobbs,9th,5 l,5,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Tideways Hero (IRE),Rachael Blackmore,0,Henry de Bromhead,8th,3/4 l,5,10-11,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Squire Ohara (IRE),Peter Carberry,0,A. J. Martin,7th,6 l,5,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Liberty Flame (IRE),Harvey Mason,3,Peter John Flood,6th,5 l,5,11-4h,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Ballycallan King (IRE),S. Cleary-Farrell,7,Barry Fitzgerald,5th,8 l,6,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Nottodaybobo (IRE),J. W. Kennedy,0,Gordon Elliott,4th,4 l,5,11-4,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Hashtag Pretender (FR),M. J. M. O'Sullivan,0,Barry Connell,3rd,3 l,6,11-12t,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Reverend Hubert (IRE),D. King,5,Charles Byrnes,2nd,3 1/4 l,5,11-12,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:00,N/A,18:00,Yielding,1m 7f 58y,Extensio (IRE),Mr P. W. Gleeson,7,P. F. O'Donnell,1st,N/A,6,11-12,-,True,72,23
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Secret Artist (IRE),Patrick O'Hanlon,5,Charles Byrnes,PU,N/A,7,11-6,100,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,The Red Menace (IRE),E. Walsh,3,Ciaran Murphy,12th,1 1/2 l,9,11-10,104,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Zanjabeel,L. A. McKenna,0,Stephanie Ocsko-Moore,11th,13 l,10,11-5tb,99,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Winter Carnival (IRE),M. J. M. O'Sullivan,0,John Neilan,10th,2 3/4 l,8,11-4,98,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Gotthenod (IRE),T. P. Harney,7,Ross O'Sullivan,9th,Nose,9,12-0,108,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Steps Match (IRE),K. E. Buckley,3,Michael Butler,8th,3 1/2 l,8,11-2b,96,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Ballyglass Beauty (IRE),Mr R. A. Berry,7,Liam P. Cusack,7th,1 1/4 l,7,11-9,103,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Appian Way (FR),J. W. Kennedy,0,Gordon Elliott,5th,Dead Heat,7,11-3b,97,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Jukebox Jive (FR),S. Fitzgerald,0,Shane Nolan,5th,1/2 l,9,11-5tp,99,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Hidalgo Des Mottes (FR),R. A. Doyle,0,Eoin Griffin,4th,Neck,6,11-8tp1,102,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,More Info (IRE),D. King,5,Denis Hogan,3rd,3/4 l,8,11-7,101,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Fill The Tank (IRE),C. M. Quirke,5,Aengus King,2nd,1 1/2 l,9,11-4p,98,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Hand Over Fist (FR),M. P. O'Connor,3,Henry de Bromhead,1st,N/A,6,11-7,101,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Secret Artist (IRE),Patrick O'Hanlon,5,Charles Byrnes,PU,N/A,7,11-6,100,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,The Red Menace (IRE),E. Walsh,3,Ciaran Murphy,12th,1 1/2 l,9,11-10,104,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Zanjabeel,L. A. McKenna,0,Stephanie Ocsko-Moore,11th,13 l,10,11-5tb,99,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Winter Carnival (IRE),M. J. M. O'Sullivan,0,John Neilan,10th,2 3/4 l,8,11-4,98,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Gotthenod (IRE),T. P. Harney,7,Ross O'Sullivan,9th,Nose,9,12-0,108,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Steps Match (IRE),K. E. Buckley,3,Michael Butler,8th,3 1/2 l,8,11-2b,96,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Ballyglass Beauty (IRE),Mr R. A. Berry,7,Liam P. Cusack,7th,1 1/4 l,7,11-9,103,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Appian Way (FR),J. W. Kennedy,0,Gordon Elliott,5th,Dead Heat,7,11-3b,97,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Jukebox Jive (FR),S. Fitzgerald,0,Shane Nolan,5th,1/2 l,9,11-5tp,99,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Hidalgo Des Mottes (FR),R. A. Doyle,0,Eoin Griffin,4th,Neck,6,11-8tp1,102,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,More Info (IRE),D. King,5,Denis Hogan,3rd,3/4 l,8,11-7,101,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Fill The Tank (IRE),C. M. Quirke,5,Aengus King,2nd,1 1/2 l,9,11-4p,98,True,72,24
Roscommon Racing Results | 8th August 2023 18:30,N/A,18:30,Yielding,2m 7f 130y,Hand Over Fist (FR),M. P. O'Connor,3,Henry de Bromhead,1st,N/A,6,11-7,101,True,72,24
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Lucky Number,Phillip Enright,0,Oliver McKiernan,PU,N/A,7,11-12t,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Glen Ali (IRE),K. E. Buckley,3,Ms Claire O'Connell,6th,50 l,8,11-5,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Reverse Polarity (IRE),Shane O'Callaghan,7,Ms Helen P. Markham,5th,1 1/4 l,8,11-5,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Garrybello (FR),Keith Donoghue,0,Thomas Cooper,4th,23 l,5,11-12t,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Hope Des Blins (FR),Liam Quinlan,5,John Patrick Ryan,3rd,4 1/2 l,6,11-5,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Gentleman Joe,Rachael Blackmore,0,Henry de Bromhead,2nd,5 1/2 l,5,11-12t,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Gracchus De Balme (FR),J. J. Slevin,0,Joseph Patrick O'Brien,1st,N/A,7,11-12,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Lucky Number,Phillip Enright,0,Oliver McKiernan,PU,N/A,7,11-12t,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Glen Ali (IRE),K. E. Buckley,3,Ms Claire O'Connell,6th,50 l,8,11-5,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Reverse Polarity (IRE),Shane O'Callaghan,7,Ms Helen P. Markham,5th,1 1/4 l,8,11-5,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Garrybello (FR),Keith Donoghue,0,Thomas Cooper,4th,23 l,5,11-12t,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Hope Des Blins (FR),Liam Quinlan,5,John Patrick Ryan,3rd,4 1/2 l,6,11-5,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Gentleman Joe,Rachael Blackmore,0,Henry de Bromhead,2nd,5 1/2 l,5,11-12t,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:00,N/A,19:00,Soft To Heavy,2m 76y,Gracchus De Balme (FR),J. J. Slevin,0,Joseph Patrick O'Brien,1st,N/A,7,11-12,-,True,72,25
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Let Her Flow (IRE),Patrick Michael O'Brien,7,John Larkin,PU,N/A,9,10-2b,76,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Glenabo Bridge (IRE),Richard Condon,5,Oliver McKiernan,PU,N/A,12,10-10t,84,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Echoes Of Family (IRE),M. P. O'Connor,3,Eddie & Patrick Harty,PU,N/A,11,11-11,99,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Shackleton Island (IRE),D. King,5,I. Madden,PU,N/A,9,10-6,80,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Seskin Flyer (IRE),C. M. Quirke,5,Patrick Carey,9th,1/2 l,12,10-2,76,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Chainofconsequence (IRE),M. M. McDonagh,5,Michael J. McDonagh,8th,2 l,6,11-7b1,95,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Neptunus Equester (IRE),Patrick O'Hanlon,5,P. J. Rothwell,7th,6 l,8,10-4,78,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Tick Along (IRE),D. J. O'Keeffe,0,T. G. McCourt,6th,3/4 l,9,11-0,88,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,The Eye Of Tulla (IRE),D. Moloney,7,Brian M. McMahon,5th,7 l,7,10-11p,85,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Some Woman (IRE),D. J. Gilligan,5,Sean Thomas Doyle,4th,3 1/2 l,7,11-5,93,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Courting Vickie (IRE),J. J. Slevin,0,James M. Barcoe,3rd,3 1/4 l,9,10-9t,83,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Agirlcalledchloe (IRE),S. D. Torrens,0,P. J. Rothwell,2nd,1 1/4 l,6,10-1b,75,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Norwigi (IRE),M. P. Walsh,0,Enda Bolger,1st,N/A,8,12-0,102,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Let Her Flow (IRE),Patrick Michael O'Brien,7,John Larkin,PU,N/A,9,10-2b,76,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Glenabo Bridge (IRE),Richard Condon,5,Oliver McKiernan,PU,N/A,12,10-10t,84,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Echoes Of Family (IRE),M. P. O'Connor,3,Eddie & Patrick Harty,PU,N/A,11,11-11,99,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Shackleton Island (IRE),D. King,5,I. Madden,PU,N/A,9,10-6,80,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Seskin Flyer (IRE),C. M. Quirke,5,Patrick Carey,9th,1/2 l,12,10-2,76,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Chainofconsequence (IRE),M. M. McDonagh,5,Michael J. McDonagh,8th,2 l,6,11-7b1,95,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Neptunus Equester (IRE),Patrick O'Hanlon,5,P. J. Rothwell,7th,6 l,8,10-4,78,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Tick Along (IRE),D. J. O'Keeffe,0,T. G. McCourt,6th,3/4 l,9,11-0,88,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,The Eye Of Tulla (IRE),D. Moloney,7,Brian M. McMahon,5th,7 l,7,10-11p,85,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Some Woman (IRE),D. J. Gilligan,5,Sean Thomas Doyle,4th,3 1/2 l,7,11-5,93,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Courting Vickie (IRE),J. J. Slevin,0,James M. Barcoe,3rd,3 1/4 l,9,10-9t,83,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Agirlcalledchloe (IRE),S. D. Torrens,0,P. J. Rothwell,2nd,1 1/4 l,6,10-1b,75,True,72,26
Roscommon Racing Results | 8th August 2023 19:30,N/A,19:30,Soft To Heavy,2m 5f 57y,Norwigi (IRE),M. P. Walsh,0,Enda Bolger,1st,N/A,8,12-0,102,True,72,26
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Warreedy (IRE),D. Moloney,7,Brian M. McMahon,PU,N/A,14,10-6,73,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Double Windsor (IRE),S. F. O'Keeffe,0,David M. O'Brien,PU,N/A,11,10-2b,69,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Tech Talk (IRE),Keith Donoghue,0,J. T. R. Dreaper,PU,N/A,8,11-11,92,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Mick Charlie (IRE),S. Fitzgerald,0,Declan Queally,PU,N/A,11,12-0h,95,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Justakeg (IRE),E. Dwan,7,V. T. O'Brien,PU,N/A,12,10-8,75,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Chief Seattle (IRE),Liam Quinlan,5,John Patrick Ryan,F,N/A,8,11-4,85,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Attitash (IRE),Caragh Monaghan,7,Ian Patrick Donoghue,8th,9 l,8,11-8t,89,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Loughaneala Og (IRE),Patrick O'Hanlon,5,W. J. Burke,7th,2 l,8,11-5p1,86,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Greenway Machine (IRE),Shane O'Callaghan,7,Ms Helen P. Markham,6th,10 l,11,10-2,69,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Definiteadare (IRE),P. Byrnes,5,Charles Coakley,5th,8 l,9,11-2,83,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Ennemi Public (FR),C. M. Quirke,5,Daniel John Howard,4th,1 1/2 l,9,10-8tp,75,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Fr Gilligansvoyge,J. J. Slevin,0,John G. Carr,3rd,17 l,10,10-7tb,74,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Tullyhogue Fort (IRE),Mr P. J. O'Neill,7,John F. O'Neill,2nd,Head,7,11-11,92,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Rudy Catrail (IRE),Shane Fenelon,7,E. Sheehy,1st,N/A,12,10-9,76,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Warreedy (IRE),D. Moloney,7,Brian M. McMahon,PU,N/A,14,10-6,73,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Double Windsor (IRE),S. F. O'Keeffe,0,David M. O'Brien,PU,N/A,11,10-2b,69,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Tech Talk (IRE),Keith Donoghue,0,J. T. R. Dreaper,PU,N/A,8,11-11,92,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Mick Charlie (IRE),S. Fitzgerald,0,Declan Queally,PU,N/A,11,12-0h,95,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Justakeg (IRE),E. Dwan,7,V. T. O'Brien,PU,N/A,12,10-8,75,True,72,27
Roscommon Racing Results | 8th August 2023 20:00,N/A,20:00,Soft To Heavy,3m 165y,Chief Seattle (IRE),Liam Quinlan,5,John Patrick Ryan,F,N/A,8,11-4,85,True,72,27
