track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Barrys Rock (IRE),Jack Cleary,7,Anthony Mullins,2nd,Head,8,9-3,62,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Alma Libre (ARG),D. E. Sheehy,0,Miss Natalia Lupini,1st,N/A,5,9-13,72,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Group One Power,J. A. Powell,0,P. J. F. Murphy,PU,N/A,6,9-13t,72,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Halcyon Spirit,Jessica O'Gorman,7,John McConnell,17th,5 l,5,9-13,72,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Longclaw (USA),Oisin McSweeney,0,P. J. F. Murphy,16th,3 1/4 l,6,9-8,67,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,River Derwent,Tom Kiely Marshall,7,R. Donohoe,15th,1 3/4 l,5,9-7,66,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Big Kitten (USA),Siobhan Rutledge,0,John McConnell,14th,1 1/4 l,8,9-10,69,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Tudor City (IRE),P. A. Harnett,4,A. J. Martin,13th,2 3/4 l,11,10-0t,73,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Universally (IRE),C. J. MacRedmond,0,E. J. O'Neill,12th,Head,4,9-9,68,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Rampage (IRE),S. D. Bowen,7,T. G. McCourt,11th,2 l,4,8-13,58,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Chicago Storm,D. J. Gilligan,7,Peter Fahey,10th,Neck,4,10-0,73,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Morning Approach (IRE),C. Horgan,7,W. McCreery,9th,2 l,5,9-7,66,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Imposing Supreme (IRE),C. Stone-Walsh,7,T. Gibney,8th,1 3/4 l,7,10-2,75,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Brewel Hill (IRE),S. McCullagh,0,J. F. Levins,7th,Head,7,9-7,66,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Only for Me (IRE),D. King,2,Mrs Jessica Magnier,6th,1/2 l,4,10-2,75,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Gracesolution (IRE),J. Kearney,4,Ross O'Sullivan,5th,3/4 l,6,9-10,69,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Stormy Jenn (IRE),R. Whearty,4,Peter Cluskey,4th,1 3/4 l,6,9-11,70,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Rick Dalton (IRE),J. J. G. Ryan,4,G. M. Lyons,3rd,1/2 l,5,10-1b,74,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Barrys Rock (IRE),Jack Cleary,7,Anthony Mullins,2nd,Head,8,9-3,62,True,57,39
Fairyhouse Racing Results | 1st June 2023 16:55,N/A,16:55,Good (Good To Firm In Places),1m 2f,Alma Libre (ARG),D. E. Sheehy,0,Miss Natalia Lupini,1st,N/A,5,9-13,72,True,57,39
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,One Aim (IRE),N. G. McCullagh,0,M. Halford & T. Collins,10th,23 l,3,9-3,68,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Fratas (IRE),G. M. Ryan,0,Michael Mulvany,9th,5 1/2 l,3,9-1,66,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,St Faz (FR),Seamie Heffernan,0,E. J. O'Grady,8th,6 1/2 l,3,9-9,74,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Tiymara (IRE),J. A. Powell,5,John Patrick Murtagh,7th,4 1/2 l,3,10-0,79,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Union Flag (IRE),L. F. Roche,0,Noel Meade,6th,Head,3,9-3t,68,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Cherokee Run (IRE),N. M. Crosse,0,Luke Comer,5th,3 1/2 l,3,9-6,71,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Red Carpet (IRE),W. M. Lordan,0,Aidan O'Brien,4th,3 l,3,9-1b1,66,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Den Of Iniquity,M. P. Sheehy,0,Joseph Patrick O'Brien,3rd,1/2 l,3,9-12,77,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Picture of a City,Ben Martin Coen,0,Andrew Oliver,2nd,1 1/2 l,3,9-7,72,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Matt Connor (IRE),William James Lee,0,Henry de Bromhead,1st,N/A,3,9-13,78,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,One Aim (IRE),N. G. McCullagh,0,M. Halford & T. Collins,10th,23 l,3,9-3,68,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Fratas (IRE),G. M. Ryan,0,Michael Mulvany,9th,5 1/2 l,3,9-1,66,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,St Faz (FR),Seamie Heffernan,0,E. J. O'Grady,8th,6 1/2 l,3,9-9,74,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Tiymara (IRE),J. A. Powell,5,John Patrick Murtagh,7th,4 1/2 l,3,10-0,79,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Union Flag (IRE),L. F. Roche,0,Noel Meade,6th,Head,3,9-3t,68,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Cherokee Run (IRE),N. M. Crosse,0,Luke Comer,5th,3 1/2 l,3,9-6,71,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Red Carpet (IRE),W. M. Lordan,0,Aidan O'Brien,4th,3 l,3,9-1b1,66,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Den Of Iniquity,M. P. Sheehy,0,Joseph Patrick O'Brien,3rd,1/2 l,3,9-12,77,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Picture of a City,Ben Martin Coen,0,Andrew Oliver,2nd,1 1/2 l,3,9-7,72,True,57,40
Fairyhouse Racing Results | 1st June 2023 17:30,N/A,17:30,Good (Good To Firm In Places),1m 2f,Matt Connor (IRE),William James Lee,0,Henry de Bromhead,1st,N/A,3,9-13,78,True,57,40
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Sierra Nevada (USA),Shane Foley,0,Mrs J. Harrington,8th,21 l,4,9-12,88,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,My Minervina (IRE),J. A. Powell,5,Peter Fahey,7th,4 1/2 l,5,9-1b,77,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Blazing Skies (IRE),William James Lee,0,W. McCreery,6th,6 l,4,10-0,90,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Water Nymph (IRE),W. M. Lordan,0,Aidan O'Brien,5th,2 l,3,8-7p,82,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Coill Na Sionainne (IRE),N. M. Crosse,0,W. McCreery,4th,3 l,7,9-2,78,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Eclat De Lumiere (IRE),L. F. Roche,0,D. K. Weld,3rd,Neck,4,9-7b1,83,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Gradulations,Ben Martin Coen,0,Andrew Oliver,2nd,2 1/2 l,4,9-0p1,76,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Dancing Tango (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,1st,N/A,4,9-6,82,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Sierra Nevada (USA),Shane Foley,0,Mrs J. Harrington,8th,21 l,4,9-12,88,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,My Minervina (IRE),J. A. Powell,5,Peter Fahey,7th,4 1/2 l,5,9-1b,77,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Blazing Skies (IRE),William James Lee,0,W. McCreery,6th,6 l,4,10-0,90,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Water Nymph (IRE),W. M. Lordan,0,Aidan O'Brien,5th,2 l,3,8-7p,82,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Coill Na Sionainne (IRE),N. M. Crosse,0,W. McCreery,4th,3 l,7,9-2,78,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Eclat De Lumiere (IRE),L. F. Roche,0,D. K. Weld,3rd,Neck,4,9-7b1,83,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Gradulations,Ben Martin Coen,0,Andrew Oliver,2nd,2 1/2 l,4,9-0p1,76,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:00,N/A,18:00,Good (Good To Firm In Places),1m 2f,Dancing Tango (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,1st,N/A,4,9-6,82,True,57,41
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,El Gran Jack,N. G. McCullagh,0,J. G. Coogan,10th,11 l,3,9-8,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Flaming O'hara (IRE),L. F. Roche,0,D. K. Weld,9th,5 1/2 l,3,9-3,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Gianh River (IRE),Seamie Heffernan,0,S. M. Duffy,8th,5 l,3,9-8,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Mimosa Park (IRE),William James Lee,0,M. C. Grassick,7th,6 l,3,9-3,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Hot Moon,D. N. Curran,7,J. G. Coogan,6th,2 1/2 l,3,9-8,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Navalny (IRE),Rachael Blackmore,0,Henry de Bromhead,5th,1 3/4 l,3,9-8ht1,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Kings Time (IRE),Shane Foley,0,Mrs J. Harrington,4th,Head,3,9-8t,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Baalbec Beauty (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,3rd,1 3/4 l,5,9-11ht,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Paradise Perfect (USA),K. W. de Oliveira,10,W. P. Browne,2nd,3/4 l,3,9-8,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Running Cool,W. M. Lordan,0,Miss Natalia Lupini,1st,N/A,3,9-8,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,El Gran Jack,N. G. McCullagh,0,J. G. Coogan,10th,11 l,3,9-8,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Flaming O'hara (IRE),L. F. Roche,0,D. K. Weld,9th,5 1/2 l,3,9-3,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Gianh River (IRE),Seamie Heffernan,0,S. M. Duffy,8th,5 l,3,9-8,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Mimosa Park (IRE),William James Lee,0,M. C. Grassick,7th,6 l,3,9-3,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Hot Moon,D. N. Curran,7,J. G. Coogan,6th,2 1/2 l,3,9-8,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Navalny (IRE),Rachael Blackmore,0,Henry de Bromhead,5th,1 3/4 l,3,9-8ht1,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Kings Time (IRE),Shane Foley,0,Mrs J. Harrington,4th,Head,3,9-8t,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Baalbec Beauty (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,3rd,1 3/4 l,5,9-11ht,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Paradise Perfect (USA),K. W. de Oliveira,10,W. P. Browne,2nd,3/4 l,3,9-8,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),6f,Running Cool,W. M. Lordan,0,Miss Natalia Lupini,1st,N/A,3,9-8,-,True,57,42
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Strath Dancer (IRE),J. A. Powell,5,Padraig Roche,15th,1 3/4 l,3,9-1,52,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Nation Of Stars,S. B. Kelly,0,Kieran Patrick Cotter,14th,2 1/4 l,3,9-7,58,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Dance the Flame (IRE),Siobhan Rutledge,5,Ross O'Sullivan,13th,2 3/4 l,3,9-8,59,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Hilltop's Bear (IRE),Shane Foley,0,James McAuley,12th,3 1/4 l,3,9-1,52,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Zaza Zut (IRE),D. W. O'Connor,0,K. J. Condon,11th,1 l,3,9-3t,54,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Fast Trek (IRE),W. M. Lordan,0,E. D. Linehan,10th,1/2 l,3,9-7p1,58,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Elmo Lincoln (IRE),William James Lee,0,W. McCreery,9th,Neck,3,9-13v1,64,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,She's Local (IRE),L. F. Roche,0,Noel Meade,8th,1/2 l,3,10-0tp,65,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Lisieux (IRE),C. J. MacRedmond,5,Adrian McGuinness,7th,1/2 l,3,10-0,65,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,American In Paris (IRE),S. D. Bowen,7,Denis Hogan,6th,1/2 l,3,9-7b,58,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Californiagoldrush (IRE),Seamie Heffernan,0,Kevin Thomas Coleman,5th,Head,3,10-0,65,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Happenstance (IRE),A. C. Persse,7,Patrick J. Flynn,4th,1 1/4 l,3,8-10,47,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,One For Mum (IRE),C. T. Keane,0,G. M. Lyons,3rd,Neck,3,9-13h,64,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,The Fog Horn (IRE),J. J. G. Ryan,7,Seamus G. O'Donnell,2nd,Short Head,3,9-0b1,51,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Jackie Brown (IRE),Ben Martin Coen,0,A. J. Martin,1st,N/A,3,9-3,54,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Strath Dancer (IRE),J. A. Powell,5,Padraig Roche,15th,1 3/4 l,3,9-1,52,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Nation Of Stars,S. B. Kelly,0,Kieran Patrick Cotter,14th,2 1/4 l,3,9-7,58,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Dance the Flame (IRE),Siobhan Rutledge,5,Ross O'Sullivan,13th,2 3/4 l,3,9-8,59,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Hilltop's Bear (IRE),Shane Foley,0,James McAuley,12th,3 1/4 l,3,9-1,52,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Zaza Zut (IRE),D. W. O'Connor,0,K. J. Condon,11th,1 l,3,9-3t,54,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Fast Trek (IRE),W. M. Lordan,0,E. D. Linehan,10th,1/2 l,3,9-7p1,58,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Elmo Lincoln (IRE),William James Lee,0,W. McCreery,9th,Neck,3,9-13v1,64,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,She's Local (IRE),L. F. Roche,0,Noel Meade,8th,1/2 l,3,10-0tp,65,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Lisieux (IRE),C. J. MacRedmond,5,Adrian McGuinness,7th,1/2 l,3,10-0,65,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,American In Paris (IRE),S. D. Bowen,7,Denis Hogan,6th,1/2 l,3,9-7b,58,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Californiagoldrush (IRE),Seamie Heffernan,0,Kevin Thomas Coleman,5th,Head,3,10-0,65,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Happenstance (IRE),A. C. Persse,7,Patrick J. Flynn,4th,1 1/4 l,3,8-10,47,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,One For Mum (IRE),C. T. Keane,0,G. M. Lyons,3rd,Neck,3,9-13h,64,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,The Fog Horn (IRE),J. J. G. Ryan,7,Seamus G. O'Donnell,2nd,Short Head,3,9-0b1,51,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),6f,Jackie Brown (IRE),Ben Martin Coen,0,A. J. Martin,1st,N/A,3,9-3,54,True,57,43
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Caesar's Comet (IRE),J. A. Powell,5,James McAuley,NR,N/A,9,8-13v,47,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Sovereignty (IRE),Seamie Heffernan,0,J. J. Lambe,16th,2 1/2 l,4,8-13,47,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,El Maga (IRE),K. J. Leonard,0,Tom McGuinness,15th,Neck,4,9-2,50,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Purring Along (IRE),N. M. Crosse,0,S. M. Duffy,14th,1 l,4,9-3v,51,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Maestro Stick,G. M. Ryan,0,Keith Henry Clarke,13th,Head,6,8-13t,47,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Pastel Power (IRE),K. S. McHugh,10,Denis Hogan,12th,3/4 l,4,9-2tb1,50,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Jazzy Dancer (IRE),C. Stone-Walsh,7,W. J. Martin,11th,Neck,5,10-0tp,62,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Even Flow (IRE),S. B. Kelly,0,R. K. Watson,10th,Neck,5,9-10,58,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Juno Beach (IRE),W. M. Lordan,0,Charles O'Brien,9th,3/4 l,4,8-13t,47,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Rocky Dreams,Shane Foley,0,James McAuley,8th,3/4 l,6,9-11p,59,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Kratos,Siobhan Rutledge,5,John McConnell,7th,Short Head,5,9-10p,58,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Eriskay (IRE),O. Enright,10,D. K. Weld,6th,1/2 l,4,9-9b,57,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Amanirenas (IRE),D. E. Sheehy,3,M. C. Grassick,5th,1 1/2 l,4,9-12p1,60,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Catherine Chroi (IRE),C. T. Keane,0,Ms Claire O'Connell,4th,1/2 l,5,9-7b,55,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,It Might Be You (IRE),R. Whearty,7,Thomas Coyle,3rd,1 1/2 l,4,8-13p,47,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Florence Thompson (IRE),L. F. Roche,0,J. G. Murray,2nd,1/2 l,6,8-13tp,47,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Cherry Bloom (IRE),William James Lee,0,Gillian Scott,1st,N/A,4,9-1,49,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Caesar's Comet (IRE),J. A. Powell,5,James McAuley,NR,N/A,9,8-13v,47,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Sovereignty (IRE),Seamie Heffernan,0,J. J. Lambe,16th,2 1/2 l,4,8-13,47,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,El Maga (IRE),K. J. Leonard,0,Tom McGuinness,15th,Neck,4,9-2,50,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Purring Along (IRE),N. M. Crosse,0,S. M. Duffy,14th,1 l,4,9-3v,51,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Maestro Stick,G. M. Ryan,0,Keith Henry Clarke,13th,Head,6,8-13t,47,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Pastel Power (IRE),K. S. McHugh,10,Denis Hogan,12th,3/4 l,4,9-2tb1,50,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Jazzy Dancer (IRE),C. Stone-Walsh,7,W. J. Martin,11th,Neck,5,10-0tp,62,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Even Flow (IRE),S. B. Kelly,0,R. K. Watson,10th,Neck,5,9-10,58,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Juno Beach (IRE),W. M. Lordan,0,Charles O'Brien,9th,3/4 l,4,8-13t,47,True,57,44
Fairyhouse Racing Results | 1st June 2023 19:35,N/A,19:35,Good (Good To Firm In Places),6f,Rocky Dreams,Shane Foley,0,James McAuley,8th,3/4 l,6,9-11p,59,True,57,44
