combo_index,indices,names,tracks,history_count,p_mean,d_mean,expected_net_profit,expected_gross_return,l15_std,l15_sharpe,classification
136,"(0, 146, 1, 152)",unionville|eutropia|conquest of power|master dandy,kempton (aw)|wolverhampton (aw)|kempton (aw)|wolverhampton (aw),2|8|0|0,0.08028798744053492,13.25,-1.602489778373136,13.397510221626863,134.9313238564864,-0.01187633629147189,NO_L15
137,"(0, 146, 1, 60)",unionville|eutropia|conquest of power|canty bay,kempton (aw)|wolverhampton (aw)|kempton (aw)|lingfield,2|8|0|0,0.07931071119053491,14.0,-0.24736242155971294,14.752637578440286,172.4996172949086,-0.0014339882339380351,NO_L15
138,"(0, 146, 1, 4)",unionville|eutropia|conquest of power|smasher,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|8|0|0,0.07918404474053492,13.0,-2.4431423868553104,12.55685761314469,117.85169920543224,-0.020730650498272125,NO_L15
139,"(0, 146, 2, 152)",unionville|eutropia|lion city|master dandy,kempton (aw)|wolverhampton (aw)|kempton (aw)|wolverhampton (aw),2|8|0|0,0.0797873941655349,32.0,22.148929699147647,37.14892969914765,497.0505533504298,0.044560718321003945,L15_CANDIDATE
140,"(0, 146, 2, 60)",unionville|eutropia|lion city|canty bay,kempton (aw)|wolverhampton (aw)|kempton (aw)|lingfield,2|8|0|0,0.07881011791553491,32.75,25.739596243062454,40.73959624306246,634.9800089253276,0.040536073390129955,L15_CANDIDATE
141,"(0, 146, 2, 4)",unionville|eutropia|lion city|smasher,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|8|0|0,0.0786834514655349,31.75,19.921461423819153,34.92146142381915,434.32512179377346,0.045867624100450435,L15_CANDIDATE
142,"(0, 146, 152, 60)",unionville|eutropia|master dandy|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|8|0|0,0.07863154059053491,9.125,-7.446628477955636,7.553371522044364,52.38477048441178,-0.14215254565583219,NO_L15
143,"(0, 146, 152, 4)",unionville|eutropia|master dandy|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|8|0|0,0.07850487414053492,8.125,-8.638893692610218,6.361106307389783,35.59796982191672,-0.24267939255601823,NO_L15
144,"(0, 146, 60, 4)",unionville|eutropia|canty bay|smasher,kempton (aw)|wolverhampton (aw)|lingfield|kempton (aw),2|8|0|0,0.07752759789053493,8.875,-7.946049139628296,7.053950860371707,45.697808520982264,-0.17388249889444585,NO_L15
145,"(0, 147, 1, 2)",unionville|hardstyle|conquest of power|lion city,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|0|0|0,0.07972102794053491,36.38333333333333,46.90706416923327,61.90706416923327,1258.8036118761333,0.037263210660257416,L15_CANDIDATE
146,"(0, 147, 1, 152)",unionville|hardstyle|conquest of power|master dandy,kempton (aw)|wolverhampton (aw)|kempton (aw)|wolverhampton (aw),2|0|0|0,0.07954245061553492,12.758333333333333,-3.108943554048645,11.891056445951357,104.33544838388654,-0.029797576971249084,NO_L15
147,"(0, 147, 1, 60)",unionville|hardstyle|conquest of power|canty bay,kempton (aw)|wolverhampton (aw)|kempton (aw)|lingfield,2|0|0|0,0.07856517436553491,13.508333333333333,-1.8956071521828541,13.104392847817149,133.4535137829136,-0.014204250592205491,NO_L15
148,"(0, 147, 1, 4)",unionville|hardstyle|conquest of power|smasher,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|0|0|0,0.07843850791553492,12.508333333333333,-3.861636211359738,11.138363788640262,91.10028804507358,-0.042388847436455095,NO_L15
149,"(0, 147, 2, 152)",unionville|hardstyle|lion city|master dandy,kempton (aw)|wolverhampton (aw)|kempton (aw)|wolverhampton (aw),2|0|0|0,0.07904185734053493,31.508333333333333,18.15729515271517,33.15729515271517,384.69926047566844,0.04719867444055976,L15_CANDIDATE
150,"(0, 147, 2, 60)",unionville|hardstyle|lion city|canty bay,kempton (aw)|wolverhampton (aw)|kempton (aw)|lingfield,2|0|0|0,0.07806458109053492,32.25833333333333,21.37225971142514,36.372259711425144,491.5814184911182,0.043476541031648636,L15_CANDIDATE
151,"(0, 147, 2, 4)",unionville|hardstyle|lion city|smasher,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|0|0|0,0.07793791464053493,31.258333333333333,16.162893424443233,31.162893424443233,336.0983401617003,0.04808977460783383,L15_CANDIDATE
