track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,country
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Doorman Moe (IRE),D P Maxwell,5,A McNamara,10th,19 l,5,11-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Gerrys Wish (IRE),P Cleary,7,G Elliott,9th,27 l,4,11-0,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Take Chance (FR),P Hanlon,7,J C McConnell,8th,Head,5,11-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Little Boy Sivola (FR),C Gethings,0,P J Rothwell,7th,Short Head,4,11-7,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Colvin (IRE),L A McKenna,5,S R B Crawford,6th,3 1/4 l,6,11-12t,107,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Parkgarve (IRE),P J O'Hanlon,0,Ian Donoghue,5th,9 1/2 l,5,11-12t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Dramatic License (IRE),B Bromley,5,S R B Crawford,4th,1 1/4 l,5,11-12t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Dysart Dasher (IRE),K Callaghan,5,W P Mullins,3rd,2 1/2 l,8,11-12t1,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Penny Express (IRE),K C Sexton,0,G Elliott,2nd,8 1/2 l,5,11-12h,108,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Yoradreamer,S Cleary-Farrell,7,W P Mullins,1st,,6,11-12,118,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Jessie's Dreamgirl (IRE),B W Harvey,0,J C McConnell,PU,,6,11-5h,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,On The Cards (FR),D A Kidd,7,J C McConnell,14th,40 l,5,11-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Vangelis (IRE),E Walsh,0,Ciaran Murphy,13th,26 l,4,11-7,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Forty Kay,C Owens,7,W P Mullins,12th,3 3/4 l,5,11-5,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Silk Degrees (IRE),J Smith,5,S R B Crawford,11th,2 1/2 l,4,11-7t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Doorman Moe (IRE),D P Maxwell,5,A McNamara,10th,19 l,5,11-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Gerrys Wish (IRE),P Cleary,7,G Elliott,9th,27 l,4,11-0,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Take Chance (FR),P Hanlon,7,J C McConnell,8th,Head,5,11-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Little Boy Sivola (FR),C Gethings,0,P J Rothwell,7th,Short Head,4,11-7,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Colvin (IRE),L A McKenna,5,S R B Crawford,6th,3 1/4 l,6,11-12t,107,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Parkgarve (IRE),P J O'Hanlon,0,Ian Donoghue,5th,9 1/2 l,5,11-12t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Dramatic License (IRE),B Bromley,5,S R B Crawford,4th,1 1/4 l,5,11-12t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Dysart Dasher (IRE),K Callaghan,5,W P Mullins,3rd,2 1/2 l,8,11-12t1,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Penny Express (IRE),K C Sexton,0,G Elliott,2nd,8 1/2 l,5,11-12h,108,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Yoradreamer,S Cleary-Farrell,7,W P Mullins,1st,,6,11-12,118,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Brianna Lily (IRE),Cian Cullinan,7,J Barcoe,7th,58 l,8,10-8,97,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Mexican Moonshine (IRE),K C Sexton,0,G Elliott,6th,20 l,6,11-7,110,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Rockview Consort,D A Kidd,7,J C McConnell,5th,11 l,6,11-5,108,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Influential Lady (IRE),K Callaghan,5,J Barcoe,4th,12 l,11,10-7,96,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Dame Rapide (IRE),G Brouder,3,Cian Hughes,3rd,5 1/2 l,8,11-12,115,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Maxios Prime (IRE),C Gethings,0,P J Rothwell,2nd,1 l,4,10-6,100,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Theflyingbee (IRE),P M O'Brien,7,F G Hand,1st,,8,11-11t,114,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Brianna Lily (IRE),Cian Cullinan,7,J Barcoe,7th,58 l,8,10-8,97,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Mexican Moonshine (IRE),K C Sexton,0,G Elliott,6th,20 l,6,11-7,110,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Rockview Consort,D A Kidd,7,J C McConnell,5th,11 l,6,11-5,108,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Influential Lady (IRE),K Callaghan,5,J Barcoe,4th,12 l,11,10-7,96,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Dame Rapide (IRE),G Brouder,3,Cian Hughes,3rd,5 1/2 l,8,11-12,115,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Maxios Prime (IRE),C Gethings,0,P J Rothwell,2nd,1 l,4,10-6,100,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:15,,15:15,Yielding To Soft,2m 2f 185y,Theflyingbee (IRE),P M O'Brien,7,F G Hand,1st,,8,11-11t,114,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Malbay Madness (IRE),P J O'Hanlon,0,D A McLoughlin,UR,,5,10-12h,111,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Extrapolation (IRE),G Brouder,3,R O'Brien,F,,8,11-12,125,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Portnacoo (IRE),P Hanlon,7,H Smyth,7th,55 l,7,11-7,120,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Newtown Rambler (IRE),M P O'Connor,0,H De Bromhead,6th,8 l,6,10-12ht,111,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,The Dasher Conway (IRE),K C Sexton,0,Mrs G Callaghan,5th,1/2 l,10,11-3,116,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Dollar Value (USA),M M McDonagh,0,T G McCourt,4th,13 l,10,11-9,122,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Bowensonfire (FR),F Brickley,7,G Elliott,3rd,Neck,5,11-10,123,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Run For Harry (IRE),K E Buckley,0,Mrs G Callaghan,2nd,1 1/4 l,7,11-6tp,119,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Tonaghneave Well (IRE),P M O'Brien,7,G P Cromwell,1st,,5,11-11p,124,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Malbay Madness (IRE),P J O'Hanlon,0,D A McLoughlin,UR,,5,10-12h,111,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Extrapolation (IRE),G Brouder,3,R O'Brien,F,,8,11-12,125,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Portnacoo (IRE),P Hanlon,7,H Smyth,7th,55 l,7,11-7,120,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Newtown Rambler (IRE),M P O'Connor,0,H De Bromhead,6th,8 l,6,10-12ht,111,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,The Dasher Conway (IRE),K C Sexton,0,Mrs G Callaghan,5th,1/2 l,10,11-3,116,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Dollar Value (USA),M M McDonagh,0,T G McCourt,4th,13 l,10,11-9,122,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Bowensonfire (FR),F Brickley,7,G Elliott,3rd,Neck,5,11-10,123,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Run For Harry (IRE),K E Buckley,0,Mrs G Callaghan,2nd,1 1/4 l,7,11-6tp,119,True,Ireland
Downpatrick Racing Results | 15th June 2025 15:50,,15:50,Yielding To Soft,2m 1f 165y,Tonaghneave Well (IRE),P M O'Brien,7,G P Cromwell,1st,,5,11-11p,124,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Sage Conseil (IRE),J Smith,5,J C McConnell,F,,7,12-0t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Warriors Wood,D P Maxwell,5,A McNamara,7th,42 l,5,12-0,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Ballyearl (FR),M P O'Connor,0,H De Bromhead,6th,4 3/4 l,4,11-9h,110,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Cap Bernat (IRE),P J O'Hanlon,0,R McNeilly,5th,4 1/2 l,12,10-13ht,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Brave Soldier (IRE),P Hanlon,7,M M McNiff,4th,3/4 l,5,11-3,99,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Dunkerque (DEN),A Balfe,7,G P Cromwell,3rd,1 l,5,12-0,110,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Boston Rajj (IRE),C P Millar,5,G Elliott,2nd,2 1/2 l,7,12-2,114,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Bruant,K C Sexton,0,A J Martin,1st,,4,10-8,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Sage Conseil (IRE),J Smith,5,J C McConnell,F,,7,12-0t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Warriors Wood,D P Maxwell,5,A McNamara,7th,42 l,5,12-0,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Ballyearl (FR),M P O'Connor,0,H De Bromhead,6th,4 3/4 l,4,11-9h,110,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Cap Bernat (IRE),P J O'Hanlon,0,R McNeilly,5th,4 1/2 l,12,10-13ht,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Brave Soldier (IRE),P Hanlon,7,M M McNiff,4th,3/4 l,5,11-3,99,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Dunkerque (DEN),A Balfe,7,G P Cromwell,3rd,1 l,5,12-0,110,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Boston Rajj (IRE),C P Millar,5,G Elliott,2nd,2 1/2 l,7,12-2,114,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:20,,16:20,Yielding To Soft,2m 1f 165y,Bruant,K C Sexton,0,A J Martin,1st,,4,10-8,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Baron Blake (FR),P Hanlon,7,J J Hanlon,11th,5 1/2 l,4,11-8,96,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Feast (IRE),Anna McGuinness,7,P J McKenna,10th,13 l,8,11-8,91,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Every River,Niall Moore,5,W J Bryson,9th,28 l,9,11-0,83,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Small Bucks (IRE),P M O'Brien,7,P E Collins,8th,2 l,4,11-7h,95,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Live To Laugh (IRE),B W Harvey,0,Peter Fahey,7th,1 1/4 l,6,11-12,95,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Centaq (IRE),P J O'Hanlon,0,D A McLoughlin,6th,1 1/4 l,5,11-2h,85,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,I'm For Home (IRE),M P O'Connor,0,R K Watson,5th,3 1/4 l,7,10-9t1,78,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Sydney Cruiser (IRE),C P Millar,5,Ciaran Murphy,4th,3 1/2 l,7,10-12p,81,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Chatterbox (IRE),K E Buckley,0,J J Murphy,3rd,3 l,6,11-10,93,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Ar Nos Na Gaoithe (IRE),H E Sexton,7,P J Rothwell,2nd,1/2 l,6,11-5,88,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Pralognan (FR),K C Sexton,0,A J Martin,1st,,6,11-9t,92,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Baron Blake (FR),P Hanlon,7,J J Hanlon,11th,5 1/2 l,4,11-8,96,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Feast (IRE),Anna McGuinness,7,P J McKenna,10th,13 l,8,11-8,91,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Every River,Niall Moore,5,W J Bryson,9th,28 l,9,11-0,83,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Small Bucks (IRE),P M O'Brien,7,P E Collins,8th,2 l,4,11-7h,95,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Live To Laugh (IRE),B W Harvey,0,Peter Fahey,7th,1 1/4 l,6,11-12,95,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Centaq (IRE),P J O'Hanlon,0,D A McLoughlin,6th,1 1/4 l,5,11-2h,85,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,I'm For Home (IRE),M P O'Connor,0,R K Watson,5th,3 1/4 l,7,10-9t1,78,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Sydney Cruiser (IRE),C P Millar,5,Ciaran Murphy,4th,3 1/2 l,7,10-12p,81,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Chatterbox (IRE),K E Buckley,0,J J Murphy,3rd,3 l,6,11-10,93,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Ar Nos Na Gaoithe (IRE),H E Sexton,7,P J Rothwell,2nd,1/2 l,6,11-5,88,True,Ireland
Downpatrick Racing Results | 15th June 2025 16:50,,16:50,Yielding To Soft,2m 1f 165y,Pralognan (FR),K C Sexton,0,A J Martin,1st,,6,11-9t,92,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Campuna (IRE),Mr E Finegan,7,R K Watson,PU,,4,11-6,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,No More Silver (FR),Mr H C Swan,0,G Elliott,8th,47 l,4,11-6,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Tina Yeats (IRE),M J Molloy,7,A J Martin,7th,13 l,5,11-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Bebinn Court (IRE),Mr O McGill,5,Gary McGill,6th,20 l,5,11-11t1,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Summer Dawn (IRE),Mr S Connor,7,S R B Crawford,5th,9 l,5,11-11t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Shannon Bank (IRE),Mr D G Lavery,0,G P Cromwell,4th,2 1/4 l,6,11-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Walks The Talk (IRE),Mr F R Buckley,7,J C McConnell,3rd,1 1/2 l,6,11-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Beir Bua (IRE),Mr A P Ryan,7,A Slattery,2nd,10 l,4,11-6,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Liadawn (IRE),Mr P W Mullins,0,W P Mullins,1st,,5,11-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Campuna (IRE),Mr E Finegan,7,R K Watson,PU,,4,11-6,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,No More Silver (FR),Mr H C Swan,0,G Elliott,8th,47 l,4,11-6,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Tina Yeats (IRE),M J Molloy,7,A J Martin,7th,13 l,5,11-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Bebinn Court (IRE),Mr O McGill,5,Gary McGill,6th,20 l,5,11-11t1,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Summer Dawn (IRE),Mr S Connor,7,S R B Crawford,5th,9 l,5,11-11t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Shannon Bank (IRE),Mr D G Lavery,0,G P Cromwell,4th,2 1/4 l,6,11-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Walks The Talk (IRE),Mr F R Buckley,7,J C McConnell,3rd,1 1/2 l,6,11-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Beir Bua (IRE),Mr A P Ryan,7,A Slattery,2nd,10 l,4,11-6,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 17:20,,17:20,Yielding To Soft ace (Turf),2m 1f 165y,Liadawn (IRE),Mr P W Mullins,0,W P Mullins,1st,,5,11-11,-,True,Ireland
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Too Much,Mark Winn,0,D Thompson,10th,1/2 l,5,9-3h,69,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Diligent Henry,D Fentiman,0,Jessica Macey,9th,3 1/2 l,4,8-4v,56,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Lucky Man (IRE),George Wood,0,J Candlish,8th,4 l,6,9-9,75,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Grace Taufan,K T O'Neill,0,Alice Haynes,7th,3/4 l,4,9-7t,73,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Livio Milo (IRE),Cam Hardie,0,S England,6th,1/2 l,5,8-13,65,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Thapa VC (IRE),J Mitchell,0,M G Rimell,5th,1/2 l,7,9-3t,69,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Albeseeingyer,D C Costello,0,Steph Hollinshead,4th,Head,6,9-9,75,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Finbar's Lad,Cieren Fallon,0,J & S Quinn,3rd,1 3/4 l,6,9-5,71,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Riot (IRE),D Tudhope,0,D O'Meara,2nd,3/4 l,8,9-8tv,74,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Beattie Is Back,J Garritty,0,R A Fahey,1st,,6,9-6,72,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Too Much,Mark Winn,0,D Thompson,10th,1/2 l,5,9-3h,69,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Diligent Henry,D Fentiman,0,Jessica Macey,9th,3 1/2 l,4,8-4v,56,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Lucky Man (IRE),George Wood,0,J Candlish,8th,4 l,6,9-9,75,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Grace Taufan,K T O'Neill,0,Alice Haynes,7th,3/4 l,4,9-7t,73,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Livio Milo (IRE),Cam Hardie,0,S England,6th,1/2 l,5,8-13,65,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Thapa VC (IRE),J Mitchell,0,M G Rimell,5th,1/2 l,7,9-3t,69,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Albeseeingyer,D C Costello,0,Steph Hollinshead,4th,Head,6,9-9,75,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Finbar's Lad,Cieren Fallon,0,J & S Quinn,3rd,1 3/4 l,6,9-5,71,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Riot (IRE),D Tudhope,0,D O'Meara,2nd,3/4 l,8,9-8tv,74,True,UK
Doncaster Racing Results | 15th June 2025 13:50,,13:50,Good To Firm (Good In Places),7f 6y,Beattie Is Back,J Garritty,0,R A Fahey,1st,,6,9-6,72,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Wreck It Ryley (IRE),Rhys Clutterbuck,0,A D Brown,10th,5 l,5,9-9v,75,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Count Palatine (IRE),Connor Beasley,0,M Dods,9th,2 3/4 l,4,9-9,75,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Patontheback (IRE),J Mitchell,0,G Tutty,8th,1 3/4 l,7,8-13,65,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Wilde And Dandy,David Probert,0,I Furtado,7th,1 1/4 l,5,8-12,64,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Vibrato (IRE),Lewis Edmunds,0,J Candlish,6th,1 1/2 l,4,9-8,74,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Twilight Diamond,D Tudhope,0,D O'Meara,5th,1 3/4 l,4,9-5t,71,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Chifa (IRE),L Morris,0,E De Giles,4th,1 3/4 l,8,9-3,69,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Angel Of Rain,George Wood,0,James Horton,3rd,Neck,4,9-6,72,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Novello Lad,D Nolan,0,P T Midgley,2nd,1/2 l,4,9-1,67,True,UK
