track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims
Naas,9 Jan 2026,2m3f,Yielding,Take Stock,109,Eoin Staples,Gavin Cromwell,11 -12,5,4
Naas,9 Jan 2026,2m3f,Yielding,Party President,114,Adam Leahy,Anthony Mullins,11 -11,6,4
Naas,9 Jan 2026,2m3f,Yielding,Harpy Eagle,114,Paddy Cody,R P Cody,11- 9,5,4
Naas,9 Jan 2026,2m3f,Yielding,Saunton Surf,116,Philip Donovan,Gary McGill,11- 6,7,0
Naas,9 Jan 2026,2m3f,Yielding,Cumberland River,111,Carl Millar,Gordon Elliott,11- 3,4,2
Naas,9 Jan 2026,2m3f,Yielding,Couldntmakeitup,114,Peter Smithers,J A Nash,11- 2,6,4
Naas,9 Jan 2026,2m3f,Yielding,Gangster Granny,105,Shane O'Callaghan,C A McBratney,11- 2,5,0
Naas,9 Jan 2026,2m3f,Yielding,Keiths Boy,109,Benjamin P Kennedy,Seamus Fahey,11- 2,5,4
Naas,9 Jan 2026,2m3f,Yielding,Teenage Kiss,110,Charlie O'Dwyer,Conor O'Dwyer,11- 1,5,0
Naas,9 Jan 2026,2m3f,Yielding,Survivors Sister,117,Jack G Gilligan,Paul John Gilligan,10 -12,7,2
Naas,9 Jan 2026,2m3f,Yielding,Run For Cover,113,Conor Brassil,Martin Brassil,10 -11,7,0
Naas,9 Jan 2026,2m3f,Yielding,Boston Bobby,108,Tiernan Power Roche,P J Rothwell,10- 1,7,0
Naas,9 Jan 2026,2m3f,Yielding,Artic Chief,110,Patrick M O'Brien,Liam Lennon,10- 0,5,2
Naas,9 Jan 2026,2m3f,Yielding,Coppola,82,Brian Barry,C A McBratney,10- 0,7,4
Naas,9 Jan 2026,2m3f,Yielding,Creative Dancer,106,Aidan Kelly,Ian Patrick Donoghue,10- 0,9,0
Naas,9 Jan 2026,2m4f,Yielding,Classical Creek,139,Jack Kennedy,Gordon Elliott,11 -10,6,0
Naas,9 Jan 2026,2m4f,Yielding,Frankie John,130,D G Hogan,Denis Gerard Hogan,11 -10,6,0
Naas,9 Jan 2026,2m4f,Yielding,Fruit De Mer,127,Darragh O'Keeffe,Henry De Bromhead,11 -10,6,0
Naas,9 Jan 2026,2m4f,Yielding,I'll Sort That,142,Mr D L Queally,Declan Queally,11 -10,6,0
Naas,9 Jan 2026,2m4f,Yielding,Kovanis,128,Danny Gilligan,Gordon Elliott,11 -10,6,0
Naas,9 Jan 2026,2m4f,Yielding,Letos,134,Danny Mullins,Anthony Mullins,11 -10,6,0
Naas,9 Jan 2026,2m4f,Yielding,Lord Rouge,133,Sam Ewing,Gordon Elliott,11 -10,5,0
Naas,9 Jan 2026,2m4f,Yielding,Saint Baco,132,Paul Townend,W P Mullins,11 -10,5,0
Naas,9 Jan 2026,2m4f,Yielding,Sortudo,140,Mr P W Mullins,W P Mullins,11 -10,6,0
Naas,9 Jan 2026,2m4f,Yielding,Switch From Diesel,135,Daniel King,Ross O'Sullivan,11- 3,7,0
