track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Strobelight,67,Grace McEntee,George Boughey,9- 6,4,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Secret Road,66,Rhys Clutterbuck,James Owen,9 -10,8,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Campani,64,Joey Haynes,David Simcock,9- 5,4,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Up The Monk,63,Liam Wright,Michael Appleby,9- 5,4,5
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Tootsie,65,Connor Planas,Phil McEntee,9- 2,4,3
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Fidget Lady,62,Ethan Tindall,Richard Fahey,9- 0,4,7
Chelmsford (AW),11 Jan 2026Polytrack,1m,Standard,4:42,Rainwater,74,Harry Russell,Richard Fahey,9- 9,5,0
Chelmsford (AW),11 Jan 2026Polytrack,1m,Standard,4:42,Al Waqidi,73,Nicola Currie,Jamie Osborne,9- 9,8,0
Chelmsford (AW),11 Jan 2026Polytrack,1m,Standard,4:42,Simply Blue,76,Jonny Peate,James Owen,9- 9,4,0
Chelmsford (AW),11 Jan 2026Polytrack,1m,Standard,4:42,Galaxy Wonder,74,Gina Mangan,Tony Carroll,9- 8,4,0
Chelmsford (AW),11 Jan 2026Polytrack,1m,Standard,4:42,Miners Gamble,75,Ben Robinson,Brian Ellison,9- 8,5,0
Chelmsford (AW),11 Jan 2026Polytrack,1m,Standard,4:42,Fulford Cross,73,Joey Haynes,David Simcock,9- 6,4,0
Chelmsford (AW),11 Jan 2026Polytrack,1m,Standard,4:42,Tam Lin,71,Tyler Heard,Anthony Carson,9- 5,4,0
Chelmsford (AW),11 Jan 2026Polytrack,1m,Standard,4:42,Brinton,71,Olivia Tubb,Jonathan Portman,9- 3,5,5
Chelmsford (AW),11 Jan 2026Polytrack,1m,Standard,4:42,Kessaar Power,70,Grace McEntee,Phil McEntee,9- 2,6,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,Legendary Luke,121,Gavin Sheehan,Jamie Snowden,11 -10,6,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,The Cistercian,125,Charlie Hammond,Stuart Edmunds,11 -10,6,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,Contacto,111,Tom Cannon,Lucy Wadham,11- 3,5,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,For Old Times Sake,96,Conor O'Farrell,Neil Mulholland,11- 3,5,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,Herbygoesbananas,81,Brendan Powell,Henrietta C Knight,11- 3,5,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,Le Flying Ferret,81,James Davies,Nick Gifford,11- 3,5,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,Manigod,120,James Bowen,Warren Greatrex,11- 3,5,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,Monansunu,-,Caoilin Quinn,Andy Irvine,11- 3,6,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,Mr Finch,-,Ben Jones,Ben Pauling,11- 3,6,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,Pacman,-,Harry Kimber,Robert Walford,11- 3,5,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,Roi Lion,-,Robert Dunne,Robert Walford,11- 3,8,0
Fontwell,11 Jan 2026 SKY,2m3f,Soft,1:00,Western George,-,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11- 3,5,0
Fontwell,11 Jan 2026 SKY,3m2f,Soft,1:30,Roe And Co,112,Joe Anderson,Jamie Snowden,12- 0,8,3
Fontwell,11 Jan 2026 SKY,3m2f,Soft,1:30,The Scorpion King,110,Gavin Sheehan,Oliver Signy,12- 0,8,0
Fontwell,11 Jan 2026 SKY,3m2f,Soft,1:30,Record High,109,Isabelle Ryder,Suzy Smith,11 -10,9,7
Fontwell,11 Jan 2026 SKY,3m2f,Soft,1:30,Animal,107,Charlie Deutsch,Suzy Smith,11- 8,10,0
Fontwell,11 Jan 2026 SKY,3m2f,Soft,1:30,Cooleenymore,109,Harry Kimber,Robert Walford,11- 8,10,0
Fontwell,11 Jan 2026 SKY,3m2f,Soft,1:30,Innisfree Lass,111,Charlie Hammond,Stuart Edmunds,11- 6,8,0
Fontwell,11 Jan 2026 SKY,3m2f,Soft,1:30,Inedit De Mee,109,Kevin Brogan,Toby Lawes,11- 6,8,0
Fontwell,11 Jan 2026 SKY,3m2f,Soft,1:30,To Be Sure,110,Ellis Collier,Evan Williams,11- 0,11,5
Fontwell,11 Jan 2026 SKY,3m2f,Soft,1:30,Only Gossip,89,Callum Pritchard,Polly Gundry,10- 9,9,3
Fontwell,11 Jan 2026 SKY,3m2f,Soft,1:30,The Brickey Ranger,-,Sean Houlihan,Seamus Mullins,10- 7,8,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:00,Queen's Theatre,103,Sam Twiston-Davies,Anthony Honeyball,11- 9,5,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:00,Aj's Diamond,-,Freddie Gordon,Chris Gordon,11- 2,6,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:00,Bunny Bee,-,Paul O'Brien,Henrietta C Knight,11- 2,5,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:00,Cast's Georgie,-,Harry Kimber,Robert Walford,11- 2,5,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:00,Ephyra,82,Caoilin Quinn,Andy Irvine,11- 2,5,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:00,Geordies Betty,-,Sean Houlihan,Kevin Bishop,11- 2,6,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:00,Limerick Lass,117,Ben Godfrey,Anthony Honeyball,11- 2,6,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:00,Mistress Fox,-,Bradley Harris,Neil Mulholland,11- 2,6,3
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:00,Svelte Silhouette,-,Daniel Sansom,Seamus Mullins,11- 2,5,3
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:00,Wassailing Along,96,Brendan Powell,Joe Tizzard,11- 2,6,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:30,Park Princess,123,Sam Twiston-Davies,Anthony Honeyball,11- 9,6,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:30,Blue Marvel,113,Charlie Hammond,Stuart Edmunds,11- 2,5,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:30,Cushendall,-,Tom Bellamy,Alan King,11- 2,6,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:30,Don't Cheddar Tear,-,Tabitha Worsley,Georgie Howell,11- 2,7,3
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:30,Holetown,108,Charlie Deutsch,Venetia Williams,11- 2,6,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:30,Khutulun Khan,-,Tom Cannon,Lucy Wadham,11- 2,7,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:30,Onefournine,108,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11- 2,6,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:30,Shalfa,-,Marc Goldstein,Lydia Richards,11- 2,7,0
