track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Rawy,-,Pat Dobbs,Doug Watson,9- 2,7,0,True,0.052997913
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Sirdin,-,Jules Mobian,Abubakar Daud,8- 5,7,0,True,0.052085627
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,High Everest,-,Victor Salgado,Rashed Bouresly,9 -11,6,0,True,0.052043058
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Excel Power,-,Bernardo Pinheiro,Salem bin Ghadayer,9- 8,8,0,True,0.051601708
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Poster Paint,-,Tadhg O'Shea,Bhupat Seemar,9- 6,7,0,True,0.04918175
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Dukedom,-,Francisco Goncalves,Antonio Cintra & Julio Olascoaga,9- 7,7,0,True,0.048986673
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Chosen Mark,-,Sandro Paiva,Ahmed Al Shemaili,8 -13,8,0,True,0.04833084
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Shanaghai City,-,Victor Salgado,Rashed Bouresly,9- 3,10,0,True,0.047962304
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Indicate,-,Bernardo Pinheiro,Salem bin Ghadayer,8- 8,5,0,True,0.0471562
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Pizarro,-,Tadhg O'Shea,Bhupat Seemar,9- 0,5,0,True,0.046991207
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Velvet Cactus,-,Jose Santiago,Salem bin Ghadayer,9- 0,5,0,True,0.046991207
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Algheed,-,Jules Mobian,Abubakar Daud,8- 9,5,0,True,0.046991207
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Nukanan,-,Charlie Bennett,Osama Refai,9- 0,5,0,True,0.04467204
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Mawhoob,-,Silvestre De Sousa,Michael Costa,9- 0,4,0,True,0.04457111
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Political Truth,-,Qais Bin Saif Al Busaidi,Salem bin Ghadayer,9- 0,4,0,True,0.04457111
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Turjman,-,Silvestre De Sousa,Michael Costa,9- 5,5,0,True,0.043425947
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Fayadh,-,Hamed Al Busaidi,Qaiss Aboud,9- 0,5,6,True,0.04327931
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Klimt Street,-,Reserve,Salman Al Sabri,9- 0,7,0,True,0.04316468
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Serve To Lead,-,Daniel Tudhope,Simon & Ed Crisford,9- 0,4,0,True,0.042366087
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Al Fareeq,-,Connor Beasley,A bin Harmash,9- 0,4,0,True,0.04151941
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,La Yetal,-,Ray Dawson,Michael Costa,9- 0,4,0,True,0.04151941
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Vocalizer,-,Jose Santiago,Salem bin Ghadayer,8- 7,4,0,True,0.04137038
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Olzhakhan,-,Mikey Sheehy,Doug Watson,9 -10,8,0,True,0.040911008
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Daneyan,-,Jesus Rosales,Ahmed Al Neyadi,8- 5,11,0,True,0.040748276
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Goldspur,-,Hamed Al Busaidi,Qaiss Aboud,9- 8,7,6,True,0.039738342
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Hopefully Yes,-,Bernardo Pinheiro,Salem bin Ghadayer,9- 4,5,0,True,0.03910008
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Kibo Misaki,-,Qais Bin Saif Al Busaidi,Salem bin Ghadayer,9- 5,5,0,True,0.039005265
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Muntasir,-,Sam Hitchcott,A bin Harmash,8 -13,5,0,True,0.038918044
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Dubai Welcome,-,Saif Al Balushi,Mohammed Al Mahrooqi,8 -11,9,0,True,0.038747918
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Pipes And Drums,-,Bernardo Pinheiro,Salem bin Ghadayer,9 -11,5,0,True,0.03859328
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Saarim,-,Pat Dobbs,Doug Watson,9 -11,5,0,True,0.03859328
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Shuf Dubai,-,Sam Hitchcott,A bin Harmash,9- 4,5,0,True,0.03859328
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Onight,-,Ray Dawson,Marwan Al Baidhaei,8 -13,6,0,True,0.038352095
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Houb Al Wattan,-,Victor Salgado,Rashed Bouresly,8- 5,6,0,True,0.038352095
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Tawalla,-,NON-RUNNER,Michael Costa,9 -11,6,0,True,0.038235784
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Major Cinnamon,-,Tadhg O'Shea,Marwan Al Baidhaei,9- 0,9,0,True,0.03811272
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Halucinogenie,-,Qais Bin Saif Al Busaidi,Salem bin Ghadayer,9 -11,6,0,True,0.037896562
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Barq Al Emarat,-,Richard Mullen,Ismail Mohammed,9 -10,7,0,True,0.036628775
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Benzema,-,Jose Santiago,Salem bin Ghadayer,8- 7,7,0,True,0.036628775
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Magic Petition,-,Connor Beasley,A bin Harmash,9 -11,6,0,True,0.035749625
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Davy Lamp,-,Elione Chaves,Rashed Bouresly,8 -10,11,0,True,0.035531357
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Frostfire,-,Kieran Shoemark,Musabbeh Al Mheiri,9 -10,4,0,True,0.035464004
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Al Muzn,-,Silvestre De Sousa,Salman Al Sabri,9- 8,6,0,True,0.03403352
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Trip To Rome,-,Qais Bin Saif Al Busaidi,Osama Refai,8 -10,6,0,True,0.03403352
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Questor,-,Kieran Shoemark,Doug Watson,9- 0,4,0,True,0.03156829
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Inner City,-,Tadhg O'Shea,Musabbeh Al Mheiri,9- 0,5,0,True,0.03156562
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Daayyem,-,Allaia Tiar,Khalifa Al Neyadi,9- 0,4,6,True,0.0314674
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Don Pelicano,-,Francisco Goncalves,Antonio Cintra & Julio Olascoaga,9- 1,3,0,True,0.03139868
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Global View,-,Richard Mullen,Bhupat Seemar,9- 0,4,0,True,0.030930439
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Second Name,-,Sandro Paiva,Salman Al Sabri,8- 5,5,0,True,0.030772286
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Hobalsalam,-,Daniel Tudhope,Osama Refai,9 -11,5,0,True,0.030600015
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Don Vaccaro,-,Hamed Al Busaidi,Antonio Cintra & Julio Olascoaga,9 -10,4,6,True,0.030164551
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Moonshiner,-,Richard Mullen,Antonio Cintra & Julio Olascoaga,9- 6,4,0,True,0.03005585
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Hot Property,-,Silvestre De Sousa,Doug Watson,9- 4,4,0,True,0.03005585
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Munyah,-,Richard Mullen,Musabbeh Al Mheiri,9- 6,4,0,True,0.029915025
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Jolly Roger,-,Daniel Tudhope,Simon & Ed Crisford,9- 5,4,0,True,0.029915025
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,African Candy,-,Silvestre De Sousa,Musabbeh Al Mheiri,9- 4,4,0,True,0.029915025
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Nam Phrik,-,Francisco Goncalves,Antonio Cintra & Julio Olascoaga,9- 3,4,0,True,0.029915025
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Amjaad,-,Pat Dobbs,Doug Watson,9- 2,4,0,True,0.029915025
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,On The Way,-,Bernardo Pinheiro,Salem bin Ghadayer,9- 0,4,0,True,0.029915025
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Aegean Star,-,Jules Mobian,Abubakar Daud,9 -11,4,0,True,0.029583713
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Alnayazek,-,Richard Mullen,Salman Al Sabri,9 -11,4,0,True,0.029583713
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Masubi,-,Tadhg O'Shea,Bhupat Seemar,9 -11,4,0,True,0.028984765
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Mnawish,-,Ray Dawson,Michael Costa,9 -11,4,0,True,0.028984765
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,New Gem,-,Sandro Paiva,Ahmed Al Shemaili,9 -11,4,0,True,0.028984765
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Secret State,-,Marcelino Rodrigues,Musabbeh Al Mheiri,9 -11,7,6,True,0.028241204
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Split The Profit,-,Ray Dawson,Salman Al Sabri,9- 3,5,0,True,0.028007448
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Tufaan E Dubai,-,Marcelino Rodrigues,Elise Jeanne,9 -11,5,6,True,0.026576504
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Charming Life,-,Kieran Shoemark,Musabbeh Al Mheiri,9- 8,4,0,True,0.026525304
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Odai,-,Charlie Bennett,Osama Refai,9- 1,4,0,True,0.026525304
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Saleell,-,Andrew Slattery,Michael Costa,8 -10,3,0,True,0.021537555
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Samhan,-,Adel Alqeeyadi,Mohammad Mardood,8 -10,3,0,True,0.021537555
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Yasup,-,Sam Hitchcott,A bin Harmash,8 -10,3,0,True,0.021537555
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Youheeb,-,Silvestre De Sousa,Michael Costa,8 -10,3,0,True,0.021537555
Kempton,10 Jan 2026,2m,Good,3:53,Courageous Strike,127,Harry Cobden,Paul Nicholls,10 -11,5,0,True,0.06086519
Kempton,10 Jan 2026,2m,Good,3:53,We're Red And Blue,130,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11- 6,6,0,True,0.03751752
Kempton,10 Jan 2026,2m,Good,3:53,Washington,132,Megan Fox,Harry Derham,11 -13,10,7,True,0.024637202
Kempton,10 Jan 2026,2m4½f,Good,12:55,Leader In The Park,141,Ben Jones,Ben Pauling,11- 9,8,0,True,0.022936502
Kempton,10 Jan 2026 ITV4,2m4½f,Good,2:40,Kalif Du Berlais,163,Harry Cobden,Paul Nicholls,11- 5,6,0,True,0.020184468
Kempton,10 Jan 2026 ITV4,2m,Good,1:30,Senator,-,Joe Anderson,Jamie Snowden,11- 0,4,3,True,0.01952565
Kempton,10 Jan 2026 ITV4,2m,Good,1:30,Wise Counsellor,-,Jack Quinlan,Daniel Steele,11- 0,4,0,True,0.019366397
Kempton,10 Jan 2026 ITV4,2m4½f,Good,2:40,Boombawn,167,Harry Skelton,Dan Skelton,11- 5,9,0,True,0.018515969
Kempton,10 Jan 2026,2m4½f,Good,12:55,Old Cowboy,144,Freddie Mitchell,Gary & Josh Moore,11- 3,6,3,True,0.018469062
Kempton,10 Jan 2026,2m4½f,Good,12:55,Outlaw Peter,142,Freddie Gingell,Paul Nicholls,12- 0,10,0,True,0.017900035
Kempton,10 Jan 2026,2m4½f,Good,12:55,Peso,139,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11- 1,7,0,True,0.017503291
Kempton,10 Jan 2026 ITV4,2m5f,Good,3:17,Lanesborough,150,Ben Jones,Ben Pauling,10 -12,7,0,True,0.016429573
Kempton,10 Jan 2026,2m,Good,12:20,Gambino,-,Harry Skelton,Dan Skelton,11- 0,5,0,True,0.01586408
Kempton,10 Jan 2026 ITV4,2m,Good,1:30,Precious Man,127,Harry Skelton,Dan Skelton,11 -10,4,0,True,0.015809396
Kempton,10 Jan 2026 ITV4,2m4½f,Good,2:40,Edwardstone,170,Tom Cannon,Alan King,11- 2,12,0,True,0.015434071
Kempton,10 Jan 2026,2m4½f,Good,12:55,Lookaway,143,Jack Quinlan,Neil King,11 -12,9,0,True,0.015429145
Kempton,10 Jan 2026 ITV4,2m,Good,1:30,Frank Stamper,93,James Bowen,Warren Greatrex,11- 0,4,0,True,0.015210312
Kempton,10 Jan 2026,2m4½f,Good,12:55,Go West,141,Harry Cobden,Paul Nicholls,11 -12,8,0,True,0.015165402
Kempton,10 Jan 2026 ITV4,2m,Good,1:30,King Al,115,Tom Bellamy,Alan King,11- 0,4,0,True,0.015056433
Kempton,10 Jan 2026 ITV4,3m,Good,2:05,Your Darling,143,Ben Jones,Ben Pauling,11- 9,11,0,True,0.014814038
Kempton,10 Jan 2026 ITV4,2m4½f,Good,2:40,Master Chewy,168,Sam Twiston-Davies,Nigel & Willy Twiston-Davies,11- 8,9,0,True,0.0147316735
Kempton,10 Jan 2026 ITV4,2m,Good,1:30,Chartwell Jock,92,Daniel Sansom,Seamus Mullins,11- 0,4,3,True,0.014634182
Kempton,10 Jan 2026,2m,Good,12:20,My Fortune,90,Ben Jones,Ben Pauling,11- 0,6,0,True,0.0138455555
Kempton,10 Jan 2026 ITV4,2m5f,Good,3:17,French Ship,151,Callum Pritchard,Philip Hobbs & Johnson White,12- 0,6,3,True,0.012976425
Kempton,10 Jan 2026 ITV4,2m,Good,1:30,Dissident,109,Conor O'Farrell,Gary & Josh Moore,11- 0,4,0,True,0.012765863
Kempton,10 Jan 2026 ITV4,2m,Good,1:30,Pourquoi Pas Papa,120,NON-RUNNER,Paul Nicholls,11- 0,4,0,True,0.012399313
Kempton,10 Jan 2026 ITV4,2m,Good,1:30,Wertpol,114,Paul O'Brien,Harry Derham,11- 0,4,0,True,0.012357952
Kempton,10 Jan 2026,2m,Good,3:53,Quaviste,127,Harry Skelton,Dan Skelton,10 -11,6,0,True,0.011652616
Kempton,10 Jan 2026 ITV4,3m,Good,2:05,The Doyen Chief,146,Tom Bellamy,Alan King,11- 9,9,0,True,0.011622089
Kempton,10 Jan 2026,2m,Good,12:20,Shabalko d'Herm,121,Sam Twiston-Davies,Nigel & Willy Twiston-Davies,11 -10,6,0,True,0.011615665
Kempton,10 Jan 2026 ITV4,2m5f,Good,3:17,Beat The Bat,148,Bryan Carver,Harry Fry,11- 2,8,0,True,0.011488627
Kempton,10 Jan 2026 ITV4,3m,Good,2:05,Welcom To Cartries,146,Harry Cobden,Paul Nicholls,11- 5,8,0,True,0.01143741
Kempton,10 Jan 2026 ITV4,2m5f,Good,3:17,Captain Teague,147,NON-RUNNER,Paul Nicholls,11- 7,8,0,True,0.011371139
Kempton,10 Jan 2026,2m,Good,12:20,Kocktail Bleu,124,Freddie Gordon,Chris Gordon,11- 6,6,0,True,0.01135214
Kempton,10 Jan 2026 ITV4,2m5f,Good,3:17,Double Powerful,142,Conor O'Farrell,Neil Mulholland,11- 4,7,0,True,0.010915828
