track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Heart Of Eternity,77,Leigh Roche,Denis Gerard Hogan,9- 8,4,0,True,0.021437353
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Nakasero,82,Adam Grant,Henry De Bromhead,10- 0,5,7,True,0.021432836
Dundalk (AW),9 Jan 2026Polytrack,5f,Standard,Lunigiana,90,Nicola Burns,W McCreery,9- 3,4,0,True,0.021250818
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Never Shout Never,87,Gary Halpin,Andrew McNamara,8 -12,6,0,True,0.021005949
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Satisfy My Soul,78,Nathan Crosse,John S O'Donoghue,9- 3,3,0,True,0.020426415
Dundalk (AW),9 Jan 2026Polytrack,1m2½f,Standard,Stay In The Game,82,Rory Cleary,John Joseph Hanlon,9 -11,5,0,True,0.020298772
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Sinbad My Dad,84,Paddy Harnett,Seamus Fahey,9- 5,5,0,True,0.018806495
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Porsche Lad,84,Nicola Burns,Denis Gerard Hogan,8 -11,5,0,True,0.01870303
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Salah Belle,81,Nathan Crosse,Ms Sheila Lavery,8 -11,5,0,True,0.018057672
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Astronomically,93,Paddy Harnett,Donnacha Aidan O'Brien,9- 3,3,5,True,0.017884886
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Thirsty Owl,82,Brandon Wilkie,Gavin Cromwell,9- 8,3,5,True,0.017512782
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Vibrato,88,Killian Leonard,Cian Collins,9- 1,5,0,True,0.017375607
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Neo Smart,85,Nicola Burns,J S Bolger,9- 7,5,5,True,0.017228264
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Alfred Tennyson,86,Hugh Horgan,Denis Gerard Hogan,10- 3,4,5,True,0.016739499
Exeter,9 Jan 2026,2m½f,Good To Soft,Quickkick,-,Sean Houlihan,Philip Hobbs & Johnson White,11- 2,5,0,True,0.06274151
Exeter,9 Jan 2026,2m½f,Good To Soft,Le Cold Grey,-,Harry Cobden,Paul Nicholls,11- 2,5,0,True,0.062327955
Exeter,9 Jan 2026,2m½f,Good To Soft,Malinaero,-,Isabel Williams,Evan Williams,11- 2,5,0,True,0.056386974
Exeter,9 Jan 2026,2m½f,Good To Soft,Blackswan d'Oroux,-,Ben Jones,Ben Pauling,11- 2,5,0,True,0.042593878
Exeter,9 Jan 2026,2m½f,Good To Soft,Fountains Gala,-,James Best,Claire Hitch,10- 9,6,0,True,0.04255478
Exeter,9 Jan 2026,2m½f,Good To Soft,Governors Island,78,Bryan Carver,Harry Fry,11- 2,5,0,True,0.0417258
Exeter,9 Jan 2026,2m½f,Good To Soft,Keepsoldieringon,67,Paul O'Brien,Helen Nelmes,11- 2,5,0,True,0.04025964
Exeter,9 Jan 2026,2m½f,Good To Soft,I'm Wide Awake,115,Lucy Gardner,Sue Gardner,11- 2,6,0,True,0.0395423
Exeter,9 Jan 2026,2m½f,Good To Soft,Best Trump,-,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11- 8,5,0,True,0.036172505
Exeter,9 Jan 2026,2m½f,Good To Soft,A King Of Magic,-,Liam Harrison,Paul Nicholls,11- 8,5,0,True,0.035551224
Exeter,9 Jan 2026,2m½f,Good To Soft,Valiant Soldier,-,Freddie Gingell,Joe Tizzard,11- 2,5,0,True,0.03543874
Exeter,9 Jan 2026,2m½f,Good To Soft,Limerick Star,-,Callum Pritchard,Philip Hobbs & Johnson White,11- 8,6,3,True,0.034114145
Exeter,9 Jan 2026,2m½f,Good To Soft,Eastern Fire,98,Harry Skelton,Dan Skelton,11- 2,5,0,True,0.03383843
Exeter,9 Jan 2026,2m1½f,Good To Soft,Love Me,-,Gavin Sheehan,Jo Davis,11- 3,6,0,True,0.033409283
Exeter,9 Jan 2026,2m½f,Good To Soft,Moonlight Stride,-,Sean Houlihan,Philip Hobbs & Johnson White,11- 1,6,0,True,0.033262372
Exeter,9 Jan 2026,2m½f,Good To Soft,Mortal Coil,-,Joshua Bryan,Tom Weston,10- 3,4,0,True,0.0330228
Exeter,9 Jan 2026,2m1½f,Good To Soft,W B Easy,-,Ciaran Gethings,Robert Stephens,11- 0,6,0,True,0.03264105
Exeter,9 Jan 2026,2m½f,Good To Soft,Crystal Orchard,102,Brendan Powell,Joe Tizzard,11- 2,5,0,True,0.031993013
Exeter,9 Jan 2026,2m½f,Good To Soft,Gospel Moon,-,Ciaran O'Shea,Sue Gardner,11- 2,5,7,True,0.031881873
Exeter,9 Jan 2026,2m½f,Good To Soft,Devon Paige,-,Ben Godfrey,Jimmy Frost,11- 8,6,0,True,0.031740256
Exeter,9 Jan 2026,2m1½f,Good To Soft,Paddy In The Caddy,123,Sean Houlihan,Philip Hobbs & Johnson White,11- 1,7,0,True,0.030981695
Exeter,9 Jan 2026,2m½f,Good To Soft,Bold Step,-,James Bowen,Nicky Henderson,11- 2,6,0,True,0.0300834
Exeter,9 Jan 2026,2m½f,Good To Soft,Devilsrollthedice,81,Rian Corcoran,Gordon Treacy,11- 8,6,7,True,0.02879804
Exeter,9 Jan 2026,2m1½f,Good To Soft,Bonza Boy,120,Lorcan Williams,Jeremy Scott,11- 3,9,0,True,0.028418794
Exeter,9 Jan 2026,2m½f,Good To Soft,Sailing By,-,Brendan Powell,Joe Tizzard,11- 8,5,0,True,0.027603641
Exeter,9 Jan 2026,2m5½f,Good To Soft,Weseekherthere,97,Sean Houlihan,Philip Hobbs & Johnson White,11- 4,7,0,True,0.026494736
Exeter,9 Jan 2026,2m½f,Good To Soft,Like A Dancer,-,Conor Ring,Evan Williams,11- 8,5,0,True,0.026410557
Exeter,9 Jan 2026,2m1½f,Good To Soft,Kingcormac,122,Taylor Fisher,Joe Tickle,10- 3,10,0,True,0.025455335
Exeter,9 Jan 2026,2m½f,Good To Soft,Miss Tiara,102,Lorcan Williams,Jeremy Scott,11- 1,6,0,True,0.024942579
Exeter,9 Jan 2026,2m½f,Good To Soft,Alidam,101,Conor Rabbitt,Sophie Leech,11- 8,5,3,True,0.024704289
Exeter,9 Jan 2026,2m5½f,Good To Soft,Tom Taggle,100,Isabel Williams,Evan Williams,11- 2,6,0,True,0.024345102
Exeter,9 Jan 2026,2m1½f,Good To Soft,Wewillgowithplanb,121,Conor Ring,Evan Williams,11 -13,9,0,True,0.024138728
Exeter,9 Jan 2026,2m½f,Good To Soft,Pourquoi Pas Papa,125,Harry Cobden,Paul Nicholls,10- 9,4,0,True,0.024052674
Exeter,9 Jan 2026,2m½f,Good To Soft,Lord Virginia,-,Beau Morgan,Martin Keighley,11- 8,5,5,True,0.023703316
