track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability,actual_position,Race_id,inferred_position
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,On The Way,-,Bernardo Pinheiro,Salem bin Ghadayer,9- 0,4,0,True,0.029915025,5,Jebel Ali_2026-01-10_10:00,11
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Secret State,-,Marcelino Rodrigues,Musabbeh Al Mheiri,9 -11,7,6,True,0.028241204,12,Jebel Ali_2026-01-10_10:00,12
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,High Everest,-,Victor Salgado,Rashed Bouresly,9 -11,6,0,True,0.052043058,11,Jebel Ali_2026-01-10_10:30,1
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Pipes And Drums,-,Bernardo Pinheiro,Salem bin Ghadayer,9 -11,5,0,True,0.03859328,,Jebel Ali_2026-01-10_10:30,2
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Halucinogenie,-,Qais Bin Saif Al Busaidi,Salem bin Ghadayer,9 -11,6,0,True,0.037896562,6,Jebel Ali_2026-01-10_10:30,3
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Hobalsalam,-,Daniel Tudhope,Osama Refai,9 -11,5,0,True,0.030600015,5,Jebel Ali_2026-01-10_10:30,4
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Aegean Star,-,Jules Mobian,Abubakar Daud,9 -11,4,0,True,0.029583713,9,Jebel Ali_2026-01-10_10:30,5
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Alnayazek,-,Richard Mullen,Salman Al Sabri,9 -11,4,0,True,0.029583713,8,Jebel Ali_2026-01-10_10:30,6
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Masubi,-,Tadhg O'Shea,Bhupat Seemar,9 -11,4,0,True,0.028984765,10,Jebel Ali_2026-01-10_10:30,7
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Mnawish,-,Ray Dawson,Michael Costa,9 -11,4,0,True,0.028984765,3,Jebel Ali_2026-01-10_10:30,8
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,New Gem,-,Sandro Paiva,Ahmed Al Shemaili,9 -11,4,0,True,0.028984765,12,Jebel Ali_2026-01-10_10:30,9
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Tufaan E Dubai,-,Marcelino Rodrigues,Elise Jeanne,9 -11,5,6,True,0.026576504,4,Jebel Ali_2026-01-10_10:30,10
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Saleell,-,Andrew Slattery,Michael Costa,8 -10,3,0,True,0.021537555,,Jebel Ali_2026-01-10_10:30,11
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Samhan,-,Adel Alqeeyadi,Mohammad Mardood,8 -10,3,0,True,0.021537555,7,Jebel Ali_2026-01-10_10:30,12
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Yasup,-,Sam Hitchcott,A bin Harmash,8 -10,3,0,True,0.021537555,1,Jebel Ali_2026-01-10_10:30,13
Jebel Ali,10 Jan 2026 Dirt,6f,,10:30,Youheeb,-,Silvestre De Sousa,Michael Costa,8 -10,3,0,True,0.021537555,2,Jebel Ali_2026-01-10_10:30,14
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Whitegate,-,Khalid Al Balushi,A bin Harmash,9- 6,4,6,True,0.06851517,1,Jebel Ali_2026-01-10_11:00,1
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Dukedom,-,Francisco Goncalves,Antonio Cintra & Julio Olascoaga,9- 7,7,0,True,0.048986673,6,Jebel Ali_2026-01-10_11:00,2
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Chosen Mark,-,Sandro Paiva,Ahmed Al Shemaili,8 -13,8,0,True,0.04833084,11,Jebel Ali_2026-01-10_11:00,3
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Shanaghai City,-,Victor Salgado,Rashed Bouresly,9- 3,10,0,True,0.047962304,14,Jebel Ali_2026-01-10_11:00,4
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Hopefully Yes,-,Bernardo Pinheiro,Salem bin Ghadayer,9- 4,5,0,True,0.03910008,3,Jebel Ali_2026-01-10_11:00,5
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Saarim,-,Pat Dobbs,Doug Watson,9 -11,5,0,True,0.03859328,4,Jebel Ali_2026-01-10_11:00,6
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Shuf Dubai,-,Sam Hitchcott,A bin Harmash,9- 4,5,0,True,0.03859328,7,Jebel Ali_2026-01-10_11:00,7
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Barq Al Emarat,-,Richard Mullen,Ismail Mohammed,9 -10,7,0,True,0.036628775,13,Jebel Ali_2026-01-10_11:00,8
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Benzema,-,Jose Santiago,Salem bin Ghadayer,8- 7,7,0,True,0.036628775,10,Jebel Ali_2026-01-10_11:00,9
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Davy Lamp,-,Elione Chaves,Rashed Bouresly,8 -10,11,0,True,0.035531357,,Jebel Ali_2026-01-10_11:00,10
