horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
Pure Theory,9/1,17/2,8/1,9/1,8/1,shortening
Chourmo,9/2,5/1,11/2,6/1,11/2,drifting
Dubai Harbour,9/4,2/1,85/40,9/4,5/2,drifting
Haveagobeau,33/1,22/1,20/1,18/1,16/1,shortening
Arlo's Sunshine,125/1,100/1,90/1,80/1,66/1,shortening
How Impressive,7/2,10/3,7/2,10/3,7/2,stable
This Farh,15/2,8/1,15/2,8/1,15/2,stable
Captain Parma,4/1,9/2,4/1,9/2,4/1,stable
Tadreeb,9/2,5/1,11/2,5/1,9/2,stable
Me Tarzan,13/2,6/1,13/2,6/1,13/2,stable
Maximising,6/1,13/2,6/1,13/2,6/1,stable
Havana Sky,14/1,16/1,12/1,Evs,,shortening
Crystal Dagger,12/1,10/1,9/1,8/1,9/1,shortening
Up The Anti,15/2,8/1,17/2,8/1,17/2,drifting
Vizzavona Lady,10/3,7/2,10/3,7/2,10/3,stable
Rising Force,11/10,6/5,5/4,11/8,5/4,drifting
Knightmare,8/1,15/2,8/1,15/2,8/1,stable
Hallowed Time,5/1,11/2,5/1,11/2,6/1,drifting
The Cola Brasil,100/1,90/1,80/1,66/1,50/1,shortening
Classic Speed,11/2,5/1,9/2,5/1,13/2,drifting
Adace,28/1,22/1,20/1,16/1,14/1,shortening
Homme De Fer,85/40,9/4,2/1,85/40,11/5,stable
Whiskey Sunrise,5/1,9/2,4/1,7/2,10/3,shortening
Angelica K,11/4,3/1,16/5,10/3,7/2,drifting
First Encounter,9/1,8/1,9/1,8/1,15/2,shortening
Pave The Way,40/1,35/1,33/1,40/1,50/1,drifting
Cherry Hill,80/1,66/1,80/1,100/1,80/1,stable
Marchetti,25/1,28/1,30/1,28/1,25/1,stable
Mister Knockout,125/1,100/1,125/1,150/1,125/1,stable
Weston Court,100/1,90/1,100/1,90/1,100/1,stable
Jazzy Baby,12/5,9/4,11/5,15/8,9/5,shortening
Kamaway,20/1,18/1,20/1,18/1,20/1,stable
Safe Idea,15/2,7/1,15/2,7/1,15/2,stable
Whisper Of Mist,125/1,110/1,100/1,80/1,66/1,shortening
Angry Ant,50/1,40/1,33/1,16/1,,shortening
Church Wedding,6/5,11/10,6/5,11/10,6/5,stable
Darn Hot Dame,-,66/1,50/1,,,shortening
Delevingne Dream,150/1,125/1,100/1,125/1,100/1,shortening
Flyta,200/1,150/1,125/1,150/1,125/1,shortening
Let Her Go,28/1,33/1,28/1,33/1,28/1,stable
Premier Cru,25/1,22/1,25/1,22/1,25/1,stable
Shirakawa,28/1,33/1,28/1,33/1,28/1,stable
Song Of The Stars,125/1,100/1,80/1,66/1,50/1,shortening
Virtue Chastity,13/2,6/1,11/2,13/2,7/1,drifting
Mandana,5/2,11/4,5/2,11/4,5/2,stable
Liv My Life,4/1,7/2,4/1,7/2,4/1,stable
Ghaiyyath Park,33/1,25/1,40/1,33/1,40/1,drifting
Leeson Street,22/1,16/1,12/1,16/1,14/1,shortening
Berning Hot,50/1,40/1,33/1,40/1,50/1,stable
Maid In Chelsea,2/1,15/8,2/1,15/8,2/1,stable
Calaxy,13/2,6/1,13/2,7/1,13/2,stable
Grand Citadel,16/1,14/1,12/1,10/1,11/1,shortening
Try Storm Cat,5/2,11/4,3/1,11/4,3/1,drifting
Illy's Roo,13/2,7/1,13/2,7/1,13/2,stable
Ritaal,16/1,18/1,16/1,14/1,12/1,shortening
Utmost Good Faith,4/6,8/13,4/6,8/11,4/6,stable
Media Shooter,16/1,14/1,16/1,14/1,16/1,stable
Buccabay,11/8,6/4,11/8,6/4,11/8,stable
No Return,9/1,17/2,9/1,17/2,9/1,stable
Ultramarine,16/1,14/1,16/1,14/1,16/1,stable
Al Barez,9/1,17/2,9/1,10/1,11/1,drifting
Mission Command,6/1,11/2,6/1,11/2,5/1,shortening
Whenthedealinsdone,13/2,7/1,13/2,7/1,13/2,stable
Serenity Dream,9/1,10/1,9/1,10/1,9/1,stable
Sisterandbrother,8/1,15/2,7/1,13/2,6/1,shortening
Guinness Lad,10/1,11/1,10/1,11/1,10/1,stable
High Favour,15/2,7/1,15/2,7/1,15/2,stable
Nymphaea,12/1,14/1,12/1,14/1,12/1,stable
Bug Boy,12/1,14/1,22/1,25/1,28/1,drifting
Endofastorm,11/1,10/1,11/1,10/1,11/1,stable
My O My,66/1,50/1,40/1,35/1,33/1,shortening
Duchess,9/2,4/1,7/2,10/3,7/2,shortening
Argentum,8/1,17/2,9/1,17/2,10/1,drifting
Dance No More,22/1,25/1,28/1,22/1,20/1,shortening
Lawmans Blis,6/1,13/2,7/1,13/2,7/1,drifting
Deferred Interest,66/1,50/1,33/1,28/1,22/1,shortening
Karismatique,6/1,11/2,5/1,11/2,5/1,shortening
Nebraskan,-,6.05,6.20,6.10,6.05,stable
Multidutch,-,22.00,20.85,20.40,20.00,shortening
Blazing Beam,-,41.85,31.80,30.55,30.15,shortening
Happy Boys,-,4.75,4.95,4.90,4.95,stable
Podium,-,6.90,6.85,6.75,6.80,stable
Concorde Star,-,13.55,13.20,12.95,12.75,shortening
Chill Master,-,13.50,13.15,12.90,12.95,stable
Oriental Surprise,-,6.15,6.20,6.35,6.40,stable
Brilliant Fire,-,29.75,32.70,32.50,32.10,drifting
Lucky Generations,-,6.20,6.10,6.40,6.45,stable
Colonel,-,29.10,22.45,21.65,23.45,shortening
Ever Smart,-,15.00,14.60,14.35,14.10,shortening
Woodfire Champ,-,,,,,no_data
Sonic Boom,-,,,,,no_data
Fortunate Son,-,7.60,8.00,8.40,8.45,drifting
All Round Winner,-,4.75,6.15,6.20,6.30,drifting
Sure Joyful,-,20.30,17.25,16.20,16.15,shortening
Turin Warrior,-,17.95,15.25,14.55,14.40,shortening
Absolute Awakened,-,5.35,4.70,4.80,4.90,shortening
Ping Hai Comet,-,11.15,9.45,9.00,8.90,shortening
Somelovefromabove,-,18.95,16.25,15.55,15.50,shortening
Inno Super,-,10.00,12.25,12.55,12.60,drifting
Prince Alex,-,16.85,14.05,13.15,12.95,shortening
Setanta,-,9.05,7.80,7.75,7.80,shortening
Management Folks,-,23.10,19.70,18.80,18.70,shortening
Lucky Blessing,-,8.10,11.25,12.95,13.15,drifting
Never Peter Out,-,,,,,no_data
California Banner,-,,,,,no_data
Lucky Planet,-,9.25,8.90,8.20,8.10,shortening
Good Luck Happy,-,4.00,3.65,3.60,3.55,shortening
Never Settle,-,2.85,3.00,3.05,3.10,drifting
Giant Ballon,-,11.15,12.10,11.20,11.35,stable
Bits Superstar,-,12.50,13.40,12.50,11.90,stable
Falcon Hunter,-,28.25,28.35,29.50,28.35,stable
Winning Now,-,20.20,20.75,20.30,20.70,stable
The Promise,-,70.40,60.05,54.55,52.60,shortening
The All Rounder,-,53.25,45.30,41.45,39.60,shortening
Winning Cigar,-,36.15,31.00,28.40,28.00,shortening
Call To Command,-,28.00,24.40,23.30,22.55,shortening
Sonic Pursuit,-,8.65,9.65,9.85,9.70,drifting
Master Of Humor,-,,,,,no_data
Night Purosangue,-,,,,,no_data
Harmony Galaxy,-,13.15,13.00,12.25,12.20,shortening
Noble Pursuit,-,14.65,14.05,13.35,13.25,shortening
Glorious Journey,-,5.95,5.70,5.55,5.50,shortening
California Banner,-,10.20,15.90,17.15,17.35,drifting
Forerunner,-,16.85,15.80,15.00,14.85,shortening
Fortune Star,-,5.00,4.75,5.30,5.25,stable
Good Luck Win,-,11.20,10.40,10.25,10.15,shortening
Incanto Star,-,7.85,7.50,7.45,7.40,shortening
Smart City,-,17.60,20.25,19.30,19.15,drifting
Northern Fire Ball,-,17.90,17.40,17.45,17.60,stable
Conspiracy Witness,-,10.10,9.65,9.55,9.70,stable
Shinkansen,-,8.85,8.65,8.80,8.90,stable
The Boom Box,-,19.30,12.05,11.95,11.20,shortening
Keefy,-,30.40,18.85,18.70,17.70,shortening
Silvery Breeze,-,4.75,9.45,8.95,9.05,drifting
A Americ Te Specso,-,17.45,11.95,11.85,11.15,shortening
Anode,-,23.65,23.50,22.20,22.05,shortening
Max Que,-,1.85,1.90,2.05,2.10,drifting
Viva Graciousness,-,35.75,24.60,24.35,22.75,shortening
Samarkand,-,20.30,19.95,20.05,18.85,shortening
Thriving Brothers,-,39.35,25.40,25.20,25.60,shortening
Chill Kaka,-,18.60,11.75,11.65,10.90,shortening
Aestheticism,-,15.35,15.80,16.10,15.40,stable
Rising From Ashes,-,46.10,31.10,30.90,29.05,shortening
Jumbo Legend,-,,,,,no_data
Flying Fortress,-,,,,,no_data
Free Pony,-,14.50,13.95,10.05,9.75,shortening
Sky Cap,-,19.55,18.45,13.20,13.70,shortening
Leather Goods,-,22.90,23.40,23.80,23.65,stable
Packing King,-,7.10,7.85,7.50,7.70,drifting
Sky Phoenix,-,37.15,35.10,25.80,25.05,shortening
Awesome Treasure,-,19.45,19.25,19.55,19.00,stable
Rewarding Buddy,-,5.30,4.00,3.85,3.80,shortening
Dan Attack,-,3.80,5.25,5.20,5.10,drifting
Great Spirit,-,8.25,8.90,9.60,9.50,drifting
Same To You,-,31.50,31.40,23.05,22.65,shortening
Winning Money,-,4.80,4.70,6.80,6.85,drifting
Thousand Cups,-,40.80,38.85,27.35,28.55,shortening
Win Method,-,,,,,no_data
Fortune Whiskey,-,,,,,no_data
Beauty Joy,-,25.10,21.30,21.05,20.80,shortening
Chancheng Glory,-,17.25,12.25,12.10,11.85,shortening
