combo_index,indices,names,tracks,p_mean,d_mean,expected_net_profit,expected_gross_return,l15_std,l15_sharpe,classification
25,"(53, 54, 57, 0)",The Store Boy|True Destiny|Roc Dino|Global Effort,Fairyhouse|Fairyhouse|Fairyhouse|Chelmsford (AW),0.2081022002725695,9.90625,35.86887210263051,50.86887210263051,296.57247964315764,0.12094470851034023,L15_STRONG
26,"(53, 54, 57, 59)",The Store Boy|True Destiny|Roc Dino|Giant Haystacks,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,14.0,130.00563271405917,145.00563271405917,1400.3373769492098,0.09283879360364633,L15_CANDIDATE
27,"(53, 54, 57, 60)",The Store Boy|True Destiny|Roc Dino|Noemie De La Vis,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,59.5,1176.289017830396,1191.289017830396,14075.622800894676,0.0835692341624577,L15_CANDIDATE
28,"(53, 54, 57, 61)",The Store Boy|True Destiny|Roc Dino|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,10.375,46.64789049325211,61.64789049325211,412.7713031862235,0.11301146696287344,L15_STRONG
29,"(53, 54, 57, 62)",The Store Boy|True Destiny|Roc Dino|I Am Lorenzo,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,37.0,658.896135080559,673.8961350805591,7804.293472062474,0.0844273908252235,L15_CANDIDATE
30,"(53, 54, 58, 0)",The Store Boy|True Destiny|Sticwiththeprocess|Global Effort,Fairyhouse|Fairyhouse|Fairyhouse|Chelmsford (AW),0.2081022002725695,7.03125,7.992209562890765,22.992209562890764,91.20443633869512,0.0876296141254691,L15_CANDIDATE
31,"(53, 54, 58, 59)",The Store Boy|True Destiny|Sticwiththeprocess|Giant Haystacks,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,11.125,51.53564508800093,66.53564508800093,435.8125356234343,0.11825186490856364,L15_STRONG
32,"(53, 54, 58, 60)",The Store Boy|True Destiny|Sticwiththeprocess|Noemie De La Vis,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,56.625,535.4993254281567,550.4993254281568,4390.281956608562,0.12197378909162893,L15_STRONG
33,"(53, 54, 58, 61)",The Store Boy|True Destiny|Sticwiththeprocess|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,7.5,12.978099126834678,27.978099126834678,127.52467719116353,0.10176931565472694,L15_STRONG
34,"(53, 54, 58, 62)",The Store Boy|True Destiny|Sticwiththeprocess|I Am Lorenzo,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,34.125,296.1766263588489,311.1766263588489,2433.7723759450882,0.12169446464517328,L15_STRONG
35,"(53, 54, 0, 59)",The Store Boy|True Destiny|Global Effort|Giant Haystacks,Fairyhouse|Fairyhouse|Chelmsford (AW)|Fairyhouse,0.2081022002725695,10.90625,45.56510255123564,60.56510255123564,369.8522260046584,0.12319812981377523,L15_STRONG
36,"(53, 54, 0, 60)",The Store Boy|True Destiny|Global Effort|Noemie De La Vis,Fairyhouse|Fairyhouse|Chelmsford (AW)|Fairyhouse,0.2081022002725695,56.40625,486.74358796276897,501.74358796276897,3728.115750597503,0.13056021339593837,L15_STRONG
37,"(53, 54, 0, 61)",The Store Boy|True Destiny|Global Effort|Onlymammycanloveme,Fairyhouse|Fairyhouse|Chelmsford (AW)|Fairyhouse,0.2081022002725695,7.28125,10.416267175042046,25.416267175042048,107.99901105699958,0.09644780144833513,L15_CANDIDATE
38,"(53, 54, 0, 62)",The Store Boy|True Destiny|Global Effort|I Am Lorenzo,Fairyhouse|Fairyhouse|Chelmsford (AW)|Fairyhouse,0.2081022002725695,33.90625,268.5784028691536,283.5784028691536,2066.59324946451,0.12996190853654774,L15_STRONG
39,"(53, 54, 59, 60)",The Store Boy|True Destiny|Giant Haystacks|Noemie De La Vis,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,60.5,1399.17238910074,1414.17238910074,17534.771088690144,0.07979416338107775,L15_CANDIDATE
40,"(53, 54, 59, 61)",The Store Boy|True Destiny|Giant Haystacks|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,11.375,58.35912227287556,73.35912227287557,514.5848782515272,0.11341009955669515,L15_STRONG
41,"(53, 54, 59, 62)",The Store Boy|True Destiny|Giant Haystacks|I Am Lorenzo,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,38.0,785.0594424620235,800.0594424620235,9722.369021612421,0.08074775198481657,L15_CANDIDATE
42,"(53, 54, 60, 61)",The Store Boy|True Destiny|Noemie De La Vis|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.2081022002725695,56.875,591.2201682457428,606.2201682457428,5181.09782758492,0.11411098340934626,L15_STRONG
