track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,URL,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,decimal_odds_live,threshold,precision,recall,f1,pred_plus,p_est,d,edge,ev_per_unit,var_per_unit,sharpe_unit,kelly_full,kelly_clamped,suggested_stake_units,classification,action
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,helga,65,Oisin Murphy,Andrew Balding,9- 2,3,0,True,0,0.020651996,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,4/1,11/2,6/1,13/2,7/1,drifting,6.5,7.0,7.5,8.0,5.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03421780216553491,5.0,-0.1657821978344651,-0.8289109891723254,0.8261736045123808,-0.9119525446465098,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,3:38,your love,86,George Wood,Richard Spencer,9- 6,4,0,True,0,0.020187251,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,3/1,,,,,no_data,,,,,4.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03379953166553491,4.0,-0.2162004683344651,-0.8648018733378604,0.5225139731956067,-1.1963759311238045,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,3:38,cressida wildes,86,Hector Crouch,Phil McEntee,9- 7,4,0,True,0,0.019949501,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,14/1,,,,,no_data,,,,,15.0,0.1,0.1563100576553491,0.7270560190703218,,,0.033585556665534914,15.0,-0.03308111000113175,-0.49621665001697624,7.3029525860252384,-0.18362089164648066,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,3:38,handle with care,88,Hollie Doyle,Marco Botti,9- 5,4,0,True,0,0.019721197,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,7/2,10/3,3/1,,,shortening,4.333333333333334,4.0,,,4.5,0.1,0.1563100576553491,0.7270560190703218,,,0.033380083065534916,4.5,-0.1888421391566873,-0.8497896262050929,0.6533835256814764,-1.0513016235916086,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,7f,Standard To Slow,4:08,saturn seven,80,George Wood,Ross Burdon,9- 1,6,0,True,0,0.01930128,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,12/1,14/1,25/1,14/1,20/1,drifting,15.0,26.0,15.0,21.0,13.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03300215776553492,13.0,-0.04392091915754201,-0.570971949048046,5.393299593871769,-0.2458597862528849,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,mbappe,79,Edward Greatrex,Mark Loughnane,9- 3,5,0,True,0,0.019039946,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,6/1,9/2,,,,shortening,5.5,,,,7.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03276695716553491,7.0,-0.11009018569160794,-0.7706312998412557,1.5529709004986985,-0.6183935986010375,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,siouxfonic,87,Pat Cosgrave,James Owen,9 -13,5,0,True,0,0.018990856,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,11/4,5/2,9/4,,,shortening,3.5,3.25,,,3.75,0.1,0.1563100576553491,0.7270560190703218,,,0.032722776165534914,3.75,-0.23394389050113173,-0.8772895893792441,0.4451061949531203,-1.3149558039386589,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,7f,Standard To Slow,4:08,i'm workin on it,79,Lewis Edmunds,Rod Millman,9- 9,4,0,True,0,0.018564424,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,10/3,3/1,11/4,3/1,,shortening,4.0,3.75,4.0,,4.333333333333334,0.1,0.1563100576553491,0.7270560190703218,,,0.032338987365534914,4.333333333333334,-0.1984302434036958,-0.859864388082682,0.5876163285809367,-1.1217163108939439,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,3:38,court drive,88,Luke Morris,Gay Kelleway,8 -12,5,0,True,0,0.018463839,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,6/1,,,,,no_data,,,,,7.0,0.1,0.1563100576553491,0.7270560190703218,,,0.032248460865534914,7.0,-0.11060868199160794,-0.7742607739412556,1.52921638422961,-0.6261130936506871,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,misty cove,77,Saffie Osborne,Gavin Cromwell,9- 2,3,0,True,0,0.018177003,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,9/4,2/1,7/4,,,shortening,3.0,2.75,,,3.25,0.1,0.1563100576553491,0.7270560190703218,,,0.03199030846553491,3.25,-0.2757019992267728,-0.8960314974870115,0.3270881836524191,-1.5667180566885088,0.0,0.0,0.0,NO_BET,PASS
